date,start,end,11WD8MOOR1C---BT,11WD8MOOR1C---AV
14012019,14:00,15:00,0,302
14012019,15:00,16:00,0,302
14012019,16:00,17:00,0,302
14012019,17:00,18:00,0,302
14012019,18:00,19:00,0,302
14012019,19:00,20:00,0,302
14012019,20:00,21:00,0,303
14012019,21:00,22:00,0,383
14012019,22:00,23:00,0,306
14012019,23:00,00:00,0,304
15012019,00:00,01:00,0,302
15012019,01:00,02:00,0,302
15012019,02:00,03:00,0,302
15012019,03:00,04:00,0,303
15012019,04:00,05:00,0,305
15012019,05:00,06:00,0,303
15012019,06:00,07:00,0,307
15012019,07:00,08:00,0,305
15012019,08:00,09:00,0,450
15012019,09:00,10:00,0,376
15012019,10:00,11:00,0,315
15012019,11:00,12:00,0,365
15012019,12:00,13:00,0,301
15012019,13:00,14:00,0,300
15012019,14:00,15:00,0,303
15012019,15:00,16:00,0,494
15012019,16:00,17:00,0,460
15012019,17:00,18:00,0,460
15012019,18:00,19:00,0,460
15012019,19:00,20:00,0,459
15012019,20:00,21:00,0,362
15012019,21:00,22:00,0,303
15012019,22:00,23:00,0,302
15012019,23:00,00:00,0,302
16012019,00:00,01:00,0,302
16012019,01:00,02:00,0,302
16012019,02:00,03:00,0,305
16012019,03:00,04:00,0,321
16012019,04:00,05:00,0,304
16012019,05:00,06:00,0,350
16012019,06:00,07:00,0,734
16012019,07:00,08:00,0,752
16012019,08:00,09:00,0,752
16012019,09:00,10:00,0,753
16012019,10:00,11:00,0,637
16012019,11:00,12:00,0,449
16012019,12:00,13:00,0,659
16012019,13:00,14:00,0,662
16012019,14:00,15:00,0,663
16012019,15:00,16:00,0,664
16012019,16:00,17:00,0,664
16012019,17:00,18:00,0,676
16012019,18:00,19:00,0,747
16012019,19:00,20:00,0,732
16012019,20:00,21:00,0,354
16012019,21:00,22:00,0,302
16012019,22:00,23:00,0,310
16012019,23:00,00:00,0,300
17012019,00:00,01:00,0,301
17012019,01:00,02:00,0,301
17012019,02:00,03:00,0,301
17012019,03:00,04:00,0,301
17012019,04:00,05:00,0,301
17012019,05:00,06:00,0,310
17012019,06:00,07:00,0,312
17012019,07:00,08:00,0,419
17012019,08:00,09:00,0,736
17012019,09:00,10:00,0,703
17012019,10:00,11:00,0,703
17012019,11:00,12:00,0,702
17012019,12:00,13:00,0,659
17012019,13:00,14:00,0,660
17012019,14:00,15:00,0,747
17012019,15:00,16:00,0,664
17012019,16:00,17:00,0,746
17012019,17:00,18:00,42,748
17012019,18:00,19:00,236,749
17012019,19:00,20:00,305,701
17012019,20:00,21:00,436,690
17012019,21:00,22:00,592,695
17012019,22:00,23:00,578,664
17012019,23:00,00:00,346,623
18012019,00:00,01:00,727,750
18012019,01:00,02:00,745,632
18012019,02:00,03:00,745,763
18012019,03:00,04:00,745,763
18012019,04:00,05:00,746,764
18012019,05:00,06:00,746,762
18012019,06:00,07:00,746,763
18012019,07:00,08:00,745,762
18012019,08:00,09:00,746,761
18012019,09:00,10:00,746,762
18012019,10:00,11:00,745,761
18012019,11:00,12:00,746,761
18012019,12:00,13:00,673,759
18012019,13:00,14:00,601,766
18012019,14:00,15:00,601,708
18012019,15:00,16:00,608,765
18012019,16:00,17:00,641,765
18012019,17:00,18:00,650,765
18012019,18:00,19:00,650,764
18012019,19:00,20:00,651,765
18012019,20:00,21:00,745,751
18012019,21:00,22:00,745,766
18012019,22:00,23:00,745,765
18012019,23:00,00:00,745,766
19012019,00:00,01:00,745,771
19012019,01:00,02:00,745,770
19012019,02:00,03:00,745,770
19012019,03:00,04:00,745,769
19012019,04:00,05:00,745,770
19012019,05:00,06:00,745,770
19012019,06:00,07:00,734,759
19012019,07:00,08:00,744,769
19012019,08:00,09:00,744,764
19012019,09:00,10:00,744,765
19012019,10:00,11:00,744,761
19012019,11:00,12:00,744,762
19012019,12:00,13:00,744,764
19012019,13:00,14:00,744,764
19012019,14:00,15:00,744,755
19012019,15:00,16:00,744,750
