date,start,end,11WD2WILH0001255
18.01.2018,22:00,23:00,518.0
18.01.2018,23:00,00:00,524.0
19.01.2018,00:00,01:00,314.0
19.01.2018,01:00,02:00,255.0
19.01.2018,02:00,03:00,255.0
19.01.2018,03:00,04:00,255.0
19.01.2018,04:00,05:00,276.0
19.01.2018,05:00,06:00,441.0
19.01.2018,06:00,07:00,680.0
19.01.2018,07:00,08:00,709.0
19.01.2018,08:00,09:00,710.0
19.01.2018,09:00,10:00,711.0
19.01.2018,10:00,11:00,712.0
19.01.2018,11:00,12:00,713.0
19.01.2018,12:00,13:00,712.0
19.01.2018,13:00,14:00,712.0
19.01.2018,14:00,15:00,712.0
19.01.2018,15:00,16:00,712.0
19.01.2018,16:00,17:00,712.0
19.01.2018,17:00,18:00,712.0
19.01.2018,18:00,19:00,712.0
19.01.2018,19:00,20:00,711.0
19.01.2018,20:00,21:00,711.0
19.01.2018,21:00,22:00,712.0
19.01.2018,22:00,23:00,697.0
19.01.2018,23:00,00:00,574.0
20.01.2018,00:00,01:00,647.0
20.01.2018,01:00,02:00,376.0
20.01.2018,02:00,03:00,252.0
20.01.2018,03:00,04:00,252.0
20.01.2018,04:00,05:00,211.0
20.01.2018,05:00,06:00,184.0
20.01.2018,06:00,07:00,176.0
20.01.2018,07:00,08:00,331.0
20.01.2018,08:00,09:00,548.0
20.01.2018,09:00,10:00,707.0
20.01.2018,10:00,11:00,712.0
20.01.2018,11:00,12:00,713.0
20.01.2018,12:00,13:00,714.0
20.01.2018,13:00,14:00,714.0
20.01.2018,14:00,15:00,713.0
20.01.2018,15:00,16:00,713.0
20.01.2018,16:00,17:00,713.0
20.01.2018,17:00,18:00,713.0
20.01.2018,18:00,19:00,713.0
20.01.2018,19:00,20:00,706.0
20.01.2018,20:00,21:00,705.0
20.01.2018,21:00,22:00,709.0
20.01.2018,22:00,23:00,703.0
20.01.2018,23:00,00:00,634.0
21.01.2018,00:00,01:00,534.0
21.01.2018,01:00,02:00,363.0
21.01.2018,02:00,03:00,298.0
21.01.2018,03:00,04:00,245.0
21.01.2018,04:00,05:00,245.0
21.01.2018,05:00,06:00,275.0
21.01.2018,06:00,07:00,255.0
21.01.2018,07:00,08:00,281.0
21.01.2018,08:00,09:00,496.0
21.01.2018,09:00,10:00,682.0
21.01.2018,10:00,11:00,704.0
21.01.2018,11:00,12:00,707.0
21.01.2018,12:00,13:00,710.0
21.01.2018,13:00,14:00,712.0
21.01.2018,14:00,15:00,712.0
21.01.2018,15:00,16:00,712.0
21.01.2018,16:00,17:00,712.0
21.01.2018,17:00,18:00,712.0
21.01.2018,18:00,19:00,713.0
21.01.2018,19:00,20:00,713.0
21.01.2018,20:00,21:00,711.0
21.01.2018,21:00,22:00,686.0
21.01.2018,22:00,23:00,566.0
21.01.2018,23:00,00:00,350.0
22.01.2018,00:00,01:00,217.0
22.01.2018,01:00,02:00,173.0
22.01.2018,02:00,03:00,173.0
22.01.2018,03:00,04:00,173.0
22.01.2018,04:00,05:00,173.0
22.01.2018,05:00,06:00,220.0
22.01.2018,06:00,07:00,394.0
22.01.2018,07:00,08:00,504.0
22.01.2018,08:00,09:00,507.0
22.01.2018,09:00,10:00,508.0
22.01.2018,10:00,11:00,567.0
22.01.2018,11:00,12:00,623.0
22.01.2018,12:00,13:00,715.0
22.01.2018,13:00,14:00,716.0
22.01.2018,14:00,15:00,714.0
22.01.2018,15:00,16:00,714.0
22.01.2018,16:00,17:00,714.0
22.01.2018,17:00,18:00,714.0
22.01.2018,18:00,19:00,714.0
22.01.2018,19:00,20:00,714.0
22.01.2018,20:00,21:00,714.0
22.01.2018,21:00,22:00,714.0
22.01.2018,22:00,23:00,714.0
22.01.2018,23:00,00:00,669.0
23.01.2018,00:00,01:00,628.0
23.01.2018,01:00,02:00,504.0
23.01.2018,02:00,03:00,345.0
23.01.2018,03:00,04:00,226.0
23.01.2018,04:00,05:00,251.0
23.01.2018,05:00,06:00,399.0
23.01.2018,06:00,07:00,629.0
23.01.2018,07:00,08:00,706.0
23.01.2018,08:00,09:00,708.0
23.01.2018,09:00,10:00,710.0
23.01.2018,10:00,11:00,710.0
23.01.2018,11:00,12:00,692.0
23.01.2018,12:00,13:00,514.0
23.01.2018,13:00,14:00,293.0
23.01.2018,14:00,15:00,0.0
23.01.2018,15:00,16:00,0.0
23.01.2018,16:00,17:00,0.0
23.01.2018,17:00,18:00,0.0
23.01.2018,18:00,19:00,0.0
23.01.2018,19:00,20:00,0.0
23.01.2018,20:00,21:00,0.0
23.01.2018,21:00,22:00,0.0
23.01.2018,22:00,23:00,0.0
23.01.2018,23:00,00:00,0.0
24.01.2018,00:00,01:00,0.0
24.01.2018,01:00,02:00,0.0
24.01.2018,02:00,03:00,0.0
24.01.2018,03:00,04:00,0.0
24.01.2018,04:00,05:00,0.0
24.01.2018,05:00,06:00,0.0
24.01.2018,06:00,07:00,0.0
24.01.2018,07:00,08:00,0.0
24.01.2018,08:00,09:00,0.0
24.01.2018,09:00,10:00,0.0
24.01.2018,10:00,11:00,0.0
24.01.2018,11:00,12:00,0.0
24.01.2018,12:00,13:00,0.0
24.01.2018,13:00,14:00,0.0
24.01.2018,14:00,15:00,0.0
24.01.2018,15:00,16:00,0.0
24.01.2018,16:00,17:00,0.0
24.01.2018,17:00,18:00,0.0
24.01.2018,18:00,19:00,0.0
24.01.2018,19:00,20:00,0.0
24.01.2018,20:00,21:00,0.0
24.01.2018,21:00,22:00,0.0
24.01.2018,22:00,23:00,0.0
24.01.2018,23:00,00:00,0.0
25.01.2018,00:00,01:00,0.0
25.01.2018,01:00,02:00,0.0
25.01.2018,02:00,03:00,0.0
25.01.2018,03:00,04:00,0.0
25.01.2018,04:00,05:00,0.0
25.01.2018,05:00,06:00,0.0
25.01.2018,06:00,07:00,0.0
25.01.2018,07:00,08:00,0.0
25.01.2018,08:00,09:00,0.0
25.01.2018,09:00,10:00,0.0
25.01.2018,10:00,11:00,0.0
25.01.2018,11:00,12:00,0.0
25.01.2018,12:00,13:00,0.0
25.01.2018,13:00,14:00,0.0
25.01.2018,14:00,15:00,152.0
25.01.2018,15:00,16:00,360.0
25.01.2018,16:00,17:00,547.0
25.01.2018,17:00,18:00,698.0
25.01.2018,18:00,19:00,711.0
25.01.2018,19:00,20:00,711.0
25.01.2018,20:00,21:00,713.0
25.01.2018,21:00,22:00,715.0
25.01.2018,22:00,23:00,711.0
25.01.2018,23:00,00:00,529.0
26.01.2018,00:00,01:00,
26.01.2018,01:00,02:00,
26.01.2018,02:00,03:00,
26.01.2018,03:00,04:00,
26.01.2018,04:00,05:00,
26.01.2018,05:00,06:00,
26.01.2018,06:00,07:00,
26.01.2018,07:00,08:00,
26.01.2018,08:00,09:00,
26.01.2018,09:00,10:00,
26.01.2018,10:00,11:00,
