date,start,end,11WD2S2610001015,11WD2S262000102W,11WD2S260000100F
21112018,06:00,07:00,112,110,108
21112018,07:00,08:00,112,110,102
21112018,08:00,09:00,113,109,83
21112018,09:00,10:00,113,110,80
21112018,10:00,11:00,113,110,80
21112018,11:00,12:00,113,110,79
21112018,12:00,13:00,113,109,81
21112018,13:00,14:00,112,109,82
21112018,14:00,15:00,112,110,84
21112018,15:00,16:00,112,110,88
21112018,16:00,17:00,112,110,101
21112018,17:00,18:00,111,110,113
21112018,18:00,19:00,112,110,112
21112018,19:00,20:00,112,107,109
21112018,20:00,21:00,112,106,104
21112018,21:00,22:00,112,109,99
21112018,22:00,23:00,113,110,84
21112018,23:00,00:00,105,104,75
22112018,00:00,01:00,97,98,73
22112018,01:00,02:00,97,98,74
22112018,02:00,03:00,97,98,73
22112018,03:00,04:00,97,98,73
22112018,04:00,05:00,105,106,80
22112018,05:00,06:00,108,110,100
22112018,06:00,07:00,107,109,104
22112018,07:00,08:00,106,108,102
22112018,08:00,09:00,111,113,97
22112018,09:00,10:00,112,115,89
22112018,10:00,11:00,112,115,87
22112018,11:00,12:00,113,114,88
22112018,12:00,13:00,113,114,88
22112018,13:00,14:00,108,110,88
22112018,14:00,15:00,109,27,59
22112018,15:00,16:00,108,89,78
22112018,16:00,17:00,107,110,95
22112018,17:00,18:00,108,115,105
22112018,18:00,19:00,108,115,106
22112018,19:00,20:00,108,115,101
22112018,20:00,21:00,108,115,101
22112018,21:00,22:00,108,115,93
22112018,22:00,23:00,109,115,81
22112018,23:00,00:00,109,115,77
23112018,00:00,01:00,113,108,75
23112018,01:00,02:00,114,106,76
23112018,02:00,03:00,114,106,76
23112018,03:00,04:00,114,106,78
23112018,04:00,05:00,114,110,90
23112018,05:00,06:00,114,111,99
23112018,06:00,07:00,113,112,102
23112018,07:00,08:00,113,116,107
23112018,08:00,09:00,113,116,107
23112018,09:00,10:00,112,115,106
23112018,10:00,11:00,112,115,104
23112018,11:00,12:00,112,115,102
23112018,12:00,13:00,112,111,102
23112018,13:00,14:00,112,108,103
23112018,14:00,15:00,112,109,101
23112018,15:00,16:00,112,109,100
23112018,16:00,17:00,112,110,101
23112018,17:00,18:00,112,110,101
23112018,18:00,19:00,112,110,98
23112018,19:00,20:00,112,110,93
23112018,20:00,21:00,113,110,89
23112018,21:00,22:00,113,110,87
23112018,22:00,23:00,113,110,81
23112018,23:00,00:00,111,110,73
24112018,00:00,01:00,97,98,72
24112018,01:00,02:00,97,98,70
24112018,02:00,03:00,95,96,68
24112018,03:00,04:00,94,96,68
24112018,04:00,05:00,99,101,71
24112018,05:00,06:00,107,109,84
24112018,06:00,07:00,108,109,89
