date,start,end,11WD8KLIN5G--13E
1022020,18:00,19:00,100
1022020,19:00,20:00,99
1022020,20:00,21:00,86
1022020,21:00,22:00,86
1022020,22:00,23:00,86
1022020,23:00,00:00,75
2022020,00:00,01:00,74
2022020,01:00,02:00,73
2022020,02:00,03:00,74
2022020,03:00,04:00,73
2022020,04:00,05:00,73
2022020,05:00,06:00,73
2022020,06:00,07:00,73
2022020,07:00,08:00,80
2022020,08:00,09:00,94
2022020,09:00,10:00,110
2022020,10:00,11:00,104
2022020,11:00,12:00,101
2022020,12:00,13:00,115
2022020,13:00,14:00,120
2022020,14:00,15:00,120
2022020,15:00,16:00,120
2022020,16:00,17:00,120
2022020,17:00,18:00,120
2022020,18:00,19:00,119
2022020,19:00,20:00,120
2022020,20:00,21:00,120
2022020,21:00,22:00,120
2022020,22:00,23:00,120
2022020,23:00,00:00,120
3022020,00:00,01:00,120
3022020,01:00,02:00,120
3022020,02:00,03:00,120
3022020,03:00,04:00,113
3022020,04:00,05:00,95
3022020,05:00,06:00,91
3022020,06:00,07:00,90
3022020,07:00,08:00,90
3022020,08:00,09:00,90
3022020,09:00,10:00,90
3022020,10:00,11:00,90
3022020,11:00,12:00,90
3022020,12:00,13:00,90
3022020,13:00,14:00,90
3022020,14:00,15:00,90
3022020,15:00,16:00,91
3022020,16:00,17:00,91
3022020,17:00,18:00,91
3022020,18:00,19:00,89
3022020,19:00,20:00,71
3022020,20:00,21:00,71
3022020,21:00,22:00,71
3022020,22:00,23:00,72
3022020,23:00,00:00,73
4022020,00:00,01:00,73
4022020,01:00,02:00,74
4022020,02:00,03:00,74
4022020,03:00,04:00,74
4022020,04:00,05:00,75
4022020,05:00,06:00,90
4022020,06:00,07:00,108
4022020,07:00,08:00,111
4022020,08:00,09:00,110
4022020,09:00,10:00,111
4022020,10:00,11:00,110
4022020,11:00,12:00,101
4022020,12:00,13:00,102
4022020,13:00,14:00,93
4022020,14:00,15:00,91
4022020,15:00,16:00,94
4022020,16:00,17:00,109
4022020,17:00,18:00,129
4022020,18:00,19:00,132
4022020,19:00,20:00,132
4022020,20:00,21:00,133
4022020,21:00,22:00,133
4022020,22:00,23:00,134
4022020,23:00,00:00,135
5022020,00:00,01:00,135
5022020,01:00,02:00,135
5022020,02:00,03:00,134
5022020,03:00,04:00,133
5022020,04:00,05:00,133
5022020,05:00,06:00,133
5022020,06:00,07:00,133
5022020,07:00,08:00,133
5022020,08:00,09:00,133
5022020,09:00,10:00,133
5022020,10:00,11:00,133
5022020,11:00,12:00,134
5022020,12:00,13:00,126
5022020,13:00,14:00,124
5022020,14:00,15:00,114
5022020,15:00,16:00,109
5022020,16:00,17:00,109
5022020,17:00,18:00,109
5022020,18:00,19:00,119
5022020,19:00,20:00,119
5022020,20:00,21:00,119
5022020,21:00,22:00,120
5022020,22:00,23:00,107
5022020,23:00,00:00,102
6022020,00:00,01:00,125
6022020,01:00,02:00,129
6022020,02:00,03:00,129
6022020,03:00,04:00,129
6022020,04:00,05:00,128
6022020,05:00,06:00,129
6022020,06:00,07:00,129
6022020,07:00,08:00,129
6022020,08:00,09:00,129
6022020,09:00,10:00,129
6022020,10:00,11:00,129
6022020,11:00,12:00,129
6022020,12:00,13:00,119
6022020,13:00,14:00,110
6022020,14:00,15:00,109
6022020,15:00,16:00,109
6022020,16:00,17:00,109
6022020,17:00,18:00,110
6022020,18:00,19:00,109
6022020,19:00,20:00,109
6022020,20:00,21:00,109
6022020,21:00,22:00,114
6022020,22:00,23:00,129
6022020,23:00,00:00,129
7022020,00:00,01:00,129
7022020,01:00,02:00,129
7022020,02:00,03:00,125
7022020,03:00,04:00,122
7022020,04:00,05:00,112
7022020,05:00,06:00,91
7022020,06:00,07:00,91
7022020,07:00,08:00,91
7022020,08:00,09:00,91
7022020,09:00,10:00,91
7022020,10:00,11:00,93
7022020,11:00,12:00,111
7022020,12:00,13:00,124
7022020,13:00,14:00,124
7022020,14:00,15:00,123
7022020,15:00,16:00,119
7022020,16:00,17:00,114
7022020,17:00,18:00,114
7022020,18:00,19:00,115
7022020,19:00,20:00,115
7022020,20:00,21:00,115
7022020,21:00,22:00,120
7022020,22:00,23:00,129
7022020,23:00,00:00,127
8022020,00:00,01:00,119
8022020,01:00,02:00,119
8022020,02:00,03:00,119
8022020,03:00,04:00,118
8022020,04:00,05:00,128
8022020,05:00,06:00,129
8022020,06:00,07:00,130
8022020,07:00,08:00,129
8022020,08:00,09:00,129
8022020,09:00,10:00,129
8022020,10:00,11:00,129
8022020,11:00,12:00,121
8022020,12:00,13:00,110
8022020,13:00,14:00,110
8022020,14:00,15:00,96
8022020,15:00,16:00,96
8022020,16:00,17:00,96
8022020,17:00,18:00,106
8022020,18:00,19:00,114
8022020,19:00,20:00,114
8022020,20:00,21:00,114
8022020,21:00,22:00,114
8022020,22:00,23:00,114
8022020,23:00,00:00,114
9022020,00:00,01:00,114
9022020,01:00,02:00,114
9022020,02:00,03:00,120
9022020,03:00,04:00,119
9022020,04:00,05:00,105
9022020,05:00,06:00,96
9022020,06:00,07:00,67
9022020,07:00,08:00,57
9022020,08:00,09:00,50
9022020,09:00,10:00,51
9022020,10:00,11:00,50
9022020,11:00,12:00,50
9022020,12:00,13:00,49
9022020,13:00,14:00,50
9022020,14:00,15:00,50
9022020,15:00,16:00,50
9022020,16:00,17:00,49
9022020,17:00,18:00,49
9022020,18:00,19:00,49
9022020,19:00,20:00,49
9022020,20:00,21:00,49
9022020,21:00,22:00,50
9022020,22:00,23:00,50
9022020,23:00,00:00,50
10022020,00:00,01:00,50
10022020,01:00,02:00,50
10022020,02:00,03:00,50
10022020,03:00,04:00,50
10022020,04:00,05:00,50
10022020,05:00,06:00,67
10022020,06:00,07:00,125
10022020,07:00,08:00,133
10022020,08:00,09:00,133
10022020,09:00,10:00,132
10022020,10:00,11:00,119
10022020,11:00,12:00,104
10022020,12:00,13:00,96
10022020,13:00,14:00,96
10022020,14:00,15:00,96
10022020,15:00,16:00,103
10022020,16:00,17:00,114
10022020,17:00,18:00,123
10022020,18:00,19:00,125
10022020,19:00,20:00,125
10022020,20:00,21:00,120
10022020,21:00,22:00,119
10022020,22:00,23:00,101
10022020,23:00,00:00,96
11022020,00:00,01:00,78
11022020,01:00,02:00,78
11022020,02:00,03:00,78
11022020,03:00,04:00,78
11022020,04:00,05:00,78
11022020,05:00,06:00,88
11022020,06:00,07:00,111
11022020,07:00,08:00,124
11022020,08:00,09:00,124
11022020,09:00,10:00,125
