date,start,end,11WD7VOER1S--A-1,11WD7VOER1S--B-Z
15.01.2017,13:00,14:00,0.0,0.0
15.01.2017,14:00,15:00,15.0,0.0
15.01.2017,15:00,16:00,258.0,164.0
15.01.2017,16:00,17:00,428.0,323.0
15.01.2017,17:00,18:00,623.0,610.0
15.01.2017,18:00,19:00,641.0,706.0
15.01.2017,19:00,20:00,641.0,702.0
15.01.2017,20:00,21:00,626.0,655.0
15.01.2017,21:00,22:00,430.0,388.0
15.01.2017,22:00,23:00,369.0,401.0
15.01.2017,23:00,00:00,339.0,395.0
16.01.2017,00:00,01:00,562.0,618.0
16.01.2017,01:00,02:00,545.0,605.0
16.01.2017,02:00,03:00,545.0,550.0
16.01.2017,03:00,04:00,545.0,602.0
16.01.2017,04:00,05:00,548.0,606.0
16.01.2017,05:00,06:00,636.0,694.0
16.01.2017,06:00,07:00,645.0,703.0
16.01.2017,07:00,08:00,645.0,706.0
16.01.2017,08:00,09:00,645.0,704.0
16.01.2017,09:00,10:00,645.0,706.0
16.01.2017,10:00,11:00,645.0,706.0
16.01.2017,11:00,12:00,646.0,706.0
16.01.2017,12:00,13:00,647.0,706.0
16.01.2017,13:00,14:00,645.0,705.0
16.01.2017,14:00,15:00,645.0,705.0
16.01.2017,15:00,16:00,645.0,706.0
16.01.2017,16:00,17:00,645.0,705.0
16.01.2017,17:00,18:00,642.0,705.0
16.01.2017,18:00,19:00,642.0,706.0
16.01.2017,19:00,20:00,640.0,707.0
16.01.2017,20:00,21:00,640.0,704.0
16.01.2017,21:00,22:00,643.0,703.0
16.01.2017,22:00,23:00,646.0,705.0
16.01.2017,23:00,00:00,635.0,702.0
17.01.2017,00:00,01:00,414.0,571.0
17.01.2017,01:00,02:00,298.0,379.0
17.01.2017,02:00,03:00,171.0,209.0
17.01.2017,03:00,04:00,143.0,170.0
17.01.2017,04:00,05:00,183.0,217.0
17.01.2017,05:00,06:00,366.0,364.0
17.01.2017,06:00,07:00,451.0,506.0
17.01.2017,07:00,08:00,452.0,509.0
17.01.2017,08:00,09:00,450.0,504.0
17.01.2017,09:00,10:00,450.0,503.0
17.01.2017,10:00,11:00,451.0,503.0
17.01.2017,11:00,12:00,451.0,502.0
17.01.2017,12:00,13:00,450.0,496.0
17.01.2017,13:00,14:00,450.0,497.0
17.01.2017,14:00,15:00,450.0,497.0
17.01.2017,15:00,16:00,450.0,498.0
17.01.2017,16:00,17:00,450.0,556.0
17.01.2017,17:00,18:00,450.0,369.0
17.01.2017,18:00,19:00,450.0,341.0
17.01.2017,19:00,20:00,450.0,341.0
17.01.2017,20:00,21:00,449.0,342.0
17.01.2017,21:00,22:00,448.0,342.0
17.01.2017,22:00,23:00,444.0,343.0
17.01.2017,23:00,00:00,311.0,342.0
18.01.2017,00:00,01:00,306.0,342.0
18.01.2017,01:00,02:00,306.0,337.0
18.01.2017,02:00,03:00,181.0,213.0
18.01.2017,03:00,04:00,123.0,170.0
18.01.2017,04:00,05:00,121.0,168.0
18.01.2017,05:00,06:00,162.0,221.0
18.01.2017,06:00,07:00,405.0,375.0
18.01.2017,07:00,08:00,449.0,402.0
18.01.2017,08:00,09:00,451.0,402.0
18.01.2017,09:00,10:00,450.0,401.0
18.01.2017,10:00,11:00,450.0,401.0
18.01.2017,11:00,12:00,450.0,401.0
18.01.2017,12:00,13:00,450.0,401.0
18.01.2017,13:00,14:00,450.0,401.0
18.01.2017,14:00,15:00,450.0,401.0
18.01.2017,15:00,16:00,450.0,401.0
18.01.2017,16:00,17:00,450.0,401.0
18.01.2017,17:00,18:00,449.0,400.0
18.01.2017,18:00,19:00,450.0,401.0
18.01.2017,19:00,20:00,450.0,401.0
