date,start,end,11WD2NOR20001055
17012018,10:00,11:00,200
17012018,11:00,12:00,210
17012018,12:00,13:00,202
17012018,13:00,14:00,209
17012018,14:00,15:00,203
17012018,15:00,16:00,210
17012018,16:00,17:00,207
17012018,17:00,18:00,207
17012018,18:00,19:00,206
17012018,19:00,20:00,208
17012018,20:00,21:00,205
17012018,21:00,22:00,205
17012018,22:00,23:00,208
17012018,23:00,00:00,206
18012018,00:00,01:00,197
18012018,01:00,02:00,198
18012018,02:00,03:00,198
18012018,03:00,04:00,193
18012018,04:00,05:00,213
18012018,05:00,06:00,209
18012018,06:00,07:00,210
18012018,07:00,08:00,207
18012018,08:00,09:00,209
18012018,09:00,10:00,208
18012018,10:00,11:00,207
18012018,11:00,12:00,203
18012018,12:00,13:00,200
18012018,13:00,14:00,230
18012018,14:00,15:00,242
18012018,15:00,16:00,233
18012018,16:00,17:00,219
18012018,17:00,18:00,240
18012018,18:00,19:00,244
18012018,19:00,20:00,207
18012018,20:00,21:00,184
18012018,21:00,22:00,195
18012018,22:00,23:00,196
18012018,23:00,00:00,177
19012018,00:00,01:00,161
19012018,01:00,02:00,153
19012018,02:00,03:00,141
19012018,03:00,04:00,140
19012018,04:00,05:00,158
19012018,05:00,06:00,173
19012018,06:00,07:00,206
19012018,07:00,08:00,215
19012018,08:00,09:00,216
19012018,09:00,10:00,216
19012018,10:00,11:00,216
19012018,11:00,12:00,217
19012018,12:00,13:00,219
19012018,13:00,14:00,217
19012018,14:00,15:00,212
19012018,15:00,16:00,218
19012018,16:00,17:00,221
19012018,17:00,18:00,220
19012018,18:00,19:00,223
19012018,19:00,20:00,223
19012018,20:00,21:00,220
19012018,21:00,22:00,227
19012018,22:00,23:00,223
19012018,23:00,00:00,191
20012018,00:00,01:00,177
20012018,01:00,02:00,175
20012018,02:00,03:00,178
20012018,03:00,04:00,178
20012018,04:00,05:00,180
20012018,05:00,06:00,188
20012018,06:00,07:00,195
20012018,07:00,08:00,193
20012018,08:00,09:00,203
20012018,09:00,10:00,208
20012018,10:00,11:00,209
20012018,11:00,12:00,207
20012018,12:00,13:00,192
20012018,13:00,14:00,173
20012018,14:00,15:00,201
20012018,15:00,16:00,204
20012018,16:00,17:00,218
20012018,17:00,18:00,218
20012018,18:00,19:00,216
20012018,19:00,20:00,206
20012018,20:00,21:00,206
20012018,21:00,22:00,211
20012018,22:00,23:00,208
20012018,23:00,00:00,190
21012018,00:00,01:00,173
21012018,01:00,02:00,159
21012018,02:00,03:00,165
21012018,03:00,04:00,164
21012018,04:00,05:00,180
21012018,05:00,06:00,195
21012018,06:00,07:00,192
21012018,07:00,08:00,203
21012018,08:00,09:00,208
21012018,09:00,10:00,209
21012018,10:00,11:00,208
21012018,11:00,12:00,207
21012018,12:00,13:00,202
21012018,13:00,14:00,208
21012018,14:00,15:00,182
21012018,15:00,16:00,170
21012018,16:00,17:00,182
21012018,17:00,18:00,210
21012018,18:00,19:00,209
21012018,19:00,20:00,211
21012018,20:00,21:00,210
21012018,21:00,22:00,209
21012018,22:00,23:00,203
21012018,23:00,00:00,195
22012018,00:00,01:00,200
22012018,01:00,02:00,200
22012018,02:00,03:00,206
22012018,03:00,04:00,207
22012018,04:00,05:00,201
22012018,05:00,06:00,205
22012018,06:00,07:00,210
22012018,07:00,08:00,210
22012018,08:00,09:00,209
22012018,09:00,10:00,210
22012018,10:00,11:00,209
22012018,11:00,12:00,211
22012018,12:00,13:00,210
22012018,13:00,14:00,210
22012018,14:00,15:00,207
22012018,15:00,16:00,211
22012018,16:00,17:00,211
22012018,17:00,18:00,210
22012018,18:00,19:00,210
22012018,19:00,20:00,209
22012018,20:00,21:00,209
22012018,21:00,22:00,203
22012018,22:00,23:00,189
22012018,23:00,00:00,175
23012018,00:00,01:00,169
23012018,01:00,02:00,141
23012018,02:00,03:00,141
23012018,03:00,04:00,145
23012018,04:00,05:00,160
23012018,05:00,06:00,178
23012018,06:00,07:00,207
23012018,07:00,08:00,207
23012018,08:00,09:00,208
23012018,09:00,10:00,208
23012018,10:00,11:00,209
23012018,11:00,12:00,209
23012018,12:00,13:00,208
23012018,13:00,14:00,208
23012018,14:00,15:00,210
23012018,15:00,16:00,209
23012018,16:00,17:00,208
23012018,17:00,18:00,208
23012018,18:00,19:00,210
23012018,19:00,20:00,212
23012018,20:00,21:00,208
23012018,21:00,22:00,207
23012018,22:00,23:00,186
23012018,23:00,00:00,158
24012018,00:00,01:00,140
24012018,01:00,02:00,144
24012018,02:00,03:00,134
24012018,03:00,04:00,130
24012018,04:00,05:00,144
24012018,05:00,06:00,183
24012018,06:00,07:00,212
24012018,07:00,08:00,205
24012018,08:00,09:00,204
24012018,09:00,10:00,197
24012018,10:00,11:00,188
24012018,11:00,12:00,172
24012018,12:00,13:00,208
24012018,13:00,14:00,197
24012018,14:00,15:00,199
24012018,15:00,16:00,223
24012018,16:00,17:00,197
24012018,17:00,18:00,219
24012018,18:00,19:00,195
24012018,19:00,20:00,187
24012018,20:00,21:00,173
24012018,21:00,22:00,171
24012018,22:00,23:00,171
