date,start,end,11WD2BR15000116G
20012019,07:00,08:00,91
20012019,08:00,09:00,96
20012019,09:00,10:00,97
20012019,10:00,11:00,96
20012019,11:00,12:00,96
20012019,12:00,13:00,94
20012019,13:00,14:00,92
20012019,14:00,15:00,96
20012019,15:00,16:00,95
20012019,16:00,17:00,92
20012019,17:00,18:00,89
20012019,18:00,19:00,90
20012019,19:00,20:00,91
20012019,20:00,21:00,92
20012019,21:00,22:00,92
20012019,22:00,23:00,92
20012019,23:00,00:00,0
21012019,00:00,01:00,93
21012019,01:00,02:00,94
21012019,02:00,03:00,94
21012019,03:00,04:00,94
21012019,04:00,05:00,92
21012019,05:00,06:00,90
21012019,06:00,07:00,91
21012019,07:00,08:00,92
21012019,08:00,09:00,96
21012019,09:00,10:00,101
21012019,10:00,11:00,98
21012019,11:00,12:00,96
21012019,12:00,13:00,94
21012019,13:00,14:00,90
21012019,14:00,15:00,92
21012019,15:00,16:00,94
21012019,16:00,17:00,95
21012019,17:00,18:00,91
21012019,18:00,19:00,92
21012019,19:00,20:00,91
21012019,20:00,21:00,91
21012019,21:00,22:00,90
21012019,22:00,23:00,89
21012019,23:00,00:00,0
22012019,00:00,01:00,95
22012019,01:00,02:00,92
22012019,02:00,03:00,92
22012019,03:00,04:00,92
22012019,04:00,05:00,91
22012019,05:00,06:00,91
22012019,06:00,07:00,92
22012019,07:00,08:00,93
22012019,08:00,09:00,96
22012019,09:00,10:00,99
22012019,10:00,11:00,99
22012019,11:00,12:00,97
22012019,12:00,13:00,96
22012019,13:00,14:00,94
22012019,14:00,15:00,96
22012019,15:00,16:00,95
22012019,16:00,17:00,89
22012019,17:00,18:00,89
22012019,18:00,19:00,91
22012019,19:00,20:00,92
22012019,20:00,21:00,92
22012019,21:00,22:00,92
22012019,22:00,23:00,92
22012019,23:00,00:00,0
23012019,00:00,01:00,89
23012019,01:00,02:00,91
23012019,02:00,03:00,91
23012019,03:00,04:00,90
23012019,04:00,05:00,92
23012019,05:00,06:00,93
23012019,06:00,07:00,94
23012019,07:00,08:00,94
23012019,08:00,09:00,93
23012019,09:00,10:00,92
23012019,10:00,11:00,90
23012019,11:00,12:00,88
23012019,12:00,13:00,91
23012019,13:00,14:00,93
23012019,14:00,15:00,92
23012019,15:00,16:00,93
23012019,16:00,17:00,93
23012019,17:00,18:00,93
23012019,18:00,19:00,92
23012019,19:00,20:00,89
23012019,20:00,21:00,89
23012019,21:00,22:00,92
23012019,22:00,23:00,93
23012019,23:00,00:00,0
24012019,00:00,01:00,94
24012019,01:00,02:00,94
24012019,02:00,03:00,95
24012019,03:00,04:00,94
24012019,04:00,05:00,91
24012019,05:00,06:00,91
24012019,06:00,07:00,92
24012019,07:00,08:00,92
24012019,08:00,09:00,93
24012019,09:00,10:00,94
24012019,10:00,11:00,89
24012019,11:00,12:00,90
24012019,12:00,13:00,91
24012019,13:00,14:00,94
24012019,14:00,15:00,94
24012019,15:00,16:00,93
24012019,16:00,17:00,93
24012019,17:00,18:00,93
24012019,18:00,19:00,90
24012019,19:00,20:00,87
24012019,20:00,21:00,90
24012019,21:00,22:00,93
24012019,22:00,23:00,95
24012019,23:00,00:00,0
25012019,00:00,01:00,94
25012019,01:00,02:00,94
25012019,02:00,03:00,93
25012019,03:00,04:00,91
25012019,04:00,05:00,90
25012019,05:00,06:00,91
25012019,06:00,07:00,92
25012019,07:00,08:00,93
25012019,08:00,09:00,94
25012019,09:00,10:00,91
25012019,10:00,11:00,89
25012019,11:00,12:00,90
25012019,12:00,13:00,93
25012019,13:00,14:00,92
25012019,14:00,15:00,93
25012019,15:00,16:00,93
25012019,16:00,17:00,93
25012019,17:00,18:00,91
25012019,18:00,19:00,90
25012019,19:00,20:00,94
25012019,20:00,21:00,95
25012019,21:00,22:00,95
25012019,22:00,23:00,95
25012019,23:00,00:00,0
26012019,00:00,01:00,85
26012019,01:00,02:00,84
26012019,02:00,03:00,71
26012019,03:00,04:00,79
26012019,04:00,05:00,80
26012019,05:00,06:00,86
26012019,06:00,07:00,97
26012019,07:00,08:00,98
26012019,08:00,09:00,97
26012019,09:00,10:00,98
26012019,10:00,11:00,101
26012019,11:00,12:00,101
26012019,12:00,13:00,99
26012019,13:00,14:00,101
26012019,14:00,15:00,103
26012019,15:00,16:00,104
26012019,16:00,17:00,104
26012019,17:00,18:00,105
26012019,18:00,19:00,105
26012019,19:00,20:00,106
26012019,20:00,21:00,104
26012019,21:00,22:00,98
26012019,22:00,23:00,98
26012019,23:00,00:00,0
27012019,00:00,01:00,90
27012019,01:00,02:00,83
27012019,02:00,03:00,83
27012019,03:00,04:00,80
27012019,04:00,05:00,79
27012019,05:00,06:00,80
27012019,06:00,07:00,82
27012019,07:00,08:00,81
27012019,08:00,09:00,80
27012019,09:00,10:00,82
27012019,10:00,11:00,93
27012019,11:00,12:00,100
27012019,12:00,13:00,102
27012019,13:00,14:00,104
27012019,14:00,15:00,106
27012019,15:00,16:00,103
27012019,16:00,17:00,102
27012019,17:00,18:00,100
27012019,18:00,19:00,100
27012019,19:00,20:00,97
27012019,20:00,21:00,97
27012019,21:00,22:00,92
27012019,22:00,23:00,79
27012019,23:00,00:00,0
28012019,00:00,01:00,78
28012019,01:00,02:00,78
28012019,02:00,03:00,78
28012019,03:00,04:00,80
28012019,04:00,05:00,81
28012019,05:00,06:00,93
28012019,06:00,07:00,90
28012019,07:00,08:00,92
28012019,08:00,09:00,93
28012019,09:00,10:00,92
28012019,10:00,11:00,93
28012019,11:00,12:00,93
28012019,12:00,13:00,92
28012019,13:00,14:00,90
28012019,14:00,15:00,89
28012019,15:00,16:00,95
28012019,16:00,17:00,93
28012019,17:00,18:00,93
28012019,18:00,19:00,91
28012019,19:00,20:00,88
28012019,20:00,21:00,90
28012019,21:00,22:00,93
28012019,22:00,23:00,94
28012019,23:00,00:00,0
29012019,00:00,01:00,86
29012019,01:00,02:00,87
29012019,02:00,03:00,87
29012019,03:00,04:00,87
29012019,04:00,05:00,88
29012019,05:00,06:00,92
29012019,06:00,07:00,92
29012019,07:00,08:00,96
29012019,08:00,09:00,96
29012019,09:00,10:00,95
29012019,10:00,11:00,93
29012019,11:00,12:00,92
29012019,12:00,13:00,91
29012019,13:00,14:00,93
29012019,14:00,15:00,93
29012019,15:00,16:00,92
29012019,16:00,17:00,89
29012019,17:00,18:00,90
29012019,18:00,19:00,92
29012019,19:00,20:00,93
29012019,20:00,21:00,93
29012019,21:00,22:00,92
29012019,22:00,23:00,89
29012019,23:00,00:00,0
30012019,00:00,01:00,93
30012019,01:00,02:00,93
30012019,02:00,03:00,93
30012019,03:00,04:00,93
30012019,04:00,05:00,90
30012019,05:00,06:00,90
30012019,06:00,07:00,93
30012019,07:00,08:00,85
30012019,08:00,09:00,87
30012019,09:00,10:00,89
30012019,10:00,11:00,88
30012019,11:00,12:00,88
30012019,12:00,13:00,88
30012019,13:00,14:00,91
30012019,14:00,15:00,88
30012019,15:00,16:00,87
30012019,16:00,17:00,95
30012019,17:00,18:00,97
30012019,18:00,19:00,96
30012019,19:00,20:00,95
30012019,20:00,21:00,91
30012019,21:00,22:00,89
30012019,22:00,23:00,92
30012019,23:00,00:00,0
31012019,00:00,01:00,93
31012019,01:00,02:00,93
31012019,02:00,03:00,94
31012019,03:00,04:00,90
31012019,04:00,05:00,89
31012019,05:00,06:00,90
31012019,06:00,07:00,92
31012019,07:00,08:00,92
31012019,08:00,09:00,93
31012019,09:00,10:00,94
31012019,10:00,11:00,94
31012019,11:00,12:00,93
31012019,12:00,13:00,92
31012019,13:00,14:00,88
31012019,14:00,15:00,90
31012019,15:00,16:00,92
31012019,16:00,17:00,93
31012019,17:00,18:00,93
31012019,18:00,19:00,91
31012019,19:00,20:00,90
31012019,20:00,21:00,92
31012019,21:00,22:00,93
31012019,22:00,23:00,93
31012019,23:00,00:00,0
1022019,00:00,01:00,92
1022019,01:00,02:00,88
1022019,02:00,03:00,72
1022019,03:00,04:00,72
1022019,04:00,05:00,77
1022019,05:00,06:00,88
1022019,06:00,07:00,91
1022019,07:00,08:00,93
1022019,08:00,09:00,93
1022019,09:00,10:00,93
1022019,10:00,11:00,93
1022019,11:00,12:00,93
1022019,12:00,13:00,89
1022019,13:00,14:00,89
1022019,14:00,15:00,90
1022019,15:00,16:00,92
1022019,16:00,17:00,92
1022019,17:00,18:00,92
1022019,18:00,19:00,92
1022019,19:00,20:00,91
1022019,20:00,21:00,88
1022019,21:00,22:00,89
1022019,22:00,23:00,91
1022019,23:00,00:00,0
2022019,00:00,01:00,92
2022019,01:00,02:00,92
2022019,02:00,03:00,91
2022019,03:00,04:00,92
2022019,04:00,05:00,94
2022019,05:00,06:00,94
2022019,06:00,07:00,92
2022019,07:00,08:00,92
2022019,08:00,09:00,90
2022019,09:00,10:00,88
2022019,10:00,11:00,90
2022019,11:00,12:00,91
2022019,12:00,13:00,93
2022019,13:00,14:00,97
2022019,14:00,15:00,96
2022019,15:00,16:00,95
2022019,16:00,17:00,95
2022019,17:00,18:00,94
2022019,18:00,19:00,96
2022019,19:00,20:00,97
2022019,20:00,21:00,98
2022019,21:00,22:00,99
2022019,22:00,23:00,100
2022019,23:00,00:00,0
3022019,00:00,01:00,101
3022019,01:00,02:00,101
3022019,02:00,03:00,98
3022019,03:00,04:00,92
3022019,04:00,05:00,91
3022019,05:00,06:00,92
3022019,06:00,07:00,91
3022019,07:00,08:00,91
3022019,08:00,09:00,92
3022019,09:00,10:00,92
3022019,10:00,11:00,92
3022019,11:00,12:00,92
3022019,12:00,13:00,91
3022019,13:00,14:00,86
3022019,14:00,15:00,87
3022019,15:00,16:00,86
3022019,16:00,17:00,87
3022019,17:00,18:00,87
3022019,18:00,19:00,88
3022019,19:00,20:00,89
3022019,20:00,21:00,72
3022019,21:00,22:00,74
3022019,22:00,23:00,90
3022019,23:00,00:00,0
4022019,00:00,01:00,87
4022019,01:00,02:00,88
4022019,02:00,03:00,88
4022019,03:00,04:00,87
4022019,04:00,05:00,91
4022019,05:00,06:00,91
4022019,06:00,07:00,90
4022019,07:00,08:00,90
4022019,08:00,09:00,92
4022019,09:00,10:00,93
4022019,10:00,11:00,93
4022019,11:00,12:00,93
4022019,12:00,13:00,92
4022019,13:00,14:00,90
4022019,14:00,15:00,90
4022019,15:00,16:00,93
4022019,16:00,17:00,94
4022019,17:00,18:00,83
4022019,18:00,19:00,81
4022019,19:00,20:00,84
4022019,20:00,21:00,81
4022019,21:00,22:00,82
4022019,22:00,23:00,82
4022019,23:00,00:00,0
5022019,00:00,01:00,81
5022019,01:00,02:00,84
5022019,02:00,03:00,98
5022019,03:00,04:00,98
5022019,04:00,05:00,98
5022019,05:00,06:00,95
5022019,06:00,07:00,93
5022019,07:00,08:00,91
5022019,08:00,09:00,90
5022019,09:00,10:00,95
5022019,10:00,11:00,95
5022019,11:00,12:00,96
5022019,12:00,13:00,95
5022019,13:00,14:00,95
5022019,14:00,15:00,90
5022019,15:00,16:00,90
5022019,16:00,17:00,93
5022019,17:00,18:00,93
5022019,18:00,19:00,93
5022019,19:00,20:00,95
5022019,20:00,21:00,92
5022019,21:00,22:00,91
5022019,22:00,23:00,96
5022019,23:00,00:00,0
6022019,00:00,01:00,88
6022019,01:00,02:00,88
6022019,02:00,03:00,87
6022019,03:00,04:00,87
6022019,04:00,05:00,88
6022019,05:00,06:00,88
6022019,06:00,07:00,91
6022019,07:00,08:00,90
6022019,08:00,09:00,93
6022019,09:00,10:00,93
6022019,10:00,11:00,92
6022019,11:00,12:00,95
6022019,12:00,13:00,94
6022019,13:00,14:00,93
6022019,14:00,15:00,93
6022019,15:00,16:00,92
6022019,16:00,17:00,92
6022019,17:00,18:00,92
6022019,18:00,19:00,91
6022019,19:00,20:00,92
6022019,20:00,21:00,93
6022019,21:00,22:00,93
6022019,22:00,23:00,88
6022019,23:00,00:00,0
7022019,00:00,01:00,85
7022019,01:00,02:00,85
7022019,02:00,03:00,85
7022019,03:00,04:00,84
7022019,04:00,05:00,84
7022019,05:00,06:00,88
7022019,06:00,07:00,97
7022019,07:00,08:00,101
7022019,08:00,09:00,100
7022019,09:00,10:00,100
7022019,10:00,11:00,101
7022019,11:00,12:00,101
7022019,12:00,13:00,100
7022019,13:00,14:00,99
7022019,14:00,15:00,100
7022019,15:00,16:00,101
7022019,16:00,17:00,101
7022019,17:00,18:00,101
7022019,18:00,19:00,101
7022019,19:00,20:00,101
7022019,20:00,21:00,100
7022019,21:00,22:00,92
7022019,22:00,23:00,82
7022019,23:00,00:00,0
8022019,00:00,01:00,77
8022019,01:00,02:00,77
8022019,02:00,03:00,78
8022019,03:00,04:00,78
8022019,04:00,05:00,87
8022019,05:00,06:00,86
8022019,06:00,07:00,93
8022019,07:00,08:00,99
8022019,08:00,09:00,99
8022019,09:00,10:00,100
8022019,10:00,11:00,88
8022019,11:00,12:00,83
8022019,12:00,13:00,84
8022019,13:00,14:00,81
8022019,14:00,15:00,79
8022019,15:00,16:00,78
8022019,16:00,17:00,79
8022019,17:00,18:00,79
8022019,18:00,19:00,78
8022019,19:00,20:00,78
8022019,20:00,21:00,79
8022019,21:00,22:00,79
8022019,22:00,23:00,79
8022019,23:00,00:00,0
9022019,00:00,01:00,79
9022019,01:00,02:00,79
9022019,02:00,03:00,79
9022019,03:00,04:00,79
9022019,04:00,05:00,74
9022019,05:00,06:00,74
9022019,06:00,07:00,74
9022019,07:00,08:00,75
9022019,08:00,09:00,74
9022019,09:00,10:00,75
9022019,10:00,11:00,75
9022019,11:00,12:00,76
9022019,12:00,13:00,75
9022019,13:00,14:00,75
9022019,14:00,15:00,75
9022019,15:00,16:00,75
9022019,16:00,17:00,75
9022019,17:00,18:00,76
9022019,18:00,19:00,76
9022019,19:00,20:00,80
9022019,20:00,21:00,77
9022019,21:00,22:00,75
9022019,22:00,23:00,76
9022019,23:00,00:00,0
10022019,00:00,01:00,75
10022019,01:00,02:00,76
10022019,02:00,03:00,75
10022019,03:00,04:00,75
10022019,04:00,05:00,75
10022019,05:00,06:00,76
10022019,06:00,07:00,75
10022019,07:00,08:00,75
10022019,08:00,09:00,75
10022019,09:00,10:00,76
10022019,10:00,11:00,75
10022019,11:00,12:00,75
10022019,12:00,13:00,76
10022019,13:00,14:00,75
10022019,14:00,15:00,75
10022019,15:00,16:00,76
10022019,16:00,17:00,73
10022019,17:00,18:00,75
10022019,18:00,19:00,75
10022019,19:00,20:00,74
10022019,20:00,21:00,74
10022019,21:00,22:00,79
10022019,22:00,23:00,79
10022019,23:00,00:00,0
11022019,00:00,01:00,79
11022019,01:00,02:00,79
11022019,02:00,03:00,80
11022019,03:00,04:00,81
11022019,04:00,05:00,88
11022019,05:00,06:00,88
11022019,06:00,07:00,96
11022019,07:00,08:00,97
11022019,08:00,09:00,97
11022019,09:00,10:00,100
11022019,10:00,11:00,102
