date,start,end,11WD8LEIP5X----6
3022019,17:00,18:00,152
3022019,18:00,19:00,161
3022019,19:00,20:00,166
3022019,20:00,21:00,157
3022019,21:00,22:00,152
3022019,22:00,23:00,150
3022019,23:00,00:00,148
4022019,00:00,01:00,151
4022019,01:00,02:00,107
4022019,02:00,03:00,63
4022019,03:00,04:00,63
4022019,04:00,05:00,110
4022019,05:00,06:00,153
4022019,06:00,07:00,155
4022019,07:00,08:00,155
4022019,08:00,09:00,155
4022019,09:00,10:00,154
4022019,10:00,11:00,154
4022019,11:00,12:00,153
4022019,12:00,13:00,152
4022019,13:00,14:00,152
4022019,14:00,15:00,152
4022019,15:00,16:00,153
4022019,16:00,17:00,160
4022019,17:00,18:00,167
4022019,18:00,19:00,167
4022019,19:00,20:00,167
4022019,20:00,21:00,167
4022019,21:00,22:00,157
4022019,22:00,23:00,154
4022019,23:00,00:00,152
5022019,00:00,01:00,111
5022019,01:00,02:00,75
5022019,02:00,03:00,75
5022019,03:00,04:00,80
5022019,04:00,05:00,129
5022019,05:00,06:00,153
5022019,06:00,07:00,156
5022019,07:00,08:00,160
5022019,08:00,09:00,159
5022019,09:00,10:00,162
5022019,10:00,11:00,166
5022019,11:00,12:00,166
5022019,12:00,13:00,165
5022019,13:00,14:00,165
5022019,14:00,15:00,165
5022019,15:00,16:00,165
5022019,16:00,17:00,166
5022019,17:00,18:00,166
5022019,18:00,19:00,166
5022019,19:00,20:00,166
5022019,20:00,21:00,165
5022019,21:00,22:00,155
5022019,22:00,23:00,149
5022019,23:00,00:00,149
6022019,00:00,01:00,141
6022019,01:00,02:00,109
6022019,02:00,03:00,72
6022019,03:00,04:00,70
6022019,04:00,05:00,128
6022019,05:00,06:00,155
6022019,06:00,07:00,163
6022019,07:00,08:00,165
6022019,08:00,09:00,163
6022019,09:00,10:00,165
6022019,10:00,11:00,157
6022019,11:00,12:00,142
6022019,12:00,13:00,148
6022019,13:00,14:00,143
6022019,14:00,15:00,148
6022019,15:00,16:00,148
6022019,16:00,17:00,149
6022019,17:00,18:00,150
6022019,18:00,19:00,150
6022019,19:00,20:00,150
6022019,20:00,21:00,150
6022019,21:00,22:00,148
6022019,22:00,23:00,145
6022019,23:00,00:00,141
7022019,00:00,01:00,97
7022019,01:00,02:00,90
7022019,02:00,03:00,90
7022019,03:00,04:00,87
7022019,04:00,05:00,102
7022019,05:00,06:00,130
7022019,06:00,07:00,147
7022019,07:00,08:00,149
7022019,08:00,09:00,150
7022019,09:00,10:00,149
7022019,10:00,11:00,149
7022019,11:00,12:00,149
7022019,12:00,13:00,149
7022019,13:00,14:00,149
7022019,14:00,15:00,149
7022019,15:00,16:00,149
7022019,16:00,17:00,149
7022019,17:00,18:00,148
7022019,18:00,19:00,150
7022019,19:00,20:00,150
7022019,20:00,21:00,139
7022019,21:00,22:00,130
7022019,22:00,23:00,115
7022019,23:00,00:00,82
8022019,00:00,01:00,70
8022019,01:00,02:00,69
8022019,02:00,03:00,69
8022019,03:00,04:00,74
8022019,04:00,05:00,80
8022019,05:00,06:00,92
8022019,06:00,07:00,144
8022019,07:00,08:00,150
8022019,08:00,09:00,142
8022019,09:00,10:00,94
8022019,10:00,11:00,62
8022019,11:00,12:00,56
8022019,12:00,13:00,57
8022019,13:00,14:00,31
8022019,14:00,15:00,30
8022019,15:00,16:00,44
8022019,16:00,17:00,59
8022019,17:00,18:00,59
8022019,18:00,19:00,57
8022019,19:00,20:00,49
8022019,20:00,21:00,66
8022019,21:00,22:00,68
8022019,22:00,23:00,43
8022019,23:00,00:00,27
9022019,00:00,01:00,26
9022019,01:00,02:00,26
9022019,02:00,03:00,26
9022019,03:00,04:00,26
9022019,04:00,05:00,46
9022019,05:00,06:00,57
9022019,06:00,07:00,57
9022019,07:00,08:00,58
9022019,08:00,09:00,59
9022019,09:00,10:00,59
9022019,10:00,11:00,59
9022019,11:00,12:00,57
9022019,12:00,13:00,56
9022019,13:00,14:00,56
9022019,14:00,15:00,56
9022019,15:00,16:00,57
9022019,16:00,17:00,58
9022019,17:00,18:00,58
9022019,18:00,19:00,59
9022019,19:00,20:00,59
9022019,20:00,21:00,59
9022019,21:00,22:00,49
9022019,22:00,23:00,45
9022019,23:00,00:00,45
10022019,00:00,01:00,43
10022019,01:00,02:00,33
10022019,02:00,03:00,26
10022019,03:00,04:00,26
10022019,04:00,05:00,26
10022019,05:00,06:00,32
10022019,06:00,07:00,43
10022019,07:00,08:00,43
10022019,08:00,09:00,43
10022019,09:00,10:00,43
10022019,10:00,11:00,39
10022019,11:00,12:00,39
10022019,12:00,13:00,46
10022019,13:00,14:00,66
10022019,14:00,15:00,67
10022019,15:00,16:00,68
10022019,16:00,17:00,70
10022019,17:00,18:00,61
10022019,18:00,19:00,61
10022019,19:00,20:00,61
