date,start,end,11WD8SWPU1L---AK,11WD8SWPU1L---BI
23012022,23:00,00:00,751.0,737.0
24012022,00:00,01:00,755.0,750.0
24012022,01:00,02:00,755.0,750.0
24012022,02:00,03:00,753.0,747.0
24012022,03:00,04:00,751.0,742.0
24012022,04:00,05:00,748.0,735.0
24012022,05:00,06:00,755.0,743.0
24012022,06:00,07:00,720.0,737.0
24012022,07:00,08:00,703.0,733.0
24012022,08:00,09:00,613.0,719.0
24012022,09:00,10:00,710.0,738.0
24012022,10:00,11:00,721.0,732.0
24012022,11:00,12:00,723.0,735.0
24012022,12:00,13:00,722.0,722.0
24012022,13:00,14:00,721.0,718.0
24012022,14:00,15:00,724.0,722.0
24012022,15:00,16:00,726.0,722.0
24012022,16:00,17:00,721.0,723.0
24012022,17:00,18:00,721.0,729.0
24012022,18:00,19:00,725.0,722.0
24012022,19:00,20:00,720.0,717.0
24012022,20:00,21:00,583.0,722.0
24012022,21:00,22:00,579.0,719.0
24012022,22:00,23:00,608.0,728.0
24012022,23:00,00:00,580.0,724.0
25012022,00:00,01:00,717.0,723.0
25012022,01:00,02:00,717.0,724.0
25012022,02:00,03:00,721.0,719.0
25012022,03:00,04:00,717.0,723.0
25012022,04:00,05:00,715.0,721.0
25012022,05:00,06:00,721.0,721.0
25012022,06:00,07:00,736.0,720.0
25012022,07:00,08:00,735.0,722.0
25012022,08:00,09:00,729.0,719.0
25012022,09:00,10:00,735.0,720.0
25012022,10:00,11:00,734.0,723.0
25012022,11:00,12:00,734.0,727.0
25012022,12:00,13:00,733.0,719.0
25012022,13:00,14:00,735.0,726.0
25012022,14:00,15:00,729.0,728.0
25012022,15:00,16:00,717.0,726.0
25012022,16:00,17:00,716.0,724.0
25012022,17:00,18:00,714.0,728.0
25012022,18:00,19:00,706.0,714.0
25012022,19:00,20:00,709.0,724.0
25012022,20:00,21:00,710.0,726.0
25012022,21:00,22:00,716.0,717.0
25012022,22:00,23:00,707.0,726.0
25012022,23:00,00:00,699.0,723.0
26012022,00:00,01:00,632.0,710.0
26012022,01:00,02:00,586.0,609.0
26012022,02:00,03:00,615.0,647.0
26012022,03:00,04:00,651.0,706.0
26012022,04:00,05:00,654.0,720.0
26012022,05:00,06:00,679.0,725.0
26012022,06:00,07:00,705.0,729.0
26012022,07:00,08:00,711.0,740.0
26012022,08:00,09:00,720.0,736.0
26012022,09:00,10:00,726.0,736.0
26012022,10:00,11:00,726.0,734.0
26012022,11:00,12:00,726.0,742.0
26012022,12:00,13:00,708.0,714.0
26012022,13:00,14:00,678.0,701.0
26012022,14:00,15:00,675.0,719.0
26012022,15:00,16:00,571.0,710.0
26012022,16:00,17:00,581.0,714.0
26012022,17:00,18:00,575.0,716.0
26012022,18:00,19:00,560.0,703.0
26012022,19:00,20:00,607.0,655.0
26012022,20:00,21:00,528.0,532.0
26012022,21:00,22:00,380.0,400.0
26012022,22:00,23:00,279.0,342.0
26012022,23:00,00:00,275.0,319.0
27012022,00:00,01:00,287.0,336.0
27012022,01:00,02:00,342.0,347.0
27012022,02:00,03:00,323.0,342.0
27012022,03:00,04:00,321.0,345.0
27012022,04:00,05:00,329.0,343.0
27012022,05:00,06:00,320.0,339.0
27012022,06:00,07:00,322.0,336.0
27012022,07:00,08:00,338.0,339.0
27012022,08:00,09:00,381.0,432.0
27012022,09:00,10:00,377.0,440.0
27012022,10:00,11:00,381.0,458.0
27012022,11:00,12:00,370.0,447.0
27012022,12:00,13:00,359.0,478.0
27012022,13:00,14:00,360.0,487.0
27012022,14:00,15:00,369.0,506.0
27012022,15:00,16:00,362.0,501.0
27012022,16:00,17:00,378.0,489.0
27012022,17:00,18:00,375.0,497.0
27012022,18:00,19:00,370.0,490.0
27012022,19:00,20:00,356.0,461.0
27012022,20:00,21:00,239.0,304.0
27012022,21:00,22:00,257.0,300.0
27012022,22:00,23:00,242.0,351.0
27012022,23:00,00:00,241.0,369.0
28012022,00:00,01:00,284.0,351.0
28012022,01:00,02:00,282.0,363.0
28012022,02:00,03:00,287.0,341.0
28012022,03:00,04:00,291.0,337.0
28012022,04:00,05:00,326.0,393.0
28012022,05:00,06:00,349.0,509.0
28012022,06:00,07:00,425.0,491.0
28012022,07:00,08:00,382.0,490.0
28012022,08:00,09:00,331.0,447.0
28012022,09:00,10:00,345.0,450.0
28012022,10:00,11:00,334.0,445.0
28012022,11:00,12:00,338.0,447.0
28012022,12:00,13:00,294.0,438.0
28012022,13:00,14:00,271.0,470.0
28012022,14:00,15:00,274.0,436.0
28012022,15:00,16:00,417.0,599.0
28012022,16:00,17:00,448.0,711.0
28012022,17:00,18:00,452.0,712.0
28012022,18:00,19:00,445.0,705.0
28012022,19:00,20:00,472.0,709.0
28012022,20:00,21:00,433.0,710.0
28012022,21:00,22:00,458.0,717.0
28012022,22:00,23:00,360.0,642.0
28012022,23:00,00:00,277.0,391.0
29012022,00:00,01:00,249.0,483.0
29012022,01:00,02:00,222.0,463.0
29012022,02:00,03:00,258.0,279.0
29012022,03:00,04:00,244.0,276.0
29012022,04:00,05:00,223.0,262.0
29012022,05:00,06:00,224.0,260.0
29012022,06:00,07:00,237.0,270.0
29012022,07:00,08:00,245.0,281.0
29012022,08:00,09:00,228.0,281.0
29012022,09:00,10:00,237.0,279.0
29012022,10:00,11:00,239.0,277.0
29012022,11:00,12:00,249.0,287.0
29012022,12:00,13:00,248.0,286.0
29012022,13:00,14:00,251.0,288.0
29012022,14:00,15:00,244.0,301.0
29012022,15:00,16:00,236.0,292.0
29012022,16:00,17:00,229.0,304.0
29012022,17:00,18:00,252.0,339.0
