date,start,end,11WD2BURG000145R
1022019,12:00,13:00,
1022019,13:00,14:00,
1022019,14:00,15:00,
1022019,15:00,16:00,
1022019,16:00,17:00,
1022019,17:00,18:00,
1022019,18:00,19:00,
1022019,19:00,20:00,
1022019,20:00,21:00,
1022019,21:00,22:00,
1022019,22:00,23:00,
1022019,23:00,00:00,
2022019,00:00,01:00,
2022019,01:00,02:00,
2022019,02:00,03:00,
2022019,03:00,04:00,
2022019,04:00,05:00,
2022019,05:00,06:00,
2022019,06:00,07:00,
2022019,07:00,08:00,
2022019,08:00,09:00,
2022019,09:00,10:00,
2022019,10:00,11:00,
2022019,11:00,12:00,
2022019,12:00,13:00,
2022019,13:00,14:00,
2022019,14:00,15:00,
2022019,15:00,16:00,
2022019,16:00,17:00,
2022019,17:00,18:00,
2022019,18:00,19:00,
2022019,19:00,20:00,
2022019,20:00,21:00,
2022019,21:00,22:00,
2022019,22:00,23:00,
2022019,23:00,00:00,
3022019,00:00,01:00,
3022019,01:00,02:00,
3022019,02:00,03:00,
3022019,03:00,04:00,
3022019,04:00,05:00,
3022019,05:00,06:00,
3022019,06:00,07:00,
3022019,07:00,08:00,
3022019,08:00,09:00,
3022019,09:00,10:00,
3022019,10:00,11:00,
3022019,11:00,12:00,
3022019,12:00,13:00,
3022019,13:00,14:00,
3022019,14:00,15:00,
3022019,15:00,16:00,
3022019,16:00,17:00,
3022019,17:00,18:00,
3022019,18:00,19:00,
3022019,19:00,20:00,
3022019,20:00,21:00,
3022019,21:00,22:00,
3022019,22:00,23:00,
3022019,23:00,00:00,
4022019,00:00,01:00,
4022019,01:00,02:00,
4022019,02:00,03:00,
4022019,03:00,04:00,
4022019,04:00,05:00,
4022019,05:00,06:00,
4022019,06:00,07:00,
4022019,07:00,08:00,
4022019,08:00,09:00,
4022019,09:00,10:00,
4022019,10:00,11:00,
4022019,11:00,12:00,
4022019,12:00,13:00,
4022019,13:00,14:00,
4022019,14:00,15:00,
4022019,15:00,16:00,
4022019,16:00,17:00,
4022019,17:00,18:00,
4022019,18:00,19:00,
4022019,19:00,20:00,
4022019,20:00,21:00,
4022019,21:00,22:00,
4022019,22:00,23:00,
4022019,23:00,00:00,
5022019,00:00,01:00,
5022019,01:00,02:00,
5022019,02:00,03:00,
5022019,03:00,04:00,
5022019,04:00,05:00,
5022019,05:00,06:00,
5022019,06:00,07:00,
5022019,07:00,08:00,
5022019,08:00,09:00,
5022019,09:00,10:00,
5022019,10:00,11:00,
5022019,11:00,12:00,
5022019,12:00,13:00,
5022019,13:00,14:00,
5022019,14:00,15:00,
5022019,15:00,16:00,
5022019,16:00,17:00,
5022019,17:00,18:00,
5022019,18:00,19:00,
5022019,19:00,20:00,
5022019,20:00,21:00,
5022019,21:00,22:00,
5022019,22:00,23:00,
5022019,23:00,00:00,
6022019,00:00,01:00,
6022019,01:00,02:00,
6022019,02:00,03:00,
6022019,03:00,04:00,
6022019,04:00,05:00,
6022019,05:00,06:00,
6022019,06:00,07:00,
6022019,07:00,08:00,
6022019,08:00,09:00,
6022019,09:00,10:00,
6022019,10:00,11:00,
6022019,11:00,12:00,
6022019,12:00,13:00,
6022019,13:00,14:00,
6022019,14:00,15:00,
6022019,15:00,16:00,
6022019,16:00,17:00,
6022019,17:00,18:00,
6022019,18:00,19:00,
6022019,19:00,20:00,
6022019,20:00,21:00,
6022019,21:00,22:00,
6022019,22:00,23:00,
6022019,23:00,00:00,
7022019,00:00,01:00,
7022019,01:00,02:00,
7022019,02:00,03:00,
