date,start,end,11WD7VOLK5S-HKVM
29012019,11:00,12:00,0.0
29012019,12:00,13:00,0.0
29012019,13:00,14:00,0.0
29012019,14:00,15:00,0.0
29012019,15:00,16:00,0.0
29012019,16:00,17:00,0.0
29012019,17:00,18:00,0.0
29012019,18:00,19:00,0.0
29012019,19:00,20:00,0.0
29012019,20:00,21:00,0.0
29012019,21:00,22:00,0.0
29012019,22:00,23:00,0.0
29012019,23:00,00:00,0.0
30012019,00:00,01:00,0.0
30012019,01:00,02:00,0.0
30012019,02:00,03:00,0.0
30012019,03:00,04:00,0.0
30012019,04:00,05:00,0.0
30012019,05:00,06:00,0.0
30012019,06:00,07:00,0.0
30012019,07:00,08:00,0.0
30012019,08:00,09:00,0.0
30012019,09:00,10:00,0.0
30012019,10:00,11:00,0.0
30012019,11:00,12:00,0.0
30012019,12:00,13:00,0.0
30012019,13:00,14:00,0.0
30012019,14:00,15:00,0.0
30012019,15:00,16:00,0.0
30012019,16:00,17:00,0.0
30012019,17:00,18:00,0.0
30012019,18:00,19:00,0.0
30012019,19:00,20:00,0.0
30012019,20:00,21:00,0.0
30012019,21:00,22:00,0.0
30012019,22:00,23:00,0.0
30012019,23:00,00:00,0.0
31012019,00:00,01:00,0.0
31012019,01:00,02:00,0.0
31012019,02:00,03:00,0.0
31012019,03:00,04:00,0.0
31012019,04:00,05:00,0.0
31012019,05:00,06:00,0.0
31012019,06:00,07:00,0.0
31012019,07:00,08:00,0.0
31012019,08:00,09:00,0.0
31012019,09:00,10:00,0.0
31012019,10:00,11:00,0.0
31012019,11:00,12:00,0.0
31012019,12:00,13:00,0.0
31012019,13:00,14:00,0.0
31012019,14:00,15:00,0.0
31012019,15:00,16:00,0.0
31012019,16:00,17:00,0.0
31012019,17:00,18:00,0.0
31012019,18:00,19:00,0.0
31012019,19:00,20:00,0.0
31012019,20:00,21:00,0.0
31012019,21:00,22:00,0.0
31012019,22:00,23:00,0.0
31012019,23:00,00:00,0.0
1022019,00:00,01:00,0.0
1022019,01:00,02:00,0.0
1022019,02:00,03:00,0.0
1022019,03:00,04:00,0.0
1022019,04:00,05:00,0.0
1022019,05:00,06:00,0.0
1022019,06:00,07:00,0.0
1022019,07:00,08:00,0.0
1022019,08:00,09:00,0.0
1022019,09:00,10:00,0.0
1022019,10:00,11:00,0.0
1022019,11:00,12:00,0.0
1022019,12:00,13:00,0.0
1022019,13:00,14:00,0.0
1022019,14:00,15:00,0.0
1022019,15:00,16:00,0.0
1022019,16:00,17:00,0.0
1022019,17:00,18:00,0.0
1022019,18:00,19:00,0.0
1022019,19:00,20:00,0.0
1022019,20:00,21:00,0.0
1022019,21:00,22:00,0.0
1022019,22:00,23:00,0.0
1022019,23:00,00:00,0.0
2022019,00:00,01:00,0.0
2022019,01:00,02:00,0.0
2022019,02:00,03:00,0.0
2022019,03:00,04:00,0.0
2022019,04:00,05:00,0.0
2022019,05:00,06:00,0.0
2022019,06:00,07:00,0.0
2022019,07:00,08:00,0.0
2022019,08:00,09:00,0.0
2022019,09:00,10:00,0.0
2022019,10:00,11:00,0.0
2022019,11:00,12:00,0.0
2022019,12:00,13:00,0.0
2022019,13:00,14:00,0.0
2022019,14:00,15:00,0.0
2022019,15:00,16:00,0.0
2022019,16:00,17:00,0.0
2022019,17:00,18:00,0.0
2022019,18:00,19:00,0.0
2022019,19:00,20:00,0.0
2022019,20:00,21:00,0.0
2022019,21:00,22:00,0.0
2022019,22:00,23:00,0.0
2022019,23:00,00:00,0.0
3022019,00:00,01:00,0.0
3022019,01:00,02:00,0.0
3022019,02:00,03:00,0.0
3022019,03:00,04:00,0.0
3022019,04:00,05:00,0.0
3022019,05:00,06:00,0.0
3022019,06:00,07:00,0.0
