date,start,end,11WD7IBBE2S--B-P
25012017,08:00,09:00,785.0
25012017,09:00,10:00,785.0
25012017,10:00,11:00,784.0
25012017,11:00,12:00,788.0
25012017,12:00,13:00,780.0
25012017,13:00,14:00,787.0
25012017,14:00,15:00,784.0
25012017,15:00,16:00,786.0
25012017,16:00,17:00,782.0
25012017,17:00,18:00,784.0
25012017,18:00,19:00,783.0
25012017,19:00,20:00,785.0
25012017,20:00,21:00,785.0
25012017,21:00,22:00,784.0
25012017,22:00,23:00,783.0
25012017,23:00,00:00,783.0
26012017,00:00,01:00,785.0
26012017,01:00,02:00,783.0
26012017,02:00,03:00,783.0
26012017,03:00,04:00,785.0
26012017,04:00,05:00,784.0
26012017,05:00,06:00,782.0
26012017,06:00,07:00,782.0
26012017,07:00,08:00,786.0
26012017,08:00,09:00,781.0
26012017,09:00,10:00,780.0
26012017,10:00,11:00,786.0
26012017,11:00,12:00,782.0
26012017,12:00,13:00,785.0
26012017,13:00,14:00,779.0
26012017,14:00,15:00,784.0
26012017,15:00,16:00,784.0
26012017,16:00,17:00,783.0
26012017,17:00,18:00,784.0
26012017,18:00,19:00,783.0
26012017,19:00,20:00,784.0
26012017,20:00,21:00,784.0
26012017,21:00,22:00,784.0
26012017,22:00,23:00,785.0
26012017,23:00,00:00,784.0
27012017,00:00,01:00,781.0
27012017,01:00,02:00,783.0
27012017,02:00,03:00,785.0
27012017,03:00,04:00,783.0
27012017,04:00,05:00,783.0
27012017,05:00,06:00,783.0
27012017,06:00,07:00,784.0
27012017,07:00,08:00,783.0
27012017,08:00,09:00,785.0
27012017,09:00,10:00,784.0
27012017,10:00,11:00,784.0
27012017,11:00,12:00,783.0
27012017,12:00,13:00,786.0
27012017,13:00,14:00,783.0
27012017,14:00,15:00,783.0
27012017,15:00,16:00,783.0
27012017,16:00,17:00,783.0
27012017,17:00,18:00,782.0
27012017,18:00,19:00,784.0
27012017,19:00,20:00,767.0
27012017,20:00,21:00,362.0
27012017,21:00,22:00,0.0
27012017,22:00,23:00,0.0
27012017,23:00,00:00,0.0
28012017,00:00,01:00,0.0
28012017,01:00,02:00,0.0
28012017,02:00,03:00,0.0
28012017,03:00,04:00,0.0
28012017,04:00,05:00,0.0
28012017,05:00,06:00,0.0
28012017,06:00,07:00,0.0
28012017,07:00,08:00,0.0
28012017,08:00,09:00,0.0
28012017,09:00,10:00,0.0
28012017,10:00,11:00,0.0
