date,start,end,11WD8ROST1C----K
29012019,15:00,16:00,502
29012019,16:00,17:00,501
29012019,17:00,18:00,501
29012019,18:00,19:00,499
29012019,19:00,20:00,499
29012019,20:00,21:00,498
29012019,21:00,22:00,495
29012019,22:00,23:00,493
29012019,23:00,00:00,495
30012019,00:00,01:00,495
30012019,01:00,02:00,496
30012019,02:00,03:00,497
30012019,03:00,04:00,497
30012019,04:00,05:00,495
30012019,05:00,06:00,492
30012019,06:00,07:00,495
30012019,07:00,08:00,498
30012019,08:00,09:00,494
30012019,09:00,10:00,494
30012019,10:00,11:00,493
30012019,11:00,12:00,497
30012019,12:00,13:00,499
30012019,13:00,14:00,500
30012019,14:00,15:00,500
30012019,15:00,16:00,498
30012019,16:00,17:00,499
30012019,17:00,18:00,498
30012019,18:00,19:00,500
30012019,19:00,20:00,499
30012019,20:00,21:00,498
30012019,21:00,22:00,492
30012019,22:00,23:00,491
30012019,23:00,00:00,497
31012019,00:00,01:00,496
31012019,01:00,02:00,497
31012019,02:00,03:00,499
31012019,03:00,04:00,498
31012019,04:00,05:00,497
31012019,05:00,06:00,493
31012019,06:00,07:00,498
31012019,07:00,08:00,500
31012019,08:00,09:00,499
31012019,09:00,10:00,500
31012019,10:00,11:00,496
31012019,11:00,12:00,497
31012019,12:00,13:00,495
31012019,13:00,14:00,499
31012019,14:00,15:00,501
31012019,15:00,16:00,501
31012019,16:00,17:00,497
31012019,17:00,18:00,495
31012019,18:00,19:00,496
31012019,19:00,20:00,498
31012019,20:00,21:00,499
31012019,21:00,22:00,500
31012019,22:00,23:00,499
31012019,23:00,00:00,499
1022019,00:00,01:00,497
1022019,01:00,02:00,497
1022019,02:00,03:00,497
1022019,03:00,04:00,496
1022019,04:00,05:00,491
1022019,05:00,06:00,488
1022019,06:00,07:00,487
1022019,07:00,08:00,493
1022019,08:00,09:00,495
1022019,09:00,10:00,493
1022019,10:00,11:00,494
1022019,11:00,12:00,478
1022019,12:00,13:00,249
1022019,13:00,14:00,0
1022019,14:00,15:00,0
1022019,15:00,16:00,0
1022019,16:00,17:00,0
1022019,17:00,18:00,0
1022019,18:00,19:00,0
1022019,19:00,20:00,0
1022019,20:00,21:00,0
1022019,21:00,22:00,0
1022019,22:00,23:00,0
1022019,23:00,00:00,0
2022019,00:00,01:00,0
2022019,01:00,02:00,0
2022019,02:00,03:00,0
2022019,03:00,04:00,0
2022019,04:00,05:00,0
2022019,05:00,06:00,0
2022019,06:00,07:00,0
2022019,07:00,08:00,0
2022019,08:00,09:00,0
2022019,09:00,10:00,0
2022019,10:00,11:00,0
2022019,11:00,12:00,0
2022019,12:00,13:00,0
2022019,13:00,14:00,0
2022019,14:00,15:00,0
2022019,15:00,16:00,0
2022019,16:00,17:00,0
2022019,17:00,18:00,0
2022019,18:00,19:00,0
2022019,19:00,20:00,0
2022019,20:00,21:00,0
2022019,21:00,22:00,0
2022019,22:00,23:00,0
2022019,23:00,00:00,0
3022019,00:00,01:00,0
3022019,01:00,02:00,0
3022019,02:00,03:00,0
3022019,03:00,04:00,0
3022019,04:00,05:00,0
3022019,05:00,06:00,0
3022019,06:00,07:00,0
3022019,07:00,08:00,0
3022019,08:00,09:00,0
3022019,09:00,10:00,0
3022019,10:00,11:00,0
3022019,11:00,12:00,0
3022019,12:00,13:00,0
3022019,13:00,14:00,0
3022019,14:00,15:00,0
3022019,15:00,16:00,0
3022019,16:00,17:00,0
3022019,17:00,18:00,0
3022019,18:00,19:00,4
3022019,19:00,20:00,147
3022019,20:00,21:00,248
3022019,21:00,22:00,341
3022019,22:00,23:00,307
3022019,23:00,00:00,302
4022019,00:00,01:00,268
4022019,01:00,02:00,266
4022019,02:00,03:00,265
4022019,03:00,04:00,295
4022019,04:00,05:00,353
4022019,05:00,06:00,361
4022019,06:00,07:00,458
4022019,07:00,08:00,495
4022019,08:00,09:00,495
4022019,09:00,10:00,499
4022019,10:00,11:00,503
4022019,11:00,12:00,505
4022019,12:00,13:00,504
4022019,13:00,14:00,503
4022019,14:00,15:00,502
4022019,15:00,16:00,500
4022019,16:00,17:00,498
4022019,17:00,18:00,497
4022019,18:00,19:00,455
4022019,19:00,20:00,450
4022019,20:00,21:00,492
4022019,21:00,22:00,499
4022019,22:00,23:00,493
4022019,23:00,00:00,285
5022019,00:00,01:00,256
5022019,01:00,02:00,326
5022019,02:00,03:00,421
5022019,03:00,04:00,503
5022019,04:00,05:00,503
5022019,05:00,06:00,500
5022019,06:00,07:00,497
5022019,07:00,08:00,497
5022019,08:00,09:00,496
5022019,09:00,10:00,495
5022019,10:00,11:00,496
5022019,11:00,12:00,497
5022019,12:00,13:00,498
5022019,13:00,14:00,499
5022019,14:00,15:00,501
5022019,15:00,16:00,506
5022019,16:00,17:00,505
5022019,17:00,18:00,503
5022019,18:00,19:00,502
5022019,19:00,20:00,500
5022019,20:00,21:00,503
5022019,21:00,22:00,503
5022019,22:00,23:00,496
5022019,23:00,00:00,496
6022019,00:00,01:00,499
6022019,01:00,02:00,501
6022019,02:00,03:00,500
6022019,03:00,04:00,498
6022019,04:00,05:00,500
6022019,05:00,06:00,496
6022019,06:00,07:00,499
6022019,07:00,08:00,500
6022019,08:00,09:00,496
6022019,09:00,10:00,498
6022019,10:00,11:00,501
6022019,11:00,12:00,501
6022019,12:00,13:00,495
6022019,13:00,14:00,494
6022019,14:00,15:00,500
6022019,15:00,16:00,505
6022019,16:00,17:00,507
6022019,17:00,18:00,504
6022019,18:00,19:00,502
6022019,19:00,20:00,504
6022019,20:00,21:00,509
6022019,21:00,22:00,507
6022019,22:00,23:00,505
6022019,23:00,00:00,505
7022019,00:00,01:00,506
7022019,01:00,02:00,507
7022019,02:00,03:00,504
7022019,03:00,04:00,503
7022019,04:00,05:00,502
7022019,05:00,06:00,499
7022019,06:00,07:00,497
7022019,07:00,08:00,448
7022019,08:00,09:00,442
7022019,09:00,10:00,397
7022019,10:00,11:00,381
7022019,11:00,12:00,317
7022019,12:00,13:00,403
7022019,13:00,14:00,487
7022019,14:00,15:00,496
7022019,15:00,16:00,497
7022019,16:00,17:00,497
7022019,17:00,18:00,500
7022019,18:00,19:00,497
7022019,19:00,20:00,414
7022019,20:00,21:00,248
7022019,21:00,22:00,0
7022019,22:00,23:00,0
7022019,23:00,00:00,0
8022019,00:00,01:00,0
8022019,01:00,02:00,0
8022019,02:00,03:00,0
8022019,03:00,04:00,0
8022019,04:00,05:00,0
8022019,05:00,06:00,0
8022019,06:00,07:00,0
8022019,07:00,08:00,0
8022019,08:00,09:00,0
8022019,09:00,10:00,0
8022019,10:00,11:00,0
8022019,11:00,12:00,0
8022019,12:00,13:00,0
8022019,13:00,14:00,0
8022019,14:00,15:00,0
8022019,15:00,16:00,0
8022019,16:00,17:00,0
8022019,17:00,18:00,0
8022019,18:00,19:00,0
8022019,19:00,20:00,0
8022019,20:00,21:00,0
8022019,21:00,22:00,0
8022019,22:00,23:00,0
8022019,23:00,00:00,0
9022019,00:00,01:00,0
9022019,01:00,02:00,0
9022019,02:00,03:00,0
9022019,03:00,04:00,0
9022019,04:00,05:00,0
9022019,05:00,06:00,0
9022019,06:00,07:00,0
9022019,07:00,08:00,0
9022019,08:00,09:00,0
9022019,09:00,10:00,0
9022019,10:00,11:00,0
9022019,11:00,12:00,0
9022019,12:00,13:00,0
9022019,13:00,14:00,0
9022019,14:00,15:00,0
9022019,15:00,16:00,0
9022019,16:00,17:00,0
9022019,17:00,18:00,0
9022019,18:00,19:00,0
9022019,19:00,20:00,0
9022019,20:00,21:00,0
9022019,21:00,22:00,0
9022019,22:00,23:00,0
9022019,23:00,00:00,0
10022019,00:00,01:00,0
10022019,01:00,02:00,0
10022019,02:00,03:00,0
10022019,03:00,04:00,0
10022019,04:00,05:00,0
10022019,05:00,06:00,0
10022019,06:00,07:00,0
10022019,07:00,08:00,0
10022019,08:00,09:00,0
10022019,09:00,10:00,0
10022019,10:00,11:00,0
10022019,11:00,12:00,0
10022019,12:00,13:00,0
10022019,13:00,14:00,0
10022019,14:00,15:00,0
10022019,15:00,16:00,0
10022019,16:00,17:00,0
10022019,17:00,18:00,0
10022019,18:00,19:00,0
10022019,19:00,20:00,0
10022019,20:00,21:00,0
10022019,21:00,22:00,0
10022019,22:00,23:00,0
10022019,23:00,00:00,0
11022019,00:00,01:00,0
11022019,01:00,02:00,0
11022019,02:00,03:00,0
11022019,03:00,04:00,0
11022019,04:00,05:00,0
11022019,05:00,06:00,0
11022019,06:00,07:00,0
11022019,07:00,08:00,0
11022019,08:00,09:00,0
11022019,09:00,10:00,0
