date,start,end,11WD2BRE4000115K
21012020,04:00,05:00,59
21012020,05:00,06:00,59
21012020,06:00,07:00,60
21012020,07:00,08:00,60
21012020,08:00,09:00,60
21012020,09:00,10:00,71
21012020,10:00,11:00,71
21012020,11:00,12:00,60
21012020,12:00,13:00,61
21012020,13:00,14:00,61
21012020,14:00,15:00,61
21012020,15:00,16:00,61
21012020,16:00,17:00,60
21012020,17:00,18:00,63
21012020,18:00,19:00,90
21012020,19:00,20:00,100
21012020,20:00,21:00,33
21012020,21:00,22:00,0
21012020,22:00,23:00,13
21012020,23:00,00:00,0
22012020,00:00,01:00,0
22012020,01:00,02:00,63
22012020,02:00,03:00,90
22012020,03:00,04:00,96
22012020,04:00,05:00,118
22012020,05:00,06:00,120
22012020,06:00,07:00,116
22012020,07:00,08:00,115
22012020,08:00,09:00,114
22012020,09:00,10:00,114
22012020,10:00,11:00,120
22012020,11:00,12:00,90
22012020,12:00,13:00,82
22012020,13:00,14:00,85
22012020,14:00,15:00,105
22012020,15:00,16:00,132
22012020,16:00,17:00,130
22012020,17:00,18:00,113
22012020,18:00,19:00,116
22012020,19:00,20:00,121
22012020,20:00,21:00,121
22012020,21:00,22:00,121
22012020,22:00,23:00,137
22012020,23:00,00:00,0
23012020,00:00,01:00,0
23012020,01:00,02:00,137
23012020,02:00,03:00,138
23012020,03:00,04:00,128
23012020,04:00,05:00,121
23012020,05:00,06:00,123
23012020,06:00,07:00,106
23012020,07:00,08:00,114
23012020,08:00,09:00,95
23012020,09:00,10:00,120
23012020,10:00,11:00,136
23012020,11:00,12:00,124
23012020,12:00,13:00,112
23012020,13:00,14:00,128
23012020,14:00,15:00,100
23012020,15:00,16:00,98
23012020,16:00,17:00,98
23012020,17:00,18:00,99
23012020,18:00,19:00,116
23012020,19:00,20:00,120
23012020,20:00,21:00,120
23012020,21:00,22:00,117
23012020,22:00,23:00,129
23012020,23:00,00:00,0
24012020,00:00,01:00,0
24012020,01:00,02:00,117
24012020,02:00,03:00,127
24012020,03:00,04:00,122
24012020,04:00,05:00,119
24012020,05:00,06:00,133
24012020,06:00,07:00,149
24012020,07:00,08:00,151
24012020,08:00,09:00,127
24012020,09:00,10:00,118
24012020,10:00,11:00,146
24012020,11:00,12:00,139
24012020,12:00,13:00,130
24012020,13:00,14:00,148
24012020,14:00,15:00,150
24012020,15:00,16:00,127
24012020,16:00,17:00,134
24012020,17:00,18:00,130
24012020,18:00,19:00,130
24012020,19:00,20:00,141
24012020,20:00,21:00,116
24012020,21:00,22:00,122
24012020,22:00,23:00,125
24012020,23:00,00:00,0
25012020,00:00,01:00,0
25012020,01:00,02:00,109
25012020,02:00,03:00,99
25012020,03:00,04:00,53
25012020,04:00,05:00,52
25012020,05:00,06:00,125
25012020,06:00,07:00,108
25012020,07:00,08:00,109
25012020,08:00,09:00,109
25012020,09:00,10:00,110
25012020,10:00,11:00,111
25012020,11:00,12:00,106
25012020,12:00,13:00,107
25012020,13:00,14:00,108
25012020,14:00,15:00,110
25012020,15:00,16:00,110
25012020,16:00,17:00,110
25012020,17:00,18:00,110
25012020,18:00,19:00,109
25012020,19:00,20:00,109
25012020,20:00,21:00,109
25012020,21:00,22:00,109
25012020,22:00,23:00,97
25012020,23:00,00:00,0
26012020,00:00,01:00,0
26012020,01:00,02:00,104
26012020,02:00,03:00,117
26012020,03:00,04:00,101
26012020,04:00,05:00,109
26012020,05:00,06:00,113
26012020,06:00,07:00,116
26012020,07:00,08:00,126
26012020,08:00,09:00,120
26012020,09:00,10:00,134
26012020,10:00,11:00,132
26012020,11:00,12:00,108
26012020,12:00,13:00,118
26012020,13:00,14:00,119
26012020,14:00,15:00,121
26012020,15:00,16:00,120
26012020,16:00,17:00,107
26012020,17:00,18:00,103
26012020,18:00,19:00,120
26012020,19:00,20:00,108
26012020,20:00,21:00,133
26012020,21:00,22:00,132
26012020,22:00,23:00,122
26012020,23:00,00:00,0
27012020,00:00,01:00,0
27012020,01:00,02:00,123
27012020,02:00,03:00,136
27012020,03:00,04:00,122
27012020,04:00,05:00,118
27012020,05:00,06:00,127
27012020,06:00,07:00,139
27012020,07:00,08:00,154
27012020,08:00,09:00,128
27012020,09:00,10:00,124
27012020,10:00,11:00,130
27012020,11:00,12:00,143
27012020,12:00,13:00,144
27012020,13:00,14:00,128
27012020,14:00,15:00,126
27012020,15:00,16:00,128
27012020,16:00,17:00,127
27012020,17:00,18:00,136
27012020,18:00,19:00,152
27012020,19:00,20:00,150
27012020,20:00,21:00,146
27012020,21:00,22:00,155
27012020,22:00,23:00,156
27012020,23:00,00:00,0
28012020,00:00,01:00,0
28012020,01:00,02:00,126
28012020,02:00,03:00,138
28012020,03:00,04:00,133
28012020,04:00,05:00,126
28012020,05:00,06:00,118
28012020,06:00,07:00,133
28012020,07:00,08:00,155
28012020,08:00,09:00,162
28012020,09:00,10:00,147
28012020,10:00,11:00,124
28012020,11:00,12:00,136
28012020,12:00,13:00,133
28012020,13:00,14:00,143
28012020,14:00,15:00,143
28012020,15:00,16:00,138
28012020,16:00,17:00,139
28012020,17:00,18:00,141
28012020,18:00,19:00,131
28012020,19:00,20:00,122
28012020,20:00,21:00,129
28012020,21:00,22:00,118
28012020,22:00,23:00,133
28012020,23:00,00:00,0
29012020,00:00,01:00,122
29012020,01:00,02:00,141
29012020,02:00,03:00,142
29012020,03:00,04:00,129
29012020,04:00,05:00,118
29012020,05:00,06:00,128
29012020,06:00,07:00,128
29012020,07:00,08:00,120
29012020,08:00,09:00,120
29012020,09:00,10:00,127
29012020,10:00,11:00,135
29012020,11:00,12:00,134
29012020,12:00,13:00,124
29012020,13:00,14:00,118
29012020,14:00,15:00,124
29012020,15:00,16:00,123
29012020,16:00,17:00,121
29012020,17:00,18:00,126
29012020,18:00,19:00,113
29012020,19:00,20:00,116
29012020,20:00,21:00,140
29012020,21:00,22:00,113
29012020,22:00,23:00,108
29012020,23:00,00:00,0
30012020,00:00,01:00,0
30012020,01:00,02:00,111
30012020,02:00,03:00,101
30012020,03:00,04:00,121
30012020,04:00,05:00,148
30012020,05:00,06:00,142
30012020,06:00,07:00,131
30012020,07:00,08:00,115
30012020,08:00,09:00,122
30012020,09:00,10:00,137
30012020,10:00,11:00,136
30012020,11:00,12:00,116
30012020,12:00,13:00,107
30012020,13:00,14:00,109
30012020,14:00,15:00,104
30012020,15:00,16:00,74
30012020,16:00,17:00,59
30012020,17:00,18:00,59
30012020,18:00,19:00,60
30012020,19:00,20:00,69
30012020,20:00,21:00,61
30012020,21:00,22:00,57
30012020,22:00,23:00,60
30012020,23:00,00:00,0
31012020,00:00,01:00,119
31012020,01:00,02:00,99
31012020,02:00,03:00,111
31012020,03:00,04:00,107
31012020,04:00,05:00,106
31012020,05:00,06:00,103
31012020,06:00,07:00,107
31012020,07:00,08:00,118
31012020,08:00,09:00,110
31012020,09:00,10:00,109
31012020,10:00,11:00,136
31012020,11:00,12:00,131
31012020,12:00,13:00,114
31012020,13:00,14:00,124
31012020,14:00,15:00,128
31012020,15:00,16:00,108
31012020,16:00,17:00,108
31012020,17:00,18:00,114
31012020,18:00,19:00,109
31012020,19:00,20:00,104
31012020,20:00,21:00,114
31012020,21:00,22:00,118
31012020,22:00,23:00,117
31012020,23:00,00:00,119
1022020,00:00,01:00,122
1022020,01:00,02:00,121
1022020,02:00,03:00,115
1022020,03:00,04:00,138
1022020,04:00,05:00,129
1022020,05:00,06:00,125
1022020,06:00,07:00,115
1022020,07:00,08:00,129
1022020,08:00,09:00,129
1022020,09:00,10:00,122
1022020,10:00,11:00,131
1022020,11:00,12:00,127
1022020,12:00,13:00,114
1022020,13:00,14:00,124
1022020,14:00,15:00,123
1022020,15:00,16:00,103
1022020,16:00,17:00,118
1022020,17:00,18:00,114
1022020,18:00,19:00,127
1022020,19:00,20:00,134
1022020,20:00,21:00,122
1022020,21:00,22:00,123
1022020,22:00,23:00,134
1022020,23:00,00:00,136
2022020,00:00,01:00,135
2022020,01:00,02:00,131
2022020,02:00,03:00,125
2022020,03:00,04:00,125
2022020,04:00,05:00,123
2022020,05:00,06:00,105
2022020,06:00,07:00,117
2022020,07:00,08:00,111
2022020,08:00,09:00,115
2022020,09:00,10:00,109
2022020,10:00,11:00,98
2022020,11:00,12:00,102
2022020,12:00,13:00,96
2022020,13:00,14:00,98
2022020,14:00,15:00,120
2022020,15:00,16:00,129
2022020,16:00,17:00,115
2022020,17:00,18:00,110
2022020,18:00,19:00,120
2022020,19:00,20:00,112
2022020,20:00,21:00,116
2022020,21:00,22:00,116
2022020,22:00,23:00,124
2022020,23:00,00:00,109
3022020,00:00,01:00,0
3022020,01:00,02:00,124
3022020,02:00,03:00,117
3022020,03:00,04:00,111
3022020,04:00,05:00,121
3022020,05:00,06:00,110
3022020,06:00,07:00,103
3022020,07:00,08:00,119
3022020,08:00,09:00,84
3022020,09:00,10:00,57
3022020,10:00,11:00,71
3022020,11:00,12:00,90
3022020,12:00,13:00,89
3022020,13:00,14:00,88
3022020,14:00,15:00,95
3022020,15:00,16:00,86
3022020,16:00,17:00,96
3022020,17:00,18:00,105
3022020,18:00,19:00,107
3022020,19:00,20:00,126
3022020,20:00,21:00,103
3022020,21:00,22:00,111
3022020,22:00,23:00,124
3022020,23:00,00:00,0
4022020,00:00,01:00,0
4022020,01:00,02:00,117
4022020,02:00,03:00,121
4022020,03:00,04:00,111
4022020,04:00,05:00,110
4022020,05:00,06:00,112
4022020,06:00,07:00,107
4022020,07:00,08:00,98
4022020,08:00,09:00,108
4022020,09:00,10:00,115
4022020,10:00,11:00,115
4022020,11:00,12:00,125
4022020,12:00,13:00,119
4022020,13:00,14:00,128
4022020,14:00,15:00,121
4022020,15:00,16:00,132
4022020,16:00,17:00,140
4022020,17:00,18:00,157
4022020,18:00,19:00,132
4022020,19:00,20:00,133
4022020,20:00,21:00,125
4022020,21:00,22:00,133
4022020,22:00,23:00,129
4022020,23:00,00:00,0
5022020,00:00,01:00,0
5022020,01:00,02:00,123
5022020,02:00,03:00,127
5022020,03:00,04:00,115
5022020,04:00,05:00,123
5022020,05:00,06:00,124
5022020,06:00,07:00,114
5022020,07:00,08:00,117
5022020,08:00,09:00,117
5022020,09:00,10:00,131
5022020,10:00,11:00,130
5022020,11:00,12:00,124
5022020,12:00,13:00,119
5022020,13:00,14:00,123
5022020,14:00,15:00,138
5022020,15:00,16:00,107
5022020,16:00,17:00,101
5022020,17:00,18:00,121
5022020,18:00,19:00,114
5022020,19:00,20:00,91
5022020,20:00,21:00,60
5022020,21:00,22:00,60
5022020,22:00,23:00,60
5022020,23:00,00:00,0
6022020,00:00,01:00,0
6022020,01:00,02:00,59
6022020,02:00,03:00,59
6022020,03:00,04:00,82
6022020,04:00,05:00,118
6022020,05:00,06:00,110
6022020,06:00,07:00,114
6022020,07:00,08:00,118
6022020,08:00,09:00,98
6022020,09:00,10:00,104
6022020,10:00,11:00,106
6022020,11:00,12:00,107
6022020,12:00,13:00,113
6022020,13:00,14:00,118
6022020,14:00,15:00,122
6022020,15:00,16:00,118
6022020,16:00,17:00,130
6022020,17:00,18:00,120
6022020,18:00,19:00,125
6022020,19:00,20:00,130
6022020,20:00,21:00,118
6022020,21:00,22:00,126
6022020,22:00,23:00,124
6022020,23:00,00:00,0
7022020,00:00,01:00,0
7022020,01:00,02:00,122
7022020,02:00,03:00,118
7022020,03:00,04:00,120
7022020,04:00,05:00,126
7022020,05:00,06:00,111
7022020,06:00,07:00,134
7022020,07:00,08:00,113
7022020,08:00,09:00,110
7022020,09:00,10:00,115
7022020,10:00,11:00,121
7022020,11:00,12:00,108
7022020,12:00,13:00,110
7022020,13:00,14:00,110
7022020,14:00,15:00,132
7022020,15:00,16:00,111
7022020,16:00,17:00,101
7022020,17:00,18:00,110
7022020,18:00,19:00,110
7022020,19:00,20:00,110
7022020,20:00,21:00,110
7022020,21:00,22:00,110
7022020,22:00,23:00,120
7022020,23:00,00:00,0
8022020,00:00,01:00,0
8022020,01:00,02:00,54
8022020,02:00,03:00,54
8022020,03:00,04:00,54
8022020,04:00,05:00,54
8022020,05:00,06:00,54
8022020,06:00,07:00,53
8022020,07:00,08:00,53
8022020,08:00,09:00,54
8022020,09:00,10:00,50
8022020,10:00,11:00,43
8022020,11:00,12:00,43
8022020,12:00,13:00,43
8022020,13:00,14:00,42
8022020,14:00,15:00,42
8022020,15:00,16:00,42
8022020,16:00,17:00,42
8022020,17:00,18:00,42
8022020,18:00,19:00,46
8022020,19:00,20:00,108
8022020,20:00,21:00,114
8022020,21:00,22:00,121
8022020,22:00,23:00,125
8022020,23:00,00:00,0
9022020,00:00,01:00,0
9022020,01:00,02:00,124
9022020,02:00,03:00,111
9022020,03:00,04:00,120
9022020,04:00,05:00,120
9022020,05:00,06:00,120
9022020,06:00,07:00,119
9022020,07:00,08:00,118
9022020,08:00,09:00,111
9022020,09:00,10:00,118
9022020,10:00,11:00,127
9022020,11:00,12:00,137
9022020,12:00,13:00,139
9022020,13:00,14:00,140
9022020,14:00,15:00,132
9022020,15:00,16:00,138
9022020,16:00,17:00,128
9022020,17:00,18:00,129
9022020,18:00,19:00,129
9022020,19:00,20:00,139
9022020,20:00,21:00,138
9022020,21:00,22:00,137
9022020,22:00,23:00,139
9022020,23:00,00:00,0
10022020,00:00,01:00,0
10022020,01:00,02:00,139
10022020,02:00,03:00,128
10022020,03:00,04:00,138
10022020,04:00,05:00,139
10022020,05:00,06:00,139
10022020,06:00,07:00,135
10022020,07:00,08:00,129
10022020,08:00,09:00,134
10022020,09:00,10:00,143
10022020,10:00,11:00,140
10022020,11:00,12:00,139
10022020,12:00,13:00,143
10022020,13:00,14:00,135
10022020,14:00,15:00,133
10022020,15:00,16:00,130
10022020,16:00,17:00,136
10022020,17:00,18:00,118
10022020,18:00,19:00,118
10022020,19:00,20:00,118
10022020,20:00,21:00,118
10022020,21:00,22:00,120
10022020,22:00,23:00,120
10022020,23:00,00:00,0
11022020,00:00,01:00,0
11022020,01:00,02:00,117
11022020,02:00,03:00,117
11022020,03:00,04:00,117
11022020,04:00,05:00,118
11022020,05:00,06:00,132
11022020,06:00,07:00,140
11022020,07:00,08:00,131
11022020,08:00,09:00,132
11022020,09:00,10:00,139
