date,start,end,11WD8BOXB1L---R0,11WD8BOXB1L---Q2
21012021,09:00,10:00,467.0,511.0
21012021,10:00,11:00,466.0,510.0
21012021,11:00,12:00,462.0,508.0
21012021,12:00,13:00,488.0,511.0
21012021,13:00,14:00,469.0,551.0
21012021,14:00,15:00,491.0,637.0
21012021,15:00,16:00,450.0,697.0
21012021,16:00,17:00,555.0,795.0
21012021,17:00,18:00,574.0,813.0
21012021,18:00,19:00,573.0,731.0
21012021,19:00,20:00,543.0,803.0
21012021,20:00,21:00,538.0,782.0
21012021,21:00,22:00,435.0,530.0
21012021,22:00,23:00,283.0,509.0
21012021,23:00,00:00,253.0,508.0
22012021,00:00,01:00,252.0,507.0
22012021,01:00,02:00,248.0,509.0
22012021,02:00,03:00,249.0,508.0
22012021,03:00,04:00,248.0,510.0
22012021,04:00,05:00,250.0,510.0
22012021,05:00,06:00,256.0,509.0
22012021,06:00,07:00,344.0,530.0
22012021,07:00,08:00,472.0,648.0
22012021,08:00,09:00,576.0,659.0
22012021,09:00,10:00,564.0,689.0
22012021,10:00,11:00,571.0,719.0
22012021,11:00,12:00,568.0,775.0
22012021,12:00,13:00,569.0,782.0
22012021,13:00,14:00,578.0,813.0
22012021,14:00,15:00,559.0,813.0
22012021,15:00,16:00,569.0,826.0
22012021,16:00,17:00,562.0,823.0
22012021,17:00,18:00,586.0,830.0
22012021,18:00,19:00,567.0,826.0
22012021,19:00,20:00,566.0,810.0
22012021,20:00,21:00,579.0,824.0
22012021,21:00,22:00,581.0,830.0
22012021,22:00,23:00,581.0,828.0
22012021,23:00,00:00,572.0,826.0
23012021,00:00,01:00,546.0,801.0
23012021,01:00,02:00,578.0,827.0
23012021,02:00,03:00,578.0,829.0
23012021,03:00,04:00,571.0,813.0
23012021,04:00,05:00,504.0,734.0
23012021,05:00,06:00,595.0,743.0
23012021,06:00,07:00,591.0,829.0
23012021,07:00,08:00,574.0,809.0
23012021,08:00,09:00,589.0,818.0
23012021,09:00,10:00,592.0,823.0
23012021,10:00,11:00,599.0,824.0
23012021,11:00,12:00,600.0,830.0
23012021,12:00,13:00,600.0,828.0
23012021,13:00,14:00,596.0,829.0
23012021,14:00,15:00,587.0,824.0
23012021,15:00,16:00,587.0,832.0
23012021,16:00,17:00,581.0,824.0
23012021,17:00,18:00,580.0,827.0
23012021,18:00,19:00,581.0,830.0
23012021,19:00,20:00,579.0,830.0
23012021,20:00,21:00,584.0,829.0
23012021,21:00,22:00,588.0,829.0
23012021,22:00,23:00,599.0,830.0
23012021,23:00,00:00,593.0,829.0
24012021,00:00,01:00,582.0,813.0
24012021,01:00,02:00,569.0,800.0
24012021,02:00,03:00,576.0,822.0
24012021,03:00,04:00,586.0,833.0
24012021,04:00,05:00,587.0,828.0
24012021,05:00,06:00,604.0,830.0
24012021,06:00,07:00,603.0,829.0
24012021,07:00,08:00,604.0,832.0
24012021,08:00,09:00,601.0,829.0
24012021,09:00,10:00,601.0,830.0
24012021,10:00,11:00,603.0,831.0
24012021,11:00,12:00,603.0,831.0
24012021,12:00,13:00,603.0,832.0
24012021,13:00,14:00,602.0,832.0
24012021,14:00,15:00,599.0,828.0
24012021,15:00,16:00,602.0,837.0
24012021,16:00,17:00,605.0,841.0
24012021,17:00,18:00,603.0,836.0
24012021,18:00,19:00,603.0,839.0
24012021,19:00,20:00,601.0,839.0
24012021,20:00,21:00,599.0,838.0
24012021,21:00,22:00,600.0,839.0
24012021,22:00,23:00,603.0,842.0
24012021,23:00,00:00,450.0,628.0
25012021,00:00,01:00,596.0,835.0
25012021,01:00,02:00,603.0,840.0
25012021,02:00,03:00,599.0,838.0
25012021,03:00,04:00,596.0,840.0
25012021,04:00,05:00,597.0,840.0
25012021,05:00,06:00,599.0,838.0
25012021,06:00,07:00,584.0,838.0
25012021,07:00,08:00,581.0,837.0
25012021,08:00,09:00,574.0,839.0
25012021,09:00,10:00,571.0,839.0
25012021,10:00,11:00,576.0,838.0
25012021,11:00,12:00,578.0,839.0
25012021,12:00,13:00,574.0,840.0
25012021,13:00,14:00,573.0,841.0
25012021,14:00,15:00,569.0,838.0
25012021,15:00,16:00,573.0,839.0
25012021,16:00,17:00,569.0,838.0
25012021,17:00,18:00,569.0,839.0
25012021,18:00,19:00,573.0,840.0
25012021,19:00,20:00,573.0,830.0
25012021,20:00,21:00,574.0,828.0
25012021,21:00,22:00,598.0,829.0
25012021,22:00,23:00,599.0,832.0
25012021,23:00,00:00,600.0,836.0
26012021,00:00,01:00,589.0,818.0
26012021,01:00,02:00,597.0,832.0
26012021,02:00,03:00,595.0,829.0
26012021,03:00,04:00,591.0,830.0
26012021,04:00,05:00,583.0,836.0
26012021,05:00,06:00,585.0,825.0
26012021,06:00,07:00,579.0,816.0
26012021,07:00,08:00,583.0,835.0
26012021,08:00,09:00,588.0,839.0
26012021,09:00,10:00,584.0,836.0
26012021,10:00,11:00,573.0,837.0
26012021,11:00,12:00,580.0,839.0
26012021,12:00,13:00,584.0,834.0
26012021,13:00,14:00,592.0,834.0
26012021,14:00,15:00,591.0,835.0
26012021,15:00,16:00,577.0,828.0
26012021,16:00,17:00,576.0,829.0
26012021,17:00,18:00,586.0,832.0
26012021,18:00,19:00,578.0,831.0
26012021,19:00,20:00,572.0,833.0
26012021,20:00,21:00,580.0,822.0
26012021,21:00,22:00,577.0,823.0
26012021,22:00,23:00,587.0,820.0
26012021,23:00,00:00,591.0,830.0
27012021,00:00,01:00,589.0,832.0
27012021,01:00,02:00,576.0,813.0
27012021,02:00,03:00,554.0,787.0
27012021,03:00,04:00,569.0,820.0
27012021,04:00,05:00,576.0,828.0
27012021,05:00,06:00,587.0,832.0
27012021,06:00,07:00,589.0,834.0
27012021,07:00,08:00,580.0,841.0
27012021,08:00,09:00,576.0,840.0
27012021,09:00,10:00,580.0,834.0
27012021,10:00,11:00,579.0,840.0
27012021,11:00,12:00,592.0,837.0
27012021,12:00,13:00,577.0,842.0
27012021,13:00,14:00,582.0,840.0
27012021,14:00,15:00,587.0,841.0
27012021,15:00,16:00,574.0,840.0
27012021,16:00,17:00,568.0,839.0
27012021,17:00,18:00,569.0,837.0
27012021,18:00,19:00,564.0,839.0
27012021,19:00,20:00,568.0,839.0
27012021,20:00,21:00,565.0,841.0
27012021,21:00,22:00,571.0,840.0
27012021,22:00,23:00,576.0,840.0
27012021,23:00,00:00,566.0,838.0
28012021,00:00,01:00,571.0,841.0
28012021,01:00,02:00,567.0,839.0
28012021,02:00,03:00,567.0,838.0
28012021,03:00,04:00,567.0,837.0
28012021,04:00,05:00,571.0,838.0
28012021,05:00,06:00,580.0,843.0
28012021,06:00,07:00,580.0,840.0
28012021,07:00,08:00,583.0,839.0
28012021,08:00,09:00,575.0,843.0
28012021,09:00,10:00,526.0,838.0
28012021,10:00,11:00,579.0,841.0
28012021,11:00,12:00,583.0,841.0
28012021,12:00,13:00,582.0,839.0
28012021,13:00,14:00,588.0,838.0
28012021,14:00,15:00,579.0,837.0
28012021,15:00,16:00,579.0,839.0
28012021,16:00,17:00,581.0,837.0
28012021,17:00,18:00,578.0,838.0
28012021,18:00,19:00,575.0,838.0
28012021,19:00,20:00,576.0,840.0
28012021,20:00,21:00,586.0,838.0
28012021,21:00,22:00,591.0,837.0
28012021,22:00,23:00,586.0,840.0
28012021,23:00,00:00,564.0,841.0
29012021,00:00,01:00,561.0,834.0
29012021,01:00,02:00,586.0,830.0
29012021,02:00,03:00,578.0,825.0
29012021,03:00,04:00,574.0,828.0
29012021,04:00,05:00,580.0,831.0
29012021,05:00,06:00,579.0,822.0
29012021,06:00,07:00,590.0,835.0
29012021,07:00,08:00,594.0,840.0
29012021,08:00,09:00,597.0,841.0
29012021,09:00,10:00,595.0,840.0
29012021,10:00,11:00,595.0,839.0
29012021,11:00,12:00,593.0,838.0
29012021,12:00,13:00,588.0,838.0
29012021,13:00,14:00,597.0,837.0
29012021,14:00,15:00,597.0,838.0
29012021,15:00,16:00,590.0,836.0
29012021,16:00,17:00,583.0,836.0
29012021,17:00,18:00,581.0,837.0
29012021,18:00,19:00,585.0,838.0
29012021,19:00,20:00,587.0,835.0
