date,start,end,11WD2S2610001015,11WD2S262000102W,11WD2S260000100F
19042019,09:00,10:00,0,0,0
19042019,10:00,11:00,0,0,0
19042019,11:00,12:00,0,0,0
19042019,12:00,13:00,0,0,0
19042019,13:00,14:00,0,0,0
19042019,14:00,15:00,0,0,0
19042019,15:00,16:00,0,0,0
19042019,16:00,17:00,0,0,0
19042019,17:00,18:00,0,0,0
19042019,18:00,19:00,0,0,0
19042019,19:00,20:00,0,0,0
19042019,20:00,21:00,0,0,0
19042019,21:00,22:00,0,0,0
19042019,22:00,23:00,0,0,0
19042019,23:00,00:00,0,0,0
20042019,00:00,01:00,0,0,0
20042019,01:00,02:00,0,0,0
20042019,02:00,03:00,0,0,0
20042019,03:00,04:00,0,0,0
20042019,04:00,05:00,0,0,0
20042019,05:00,06:00,0,0,0
20042019,06:00,07:00,0,0,0
20042019,07:00,08:00,0,0,0
20042019,08:00,09:00,0,0,0
20042019,09:00,10:00,0,0,0
20042019,10:00,11:00,0,0,0
20042019,11:00,12:00,0,0,0
20042019,12:00,13:00,0,0,0
20042019,13:00,14:00,0,0,0
20042019,14:00,15:00,0,0,0
20042019,15:00,16:00,0,0,0
20042019,16:00,17:00,0,0,0
20042019,17:00,18:00,0,0,0
20042019,18:00,19:00,0,0,0
20042019,19:00,20:00,0,0,0
20042019,20:00,21:00,0,0,0
20042019,21:00,22:00,0,0,0
20042019,22:00,23:00,0,0,0
20042019,23:00,00:00,0,0,0
21042019,00:00,01:00,0,0,0
21042019,01:00,02:00,0,0,0
21042019,02:00,03:00,0,0,0
21042019,03:00,04:00,0,0,0
21042019,04:00,05:00,0,0,0
21042019,05:00,06:00,0,0,0
21042019,06:00,07:00,0,0,0
21042019,07:00,08:00,0,0,0
21042019,08:00,09:00,0,0,0
21042019,09:00,10:00,0,0,0
21042019,10:00,11:00,0,0,0
21042019,11:00,12:00,0,0,0
21042019,12:00,13:00,0,0,0
21042019,13:00,14:00,0,0,0
21042019,14:00,15:00,0,0,0
21042019,15:00,16:00,0,0,0
21042019,16:00,17:00,0,0,0
21042019,17:00,18:00,0,0,0
21042019,18:00,19:00,0,0,0
21042019,19:00,20:00,0,0,0
21042019,20:00,21:00,0,0,0
21042019,21:00,22:00,0,0,0
21042019,22:00,23:00,0,0,0
21042019,23:00,00:00,0,0,0
22042019,00:00,01:00,0,0,0
22042019,01:00,02:00,0,0,0
22042019,02:00,03:00,0,0,0
22042019,03:00,04:00,0,0,0
22042019,04:00,05:00,0,0,0
22042019,05:00,06:00,0,0,0
22042019,06:00,07:00,0,0,0
22042019,07:00,08:00,0,0,0
22042019,08:00,09:00,0,0,0
22042019,09:00,10:00,0,0,0
22042019,10:00,11:00,0,0,0
22042019,11:00,12:00,0,0,0
22042019,12:00,13:00,0,0,0
22042019,13:00,14:00,0,0,0
22042019,14:00,15:00,0,0,0
22042019,15:00,16:00,0,0,0
22042019,16:00,17:00,0,0,0
22042019,17:00,18:00,0,0,0
22042019,18:00,19:00,0,0,0
22042019,19:00,20:00,0,0,0
22042019,20:00,21:00,0,0,0
22042019,21:00,22:00,0,0,0
22042019,22:00,23:00,0,0,0
22042019,23:00,00:00,0,0,0
23042019,00:00,01:00,0,0,0
23042019,01:00,02:00,0,0,0
23042019,02:00,03:00,0,0,0
23042019,03:00,04:00,0,0,0
23042019,04:00,05:00,0,0,0
23042019,05:00,06:00,4,0,0
23042019,06:00,07:00,12,0,0
23042019,07:00,08:00,56,2,0
23042019,08:00,09:00,72,29,1
23042019,09:00,10:00,76,39,3
23042019,10:00,11:00,77,64,6
23042019,11:00,12:00,89,69,20
23042019,12:00,13:00,95,77,59
