date,start,end,11WD8SWPU1L---AK,11WD8SWPU1L---BI
14082020,16:00,17:00,679,0
14082020,17:00,18:00,680,0
14082020,18:00,19:00,675,0
14082020,19:00,20:00,684,0
14082020,20:00,21:00,693,0
14082020,21:00,22:00,688,0
14082020,22:00,23:00,689,0
14082020,23:00,00:00,691,0
15082020,00:00,01:00,693,0
15082020,01:00,02:00,695,0
15082020,02:00,03:00,702,0
15082020,03:00,04:00,702,0
15082020,04:00,05:00,700,0
15082020,05:00,06:00,713,0
15082020,06:00,07:00,713,0
15082020,07:00,08:00,718,0
15082020,08:00,09:00,719,0
15082020,09:00,10:00,725,0
15082020,10:00,11:00,706,0
15082020,11:00,12:00,705,0
15082020,12:00,13:00,715,0
15082020,13:00,14:00,726,0
15082020,14:00,15:00,721,0
15082020,15:00,16:00,714,0
15082020,16:00,17:00,716,0
15082020,17:00,18:00,718,0
15082020,18:00,19:00,722,0
15082020,19:00,20:00,725,0
15082020,20:00,21:00,730,0
15082020,21:00,22:00,729,0
15082020,22:00,23:00,727,0
15082020,23:00,00:00,730,0
16082020,00:00,01:00,733,0
16082020,01:00,02:00,732,0
16082020,02:00,03:00,733,0
16082020,03:00,04:00,733,0
16082020,04:00,05:00,732,0
16082020,05:00,06:00,729,0
16082020,06:00,07:00,730,0
16082020,07:00,08:00,732,0
16082020,08:00,09:00,732,0
16082020,09:00,10:00,745,0
16082020,10:00,11:00,711,0
16082020,11:00,12:00,553,0
16082020,12:00,13:00,363,0
16082020,13:00,14:00,373,0
16082020,14:00,15:00,501,0
16082020,15:00,16:00,497,0
16082020,16:00,17:00,626,0
16082020,17:00,18:00,730,0
16082020,18:00,19:00,732,0
16082020,19:00,20:00,734,0
16082020,20:00,21:00,735,0
16082020,21:00,22:00,736,0
16082020,22:00,23:00,742,0
16082020,23:00,00:00,740,7
17082020,00:00,01:00,714,15
17082020,01:00,02:00,740,0
17082020,02:00,03:00,733,51
17082020,03:00,04:00,738,280
17082020,04:00,05:00,738,435
17082020,05:00,06:00,731,441
17082020,06:00,07:00,754,552
17082020,07:00,08:00,717,667
17082020,08:00,09:00,724,745
17082020,09:00,10:00,724,744
17082020,10:00,11:00,712,738
17082020,11:00,12:00,707,735
17082020,12:00,13:00,584,637
17082020,13:00,14:00,511,555
17082020,14:00,15:00,548,609
17082020,15:00,16:00,693,725
17082020,16:00,17:00,693,726
17082020,17:00,18:00,692,732
17082020,18:00,19:00,688,734
17082020,19:00,20:00,692,735
17082020,20:00,21:00,693,732
17082020,21:00,22:00,698,730
17082020,22:00,23:00,691,730
17082020,23:00,00:00,695,727
18082020,00:00,01:00,696,730
18082020,01:00,02:00,709,719
18082020,02:00,03:00,698,721
18082020,03:00,04:00,684,717
18082020,04:00,05:00,697,721
18082020,05:00,06:00,705,724
18082020,06:00,07:00,705,716
18082020,07:00,08:00,713,725
18082020,08:00,09:00,726,731
18082020,09:00,10:00,708,720
18082020,10:00,11:00,696,713
18082020,11:00,12:00,710,727
18082020,12:00,13:00,716,732
18082020,13:00,14:00,712,727
18082020,14:00,15:00,660,683
18082020,15:00,16:00,673,686
18082020,16:00,17:00,681,717
18082020,17:00,18:00,696,733
18082020,18:00,19:00,694,735
18082020,19:00,20:00,694,730
18082020,20:00,21:00,694,733
18082020,21:00,22:00,695,729
18082020,22:00,23:00,686,728
18082020,23:00,00:00,692,727
19082020,00:00,01:00,692,729
19082020,01:00,02:00,693,728
19082020,02:00,03:00,692,734
19082020,03:00,04:00,689,728
19082020,04:00,05:00,703,735
19082020,05:00,06:00,716,734
19082020,06:00,07:00,719,736
19082020,07:00,08:00,714,734
19082020,08:00,09:00,693,734
19082020,09:00,10:00,687,723
19082020,10:00,11:00,700,730
19082020,11:00,12:00,708,731
19082020,12:00,13:00,704,740
19082020,13:00,14:00,706,731
19082020,14:00,15:00,682,741
19082020,15:00,16:00,685,747
19082020,16:00,17:00,674,747
19082020,17:00,18:00,682,737
19082020,18:00,19:00,685,741
19082020,19:00,20:00,683,738
19082020,20:00,21:00,686,742
19082020,21:00,22:00,687,741
19082020,22:00,23:00,688,738
19082020,23:00,00:00,683,742
20082020,00:00,01:00,652,710
20082020,01:00,02:00,645,704
20082020,02:00,03:00,642,700
20082020,03:00,04:00,554,595
20082020,04:00,05:00,550,574
20082020,05:00,06:00,682,712
20082020,06:00,07:00,703,735
20082020,07:00,08:00,700,730
20082020,08:00,09:00,693,733
20082020,09:00,10:00,693,726
20082020,10:00,11:00,671,705
20082020,11:00,12:00,674,719
20082020,12:00,13:00,704,727
20082020,13:00,14:00,696,728
20082020,14:00,15:00,716,728
20082020,15:00,16:00,716,725
20082020,16:00,17:00,719,726
20082020,17:00,18:00,720,728
20082020,18:00,19:00,720,730
20082020,19:00,20:00,699,728
20082020,20:00,21:00,709,730
20082020,21:00,22:00,715,730
20082020,22:00,23:00,706,729
20082020,23:00,00:00,697,720
21082020,00:00,01:00,682,707
21082020,01:00,02:00,671,694
21082020,02:00,03:00,541,521
21082020,03:00,04:00,522,554
21082020,04:00,05:00,440,492
21082020,05:00,06:00,493,576
21082020,06:00,07:00,679,715
21082020,07:00,08:00,682,714
21082020,08:00,09:00,698,729
21082020,09:00,10:00,692,728
21082020,10:00,11:00,677,725
21082020,11:00,12:00,651,725
21082020,12:00,13:00,646,722
21082020,13:00,14:00,590,681
21082020,14:00,15:00,393,508
21082020,15:00,16:00,436,523
21082020,16:00,17:00,549,603
21082020,17:00,18:00,687,725
21082020,18:00,19:00,689,725
21082020,19:00,20:00,683,729
21082020,20:00,21:00,695,736
21082020,21:00,22:00,691,737
21082020,22:00,23:00,695,739
21082020,23:00,00:00,698,741
22082020,00:00,01:00,704,741
22082020,01:00,02:00,665,708
22082020,02:00,03:00,442,488
22082020,03:00,04:00,317,390
22082020,04:00,05:00,400,485
22082020,05:00,06:00,398,429
22082020,06:00,07:00,452,535
22082020,07:00,08:00,590,683
22082020,08:00,09:00,678,714
22082020,09:00,10:00,691,707
22082020,10:00,11:00,649,692
22082020,11:00,12:00,447,587
22082020,12:00,13:00,267,445
22082020,13:00,14:00,270,378
22082020,14:00,15:00,260,355
22082020,15:00,16:00,264,357
22082020,16:00,17:00,284,358
22082020,17:00,18:00,426,519
22082020,18:00,19:00,685,720
22082020,19:00,20:00,725,759
22082020,20:00,21:00,722,755
22082020,21:00,22:00,711,754
22082020,22:00,23:00,712,759
22082020,23:00,00:00,644,750
23082020,00:00,01:00,580,708
23082020,01:00,02:00,328,410
23082020,02:00,03:00,280,381
23082020,03:00,04:00,428,482
23082020,04:00,05:00,339,401
23082020,05:00,06:00,286,319
23082020,06:00,07:00,284,330
23082020,07:00,08:00,291,454
23082020,08:00,09:00,363,404
23082020,09:00,10:00,290,320
23082020,10:00,11:00,287,316
23082020,11:00,12:00,284,312
23082020,12:00,13:00,176,316
23082020,13:00,14:00,158,310
23082020,14:00,15:00,156,314
23082020,15:00,16:00,170,314
23082020,16:00,17:00,333,437
23082020,17:00,18:00,432,549
23082020,18:00,19:00,701,731
23082020,19:00,20:00,700,751
23082020,20:00,21:00,739,757
23082020,21:00,22:00,723,761
23082020,22:00,23:00,745,765
23082020,23:00,00:00,747,755
24082020,00:00,01:00,745,758
24082020,01:00,02:00,696,756
24082020,02:00,03:00,619,741
24082020,03:00,04:00,528,764
24082020,04:00,05:00,602,743
24082020,05:00,06:00,733,732
24082020,06:00,07:00,700,741
24082020,07:00,08:00,714,751
24082020,08:00,09:00,705,753
24082020,09:00,10:00,696,773
24082020,10:00,11:00,687,770
24082020,11:00,12:00,703,746
24082020,12:00,13:00,701,751
24082020,13:00,14:00,713,750
24082020,14:00,15:00,691,745
24082020,15:00,16:00,682,736
24082020,16:00,17:00,687,745
24082020,17:00,18:00,687,753
24082020,18:00,19:00,671,755
24082020,19:00,20:00,658,756
24082020,20:00,21:00,638,757
24082020,21:00,22:00,686,751
24082020,22:00,23:00,690,750
24082020,23:00,00:00,688,753
25082020,00:00,01:00,685,754
25082020,01:00,02:00,680,754
25082020,02:00,03:00,696,760
25082020,03:00,04:00,694,756
25082020,04:00,05:00,695,757
25082020,05:00,06:00,693,759
25082020,06:00,07:00,688,759
25082020,07:00,08:00,682,749
25082020,08:00,09:00,680,746
25082020,09:00,10:00,675,742
25082020,10:00,11:00,677,747
25082020,11:00,12:00,683,755
25082020,12:00,13:00,684,752
25082020,13:00,14:00,676,747
25082020,14:00,15:00,655,737
25082020,15:00,16:00,686,749
25082020,16:00,17:00,677,738
25082020,17:00,18:00,678,737
25082020,18:00,19:00,704,733
25082020,19:00,20:00,703,731
25082020,20:00,21:00,694,739
25082020,21:00,22:00,700,741
25082020,22:00,23:00,653,685
25082020,23:00,00:00,373,390
26082020,00:00,01:00,261,269
26082020,01:00,02:00,247,279
26082020,02:00,03:00,233,278
26082020,03:00,04:00,238,278
