date,start,end,11WD4HLBR1C7---4
23012018,15:00,16:00,739
23012018,16:00,17:00,739
23012018,17:00,18:00,737
23012018,18:00,19:00,637
23012018,19:00,20:00,342
23012018,20:00,21:00,48
23012018,21:00,22:00,0
23012018,22:00,23:00,0
23012018,23:00,00:00,0
24012018,00:00,01:00,0
24012018,01:00,02:00,0
24012018,02:00,03:00,0
24012018,03:00,04:00,0
24012018,04:00,05:00,0
24012018,05:00,06:00,0
24012018,06:00,07:00,0
24012018,07:00,08:00,0
24012018,08:00,09:00,0
24012018,09:00,10:00,0
24012018,10:00,11:00,0
24012018,11:00,12:00,0
24012018,12:00,13:00,0
24012018,13:00,14:00,0
24012018,14:00,15:00,0
24012018,15:00,16:00,0
24012018,16:00,17:00,0
24012018,17:00,18:00,0
24012018,18:00,19:00,0
24012018,19:00,20:00,0
24012018,20:00,21:00,0
24012018,21:00,22:00,0
24012018,22:00,23:00,0
24012018,23:00,00:00,0
25012018,00:00,01:00,0
25012018,01:00,02:00,0
25012018,02:00,03:00,0
25012018,03:00,04:00,0
25012018,04:00,05:00,0
25012018,05:00,06:00,0
25012018,06:00,07:00,65
25012018,07:00,08:00,319
25012018,08:00,09:00,447
25012018,09:00,10:00,739
25012018,10:00,11:00,755
25012018,11:00,12:00,748
25012018,12:00,13:00,741
25012018,13:00,14:00,744
25012018,14:00,15:00,743
25012018,15:00,16:00,737
25012018,16:00,17:00,740
25012018,17:00,18:00,744
25012018,18:00,19:00,736
25012018,19:00,20:00,733
25012018,20:00,21:00,739
25012018,21:00,22:00,743
25012018,22:00,23:00,742
25012018,23:00,00:00,564
26012018,00:00,01:00,304
26012018,01:00,02:00,175
26012018,02:00,03:00,180
26012018,03:00,04:00,180
26012018,04:00,05:00,347
26012018,05:00,06:00,713
26012018,06:00,07:00,747
26012018,07:00,08:00,740
26012018,08:00,09:00,731
26012018,09:00,10:00,731
26012018,10:00,11:00,737
26012018,11:00,12:00,735
26012018,12:00,13:00,738
26012018,13:00,14:00,737
26012018,14:00,15:00,740
26012018,15:00,16:00,741
26012018,16:00,17:00,735
26012018,17:00,18:00,729
26012018,18:00,19:00,733
26012018,19:00,20:00,734
26012018,20:00,21:00,710
26012018,21:00,22:00,504
26012018,22:00,23:00,503
26012018,23:00,00:00,326
27012018,00:00,01:00,35
27012018,01:00,02:00,0
27012018,02:00,03:00,0
27012018,03:00,04:00,0
27012018,04:00,05:00,0
27012018,05:00,06:00,0
27012018,06:00,07:00,0
27012018,07:00,08:00,0
27012018,08:00,09:00,0
27012018,09:00,10:00,0
27012018,10:00,11:00,0
27012018,11:00,12:00,0
27012018,12:00,13:00,0
27012018,13:00,14:00,0
27012018,14:00,15:00,0
27012018,15:00,16:00,0
27012018,16:00,17:00,0
27012018,17:00,18:00,0
27012018,18:00,19:00,0
27012018,19:00,20:00,0
27012018,20:00,21:00,0
27012018,21:00,22:00,0
27012018,22:00,23:00,0
27012018,23:00,00:00,0
28012018,00:00,01:00,0
28012018,01:00,02:00,0
28012018,02:00,03:00,0
28012018,03:00,04:00,0
