date,start,end,11WD8DRES5X----D
19012018,02:00,03:00,246
19012018,03:00,04:00,245
19012018,04:00,05:00,246
19012018,05:00,06:00,246
19012018,06:00,07:00,246
19012018,07:00,08:00,246
19012018,08:00,09:00,245
19012018,09:00,10:00,245
19012018,10:00,11:00,245
19012018,11:00,12:00,244
19012018,12:00,13:00,244
19012018,13:00,14:00,244
19012018,14:00,15:00,245
19012018,15:00,16:00,246
19012018,16:00,17:00,246
19012018,17:00,18:00,247
19012018,18:00,19:00,246
19012018,19:00,20:00,248
19012018,20:00,21:00,248
19012018,21:00,22:00,248
19012018,22:00,23:00,249
19012018,23:00,00:00,249
20012018,00:00,01:00,249
20012018,01:00,02:00,249
20012018,02:00,03:00,249
20012018,03:00,04:00,249
20012018,04:00,05:00,249
20012018,05:00,06:00,249
20012018,06:00,07:00,248
20012018,07:00,08:00,248
20012018,08:00,09:00,249
20012018,09:00,10:00,246
20012018,10:00,11:00,246
20012018,11:00,12:00,245
20012018,12:00,13:00,246
20012018,13:00,14:00,245
20012018,14:00,15:00,246
20012018,15:00,16:00,246
20012018,16:00,17:00,247
20012018,17:00,18:00,247
20012018,18:00,19:00,248
20012018,19:00,20:00,248
20012018,20:00,21:00,248
20012018,21:00,22:00,248
20012018,22:00,23:00,248
20012018,23:00,00:00,248
21012018,00:00,01:00,247
21012018,01:00,02:00,248
21012018,02:00,03:00,248
21012018,03:00,04:00,248
21012018,04:00,05:00,248
21012018,05:00,06:00,248
21012018,06:00,07:00,248
21012018,07:00,08:00,248
21012018,08:00,09:00,248
21012018,09:00,10:00,248
21012018,10:00,11:00,249
21012018,11:00,12:00,249
21012018,12:00,13:00,249
21012018,13:00,14:00,249
21012018,14:00,15:00,249
21012018,15:00,16:00,249
21012018,16:00,17:00,250
21012018,17:00,18:00,248
21012018,18:00,19:00,248
21012018,19:00,20:00,248
21012018,20:00,21:00,248
21012018,21:00,22:00,248
21012018,22:00,23:00,248
21012018,23:00,00:00,249
22012018,00:00,01:00,249
22012018,01:00,02:00,250
22012018,02:00,03:00,252
22012018,03:00,04:00,251
22012018,04:00,05:00,249
22012018,05:00,06:00,249
22012018,06:00,07:00,250
22012018,07:00,08:00,249
22012018,08:00,09:00,249
22012018,09:00,10:00,248
22012018,10:00,11:00,249
22012018,11:00,12:00,248
22012018,12:00,13:00,248
22012018,13:00,14:00,247
22012018,14:00,15:00,248
22012018,15:00,16:00,248
22012018,16:00,17:00,248
22012018,17:00,18:00,248
22012018,18:00,19:00,248
22012018,19:00,20:00,249
22012018,20:00,21:00,249
22012018,21:00,22:00,249
22012018,22:00,23:00,249
22012018,23:00,00:00,247
23012018,00:00,01:00,247
23012018,01:00,02:00,248
23012018,02:00,03:00,248
23012018,03:00,04:00,247
23012018,04:00,05:00,248
23012018,05:00,06:00,249
23012018,06:00,07:00,248
23012018,07:00,08:00,248
23012018,08:00,09:00,248
23012018,09:00,10:00,247
23012018,10:00,11:00,247
23012018,11:00,12:00,247
23012018,12:00,13:00,247
23012018,13:00,14:00,246
23012018,14:00,15:00,246
23012018,15:00,16:00,246
23012018,16:00,17:00,247
23012018,17:00,18:00,247
23012018,18:00,19:00,248
23012018,19:00,20:00,248
23012018,20:00,21:00,248
23012018,21:00,22:00,248
23012018,22:00,23:00,248
23012018,23:00,00:00,238
24012018,00:00,01:00,237
24012018,01:00,02:00,237
24012018,02:00,03:00,236
24012018,03:00,04:00,236
24012018,04:00,05:00,236
24012018,05:00,06:00,236
24012018,06:00,07:00,240
24012018,07:00,08:00,244
24012018,08:00,09:00,244
24012018,09:00,10:00,243
24012018,10:00,11:00,242
24012018,11:00,12:00,242
24012018,12:00,13:00,240
24012018,13:00,14:00,241
24012018,14:00,15:00,238
24012018,15:00,16:00,237
24012018,16:00,17:00,240
24012018,17:00,18:00,241
24012018,18:00,19:00,242
24012018,19:00,20:00,243
24012018,20:00,21:00,242
24012018,21:00,22:00,234
24012018,22:00,23:00,234
24012018,23:00,00:00,224
25012018,00:00,01:00,225
25012018,01:00,02:00,226
25012018,02:00,03:00,226
25012018,03:00,04:00,227
25012018,04:00,05:00,226
25012018,05:00,06:00,236
25012018,06:00,07:00,240
25012018,07:00,08:00,243
25012018,08:00,09:00,243
25012018,09:00,10:00,243
25012018,10:00,11:00,243
25012018,11:00,12:00,242
25012018,12:00,13:00,241
25012018,13:00,14:00,241
25012018,14:00,15:00,238
25012018,15:00,16:00,240
25012018,16:00,17:00,243
25012018,17:00,18:00,245
25012018,18:00,19:00,246
25012018,19:00,20:00,246
25012018,20:00,21:00,246
25012018,21:00,22:00,246
25012018,22:00,23:00,247
25012018,23:00,00:00,235
26012018,00:00,01:00,229
26012018,01:00,02:00,228
26012018,02:00,03:00,228
26012018,03:00,04:00,230
26012018,04:00,05:00,230
26012018,05:00,06:00,238
26012018,06:00,07:00,248
26012018,07:00,08:00,248
26012018,08:00,09:00,247
26012018,09:00,10:00,247
26012018,10:00,11:00,247
26012018,11:00,12:00,250
26012018,12:00,13:00,247
26012018,13:00,14:00,247
26012018,14:00,15:00,246
26012018,15:00,16:00,247
26012018,16:00,17:00,247
26012018,17:00,18:00,248
26012018,18:00,19:00,249
26012018,19:00,20:00,249
26012018,20:00,21:00,249
26012018,21:00,22:00,249
26012018,22:00,23:00,245
26012018,23:00,00:00,224
27012018,00:00,01:00,165
27012018,01:00,02:00,163
27012018,02:00,03:00,163
27012018,03:00,04:00,164
27012018,04:00,05:00,163
27012018,05:00,06:00,163
27012018,06:00,07:00,163
27012018,07:00,08:00,163
27012018,08:00,09:00,163
27012018,09:00,10:00,163
27012018,10:00,11:00,163
27012018,11:00,12:00,162
27012018,12:00,13:00,162
27012018,13:00,14:00,162
27012018,14:00,15:00,162
27012018,15:00,16:00,162
27012018,16:00,17:00,162
27012018,17:00,18:00,162
27012018,18:00,19:00,163
27012018,19:00,20:00,163
27012018,20:00,21:00,162
27012018,21:00,22:00,163
27012018,22:00,23:00,142
27012018,23:00,00:00,114
28012018,00:00,01:00,114
28012018,01:00,02:00,114
28012018,02:00,03:00,114
28012018,03:00,04:00,114
28012018,04:00,05:00,114
28012018,05:00,06:00,114
28012018,06:00,07:00,114
28012018,07:00,08:00,154
28012018,08:00,09:00,155
28012018,09:00,10:00,154
28012018,10:00,11:00,154
28012018,11:00,12:00,154
28012018,12:00,13:00,154
28012018,13:00,14:00,153
28012018,14:00,15:00,152
28012018,15:00,16:00,170
28012018,16:00,17:00,193
28012018,17:00,18:00,225
28012018,18:00,19:00,238
28012018,19:00,20:00,238
28012018,20:00,21:00,236
28012018,21:00,22:00,225
28012018,22:00,23:00,225
28012018,23:00,00:00,225
29012018,00:00,01:00,225
29012018,01:00,02:00,225
29012018,02:00,03:00,225
29012018,03:00,04:00,225
29012018,04:00,05:00,226
29012018,05:00,06:00,225
29012018,06:00,07:00,225
29012018,07:00,08:00,225
29012018,08:00,09:00,225
29012018,09:00,10:00,224
29012018,10:00,11:00,224
29012018,11:00,12:00,227
29012018,12:00,13:00,227
29012018,13:00,14:00,227
29012018,14:00,15:00,233
29012018,15:00,16:00,233
29012018,16:00,17:00,234
29012018,17:00,18:00,235
29012018,18:00,19:00,236
29012018,19:00,20:00,236
29012018,20:00,21:00,236
29012018,21:00,22:00,218
29012018,22:00,23:00,158
29012018,23:00,00:00,155
30012018,00:00,01:00,157
30012018,01:00,02:00,158
30012018,02:00,03:00,156
30012018,03:00,04:00,156
30012018,04:00,05:00,156
30012018,05:00,06:00,156
30012018,06:00,07:00,162
30012018,07:00,08:00,164
30012018,08:00,09:00,164
30012018,09:00,10:00,164
30012018,10:00,11:00,164
30012018,11:00,12:00,164
30012018,12:00,13:00,163
30012018,13:00,14:00,163
30012018,14:00,15:00,163
30012018,15:00,16:00,164
30012018,16:00,17:00,164
30012018,17:00,18:00,165
30012018,18:00,19:00,165
30012018,19:00,20:00,165
30012018,20:00,21:00,166
30012018,21:00,22:00,166
30012018,22:00,23:00,166
30012018,23:00,00:00,167
31012018,00:00,01:00,167
31012018,01:00,02:00,167
31012018,02:00,03:00,167
31012018,03:00,04:00,167
31012018,04:00,05:00,166
31012018,05:00,06:00,165
31012018,06:00,07:00,164
31012018,07:00,08:00,164
31012018,08:00,09:00,163
31012018,09:00,10:00,162
31012018,10:00,11:00,161
31012018,11:00,12:00,160
31012018,12:00,13:00,159
31012018,13:00,14:00,159
