date,start,end,11WD2HANN5C---1X,11WD2HANN5C---2V
15012019,17:00,18:00,0,113
15012019,18:00,19:00,0,115
15012019,19:00,20:00,0,114
15012019,20:00,21:00,0,116
15012019,21:00,22:00,0,114
15012019,22:00,23:00,0,111
15012019,23:00,00:00,0,108
16012019,00:00,01:00,0,108
16012019,01:00,02:00,0,108
16012019,02:00,03:00,0,107
16012019,03:00,04:00,0,107
16012019,04:00,05:00,0,106
16012019,05:00,06:00,0,106
16012019,06:00,07:00,0,107
16012019,07:00,08:00,0,109
16012019,08:00,09:00,0,108
16012019,09:00,10:00,0,108
16012019,10:00,11:00,0,108
16012019,11:00,12:00,0,106
16012019,12:00,13:00,0,108
16012019,13:00,14:00,0,105
16012019,14:00,15:00,0,105
16012019,15:00,16:00,0,105
16012019,16:00,17:00,0,106
16012019,17:00,18:00,0,107
16012019,18:00,19:00,0,109
16012019,19:00,20:00,0,108
16012019,20:00,21:00,0,106
16012019,21:00,22:00,0,107
16012019,22:00,23:00,0,108
16012019,23:00,00:00,0,108
17012019,00:00,01:00,0,106
17012019,01:00,02:00,0,106
17012019,02:00,03:00,0,107
17012019,03:00,04:00,0,107
17012019,04:00,05:00,0,106
17012019,05:00,06:00,0,108
17012019,06:00,07:00,0,107
17012019,07:00,08:00,0,108
17012019,08:00,09:00,0,110
17012019,09:00,10:00,0,111
17012019,10:00,11:00,0,111
17012019,11:00,12:00,0,110
17012019,12:00,13:00,0,109
17012019,13:00,14:00,0,107
17012019,14:00,15:00,0,106
17012019,15:00,16:00,0,107
17012019,16:00,17:00,0,107
17012019,17:00,18:00,0,110
17012019,18:00,19:00,30,112
17012019,19:00,20:00,58,110
17012019,20:00,21:00,79,114
17012019,21:00,22:00,85,111
17012019,22:00,23:00,104,103
17012019,23:00,00:00,109,66
18012019,00:00,01:00,109,60
18012019,01:00,02:00,111,60
18012019,02:00,03:00,111,60
18012019,03:00,04:00,110,59
18012019,04:00,05:00,111,59
18012019,05:00,06:00,110,89
18012019,06:00,07:00,114,103
18012019,07:00,08:00,116,116
18012019,08:00,09:00,115,117
18012019,09:00,10:00,116,120
18012019,10:00,11:00,115,121
18012019,11:00,12:00,119,125
18012019,12:00,13:00,125,126
18012019,13:00,14:00,125,128
18012019,14:00,15:00,123,127
18012019,15:00,16:00,125,126
18012019,16:00,17:00,124,125
18012019,17:00,18:00,119,125
18012019,18:00,19:00,117,124
18012019,19:00,20:00,115,121
18012019,20:00,21:00,115,122
18012019,21:00,22:00,115,119
18012019,22:00,23:00,115,97
18012019,23:00,00:00,115,90
19012019,00:00,01:00,115,73
19012019,01:00,02:00,114,71
19012019,02:00,03:00,111,71
19012019,03:00,04:00,109,68
19012019,04:00,05:00,115,69
19012019,05:00,06:00,113,69
19012019,06:00,07:00,113,77
19012019,07:00,08:00,114,99
19012019,08:00,09:00,114,112
19012019,09:00,10:00,115,120
19012019,10:00,11:00,115,122
19012019,11:00,12:00,114,124
19012019,12:00,13:00,114,125
19012019,13:00,14:00,115,120
19012019,14:00,15:00,115,121
19012019,15:00,16:00,114,120
19012019,16:00,17:00,115,120
19012019,17:00,18:00,114,115
19012019,18:00,19:00,115,92
19012019,19:00,20:00,115,61
19012019,20:00,21:00,115,60
19012019,21:00,22:00,114,60
19012019,22:00,23:00,113,60
19012019,23:00,00:00,108,60
20012019,00:00,01:00,111,60
20012019,01:00,02:00,112,58
20012019,02:00,03:00,113,61
20012019,03:00,04:00,113,60
20012019,04:00,05:00,113,59
20012019,05:00,06:00,114,60
20012019,06:00,07:00,114,59
20012019,07:00,08:00,114,60
20012019,08:00,09:00,114,59
20012019,09:00,10:00,114,60
20012019,10:00,11:00,115,60
20012019,11:00,12:00,115,60
20012019,12:00,13:00,116,60
20012019,13:00,14:00,115,59
20012019,14:00,15:00,115,59
20012019,15:00,16:00,116,63
20012019,16:00,17:00,116,84
20012019,17:00,18:00,114,117
20012019,18:00,19:00,114,119
20012019,19:00,20:00,115,119
20012019,20:00,21:00,115,117
20012019,21:00,22:00,114,97
20012019,22:00,23:00,109,97
20012019,23:00,00:00,108,77
21012019,00:00,01:00,112,69
21012019,01:00,02:00,114,69
21012019,02:00,03:00,114,70
21012019,03:00,04:00,114,71
21012019,04:00,05:00,114,69
21012019,05:00,06:00,114,82
21012019,06:00,07:00,114,106
21012019,07:00,08:00,114,115
21012019,08:00,09:00,114,115
21012019,09:00,10:00,115,117
21012019,10:00,11:00,115,118
21012019,11:00,12:00,117,121
21012019,12:00,13:00,116,122
21012019,13:00,14:00,114,121
21012019,14:00,15:00,114,120
21012019,15:00,16:00,114,122
21012019,16:00,17:00,113,120
21012019,17:00,18:00,113,118
21012019,18:00,19:00,114,117
21012019,19:00,20:00,114,120
21012019,20:00,21:00,114,120
21012019,21:00,22:00,115,122
21012019,22:00,23:00,115,115
21012019,23:00,00:00,109,95
22012019,00:00,01:00,119,71
22012019,01:00,02:00,114,96
22012019,02:00,03:00,114,89
22012019,03:00,04:00,114,80
22012019,04:00,05:00,115,71
22012019,05:00,06:00,114,80
22012019,06:00,07:00,113,111
22012019,07:00,08:00,114,113
22012019,08:00,09:00,114,115
22012019,09:00,10:00,114,118
22012019,10:00,11:00,114,121
22012019,11:00,12:00,114,120
22012019,12:00,13:00,113,120
22012019,13:00,14:00,114,118
22012019,14:00,15:00,113,121
22012019,15:00,16:00,114,118
22012019,16:00,17:00,113,119
22012019,17:00,18:00,113,118
22012019,18:00,19:00,114,120
22012019,19:00,20:00,114,119
22012019,20:00,21:00,117,121
22012019,21:00,22:00,117,120
22012019,22:00,23:00,111,104
22012019,23:00,00:00,108,100
23012019,00:00,01:00,107,103
23012019,01:00,02:00,110,97
23012019,02:00,03:00,114,71
23012019,03:00,04:00,114,71
23012019,04:00,05:00,113,70
23012019,05:00,06:00,112,87
23012019,06:00,07:00,111,107
23012019,07:00,08:00,111,113
23012019,08:00,09:00,112,111
23012019,09:00,10:00,112,112
23012019,10:00,11:00,113,116
23012019,11:00,12:00,115,116
23012019,12:00,13:00,114,116
23012019,13:00,14:00,113,118
23012019,14:00,15:00,113,118
23012019,15:00,16:00,112,117
23012019,16:00,17:00,113,117
23012019,17:00,18:00,114,117
23012019,18:00,19:00,115,118
23012019,19:00,20:00,114,119
23012019,20:00,21:00,114,121
23012019,21:00,22:00,113,120
23012019,22:00,23:00,113,106
23012019,23:00,00:00,114,90
24012019,00:00,01:00,113,78
24012019,01:00,02:00,105,71
24012019,02:00,03:00,105,72
24012019,03:00,04:00,112,71
24012019,04:00,05:00,111,70
24012019,05:00,06:00,112,73
24012019,06:00,07:00,112,83
24012019,07:00,08:00,112,85
24012019,08:00,09:00,113,85
24012019,09:00,10:00,114,94
24012019,10:00,11:00,113,116
24012019,11:00,12:00,114,119
24012019,12:00,13:00,113,119
24012019,13:00,14:00,113,119
24012019,14:00,15:00,113,119
24012019,15:00,16:00,115,121
24012019,16:00,17:00,114,120
24012019,17:00,18:00,113,119
24012019,18:00,19:00,113,117
24012019,19:00,20:00,112,118
24012019,20:00,21:00,113,119
24012019,21:00,22:00,112,118
24012019,22:00,23:00,113,119
24012019,23:00,00:00,113,120
25012019,00:00,01:00,111,111
25012019,01:00,02:00,106,108
25012019,02:00,03:00,106,105
25012019,03:00,04:00,105,104
25012019,04:00,05:00,111,106
25012019,05:00,06:00,112,118
25012019,06:00,07:00,112,117
25012019,07:00,08:00,113,117
25012019,08:00,09:00,112,118
25012019,09:00,10:00,113,119
25012019,10:00,11:00,111,117
25012019,11:00,12:00,112,116
25012019,12:00,13:00,112,114
25012019,13:00,14:00,113,116
25012019,14:00,15:00,114,118
25012019,15:00,16:00,115,116
25012019,16:00,17:00,114,117
25012019,17:00,18:00,114,120
25012019,18:00,19:00,114,120
25012019,19:00,20:00,114,119
25012019,20:00,21:00,114,119
25012019,21:00,22:00,115,104
25012019,22:00,23:00,116,75
25012019,23:00,00:00,118,78
26012019,00:00,01:00,111,82
26012019,01:00,02:00,112,75
26012019,02:00,03:00,111,76
26012019,03:00,04:00,111,69
26012019,04:00,05:00,115,61
26012019,05:00,06:00,115,61
26012019,06:00,07:00,115,63
26012019,07:00,08:00,114,66
