Timestamp,11WD7WEIS5B--E-Y,11WD7WEIS5GVGTGU,11WD7WEIS5GVGTHS,11WD7WEIS1B--F-M,11WD7WEIS1B--G-J,11WD7WEIS1B--H-G
2020-01-14 11:00:00,196,0,0,244,411,564
2020-01-14 12:00:00,195,0,0,263,424,546
2020-01-14 13:00:00,193,0,0,277,425,601
2020-01-14 14:00:00,194,0,0,295,467,606
2020-01-14 15:00:00,194,0,0,315,652,561
2020-01-14 16:00:00,193,0,0,320,664,632
2020-01-14 17:00:00,193,0,0,264,659,636
2020-01-14 18:00:00,194,0,0,203,494,586
2020-01-14 19:00:00,198,0,0,204,157,637
2020-01-14 20:00:00,195,0,0,205,0,636
2020-01-14 21:00:00,194,0,0,205,0,420
2020-01-14 22:00:00,77,0,0,205,0,304
2020-01-14 23:00:00,84,0,0,206,0,306
2020-01-15 00:00:00,88,0,0,204,0,282
2020-01-15 01:00:00,86,0,0,205,0,276
2020-01-15 02:00:00,82,0,0,207,0,276
2020-01-15 03:00:00,88,0,0,205,0,276
2020-01-15 04:00:00,88,0,0,205,0,278
2020-01-15 05:00:00,88,0,0,203,0,277
2020-01-15 06:00:00,88,0,0,206,0,415
2020-01-15 07:00:00,108,0,0,224,0,632
2020-01-15 08:00:00,152,0,0,314,0,653
2020-01-15 09:00:00,157,0,0,320,0,654
2020-01-15 10:00:00,108,0,0,321,0,644
2020-01-15 11:00:00,84,0,0,256,0,587
2020-01-15 12:00:00,83,0,0,203,0,505
2020-01-15 13:00:00,84,0,0,204,0,650
2020-01-15 14:00:00,93,0,0,220,0,654
2020-01-15 15:00:00,140,0,0,314,0,655
2020-01-15 16:00:00,153,0,0,322,0,655
2020-01-15 17:00:00,152,0,0,319,0,655
2020-01-15 18:00:00,155,0,0,321,0,652
2020-01-15 19:00:00,155,0,0,322,0,651
2020-01-15 20:00:00,147,0,0,303,0,644
2020-01-15 21:00:00,101,0,0,207,0,644
2020-01-15 22:00:00,93,0,0,204,0,649
2020-01-15 23:00:00,90,0,0,205,0,651
2020-01-16 00:00:00,107,0,0,268,0,648
2020-01-16 01:00:00,147,0,0,323,0,650
2020-01-16 02:00:00,156,0,0,321,0,648
2020-01-16 03:00:00,160,0,0,321,166,657
2020-01-16 04:00:00,160,0,0,321,339,657
2020-01-16 05:00:00,158,0,0,320,541,649
2020-01-16 06:00:00,157,0,140,321,610,656
2020-01-16 07:00:00,157,0,192,320,662,660
2020-01-16 08:00:00,158,0,194,320,662,664
2020-01-16 09:00:00,158,0,194,320,661,661
2020-01-16 10:00:00,159,0,192,322,663,665
2020-01-16 11:00:00,159,0,189,321,660,659
2020-01-16 12:00:00,158,0,188,320,659,664
2020-01-16 13:00:00,153,0,188,321,660,666
2020-01-16 14:00:00,142,0,187,320,660,667
2020-01-16 15:00:00,154,0,187,321,661,666
2020-01-16 16:00:00,154,0,188,320,660,666
2020-01-16 17:00:00,156,0,189,319,658,667
2020-01-16 18:00:00,156,0,190,320,660,665
2020-01-16 19:00:00,156,0,164,320,659,664
2020-01-16 20:00:00,142,0,0,294,660,640
2020-01-16 21:00:00,94,0,0,205,628,641
2020-01-16 22:00:00,90,0,0,203,389,552
2020-01-16 23:00:00,91,0,0,205,254,367
2020-01-17 00:00:00,89,0,0,203,251,291
2020-01-17 01:00:00,89,0,0,205,250,291
2020-01-17 02:00:00,90,0,0,205,250,293
2020-01-17 03:00:00,90,0,0,204,250,291
2020-01-17 04:00:00,91,0,0,205,266,313
2020-01-17 05:00:00,93,0,0,209,551,553
2020-01-17 06:00:00,140,0,0,305,641,641
2020-01-17 07:00:00,152,117,147,322,630,630
2020-01-17 08:00:00,149,187,177,322,651,646
2020-01-17 09:00:00,153,193,187,321,662,663
2020-01-17 10:00:00,153,193,187,320,662,665
2020-01-17 11:00:00,151,193,187,320,662,667
2020-01-17 12:00:00,152,195,188,321,664,664
2020-01-17 13:00:00,152,195,188,321,661,665
2020-01-17 14:00:00,153,195,188,322,662,664
2020-01-17 15:00:00,154,195,188,321,663,662
2020-01-17 16:00:00,150,195,189,321,659,666
2020-01-17 17:00:00,152,176,189,319,631,665
2020-01-17 18:00:00,153,196,190,319,655,667
2020-01-17 19:00:00,147,168,165,312,639,643
2020-01-17 20:00:00,95,0,0,215,610,617
2020-01-17 21:00:00,87,0,0,203,640,605
2020-01-17 22:00:00,89,0,0,205,627,483
2020-01-17 23:00:00,90,0,0,209,401,354
2020-01-18 00:00:00,89,0,0,206,310,285
2020-01-18 01:00:00,92,0,0,208,308,288
2020-01-18 02:00:00,92,0,0,204,290,275
2020-01-18 03:00:00,90,0,0,203,247,259
2020-01-18 04:00:00,90,0,0,204,249,258
2020-01-18 05:00:00,89,0,0,207,250,258
2020-01-18 06:00:00,91,0,0,208,291,293
2020-01-18 07:00:00,91,0,0,209,510,509
2020-01-18 08:00:00,137,0,0,294,654,652
2020-01-18 09:00:00,152,0,0,320,661,653
2020-01-18 10:00:00,151,0,0,318,660,654
2020-01-18 11:00:00,152,0,0,322,658,653
2020-01-18 12:00:00,154,0,0,320,661,654
2020-01-18 13:00:00,154,0,0,320,660,654
2020-01-18 14:00:00,154,0,0,323,662,651
2020-01-18 15:00:00,154,0,0,321,661,651
2020-01-18 16:00:00,154,0,0,320,661,649
2020-01-18 17:00:00,153,0,0,321,660,650
2020-01-18 18:00:00,154,0,0,320,658,648
2020-01-18 19:00:00,154,0,0,320,660,650
2020-01-18 20:00:00,153,0,0,321,655,651
2020-01-18 21:00:00,153,0,0,322,661,651
2020-01-18 22:00:00,153,0,0,321,659,659
2020-01-18 23:00:00,136,0,0,289,660,659
2020-01-19 00:00:00,93,0,0,207,658,645
2020-01-19 01:00:00,94,0,0,204,657,643
2020-01-19 02:00:00,100,0,0,201,620,642
2020-01-19 03:00:00,94,0,0,203,655,453
2020-01-19 04:00:00,94,0,0,204,551,374
2020-01-19 05:00:00,95,0,0,206,450,483
2020-01-19 06:00:00,93,0,0,206,450,482
2020-01-19 07:00:00,91,0,0,205,468,540
2020-01-19 08:00:00,120,0,0,262,635,645
2020-01-19 09:00:00,156,0,0,318,656,646
2020-01-19 10:00:00,154,0,0,323,657,649
2020-01-19 11:00:00,155,0,0,319,660,648
2020-01-19 12:00:00,154,0,0,320,658,648
2020-01-19 13:00:00,147,0,0,311,660,647
2020-01-19 14:00:00,93,0,0,219,656,646
2020-01-19 15:00:00,134,0,0,290,661,646
2020-01-19 16:00:00,155,0,0,321,657,647
2020-01-19 17:00:00,157,0,0,321,662,647
2020-01-19 18:00:00,157,0,0,323,664,646
2020-01-19 19:00:00,158,0,0,322,667,649
2020-01-19 20:00:00,158,0,0,321,666,650
2020-01-19 21:00:00,158,0,0,321,665,650
2020-01-19 22:00:00,155,0,0,321,664,650
2020-01-19 23:00:00,153,0,0,320,666,651
2020-01-20 00:00:00,99,0,0,226,666,662
2020-01-20 01:00:00,86,0,0,207,664,659
2020-01-20 02:00:00,82,0,0,208,663,662
2020-01-20 03:00:00,81,0,0,209,665,634
2020-01-20 04:00:00,84,0,0,209,666,587
2020-01-20 05:00:00,199,0,0,232,661,653
2020-01-20 06:00:00,278,86,86,320,644,648
2020-01-20 07:00:00,317,206,198,321,658,658
2020-01-20 08:00:00,317,209,200,316,659,665
2020-01-20 09:00:00,318,210,202,322,661,667
2020-01-20 10:00:00,315,210,202,317,665,665
2020-01-20 11:00:00,314,210,202,327,663,667
2020-01-20 12:00:00,315,209,201,318,659,667
2020-01-20 13:00:00,318,209,200,321,665,668
2020-01-20 14:00:00,323,208,200,322,665,670
2020-01-20 15:00:00,321,209,200,318,665,670
2020-01-20 16:00:00,320,209,200,319,666,669
2020-01-20 17:00:00,324,209,201,322,672,667
2020-01-20 18:00:00,322,209,201,323,669,668
2020-01-20 19:00:00,322,209,201,322,668,667
2020-01-20 20:00:00,320,210,202,318,666,668
2020-01-20 21:00:00,319,210,203,320,663,666
2020-01-20 22:00:00,321,175,175,320,639,651
2020-01-20 23:00:00,320,0,0,320,616,622
2020-01-21 00:00:00,261,0,0,256,643,666
2020-01-21 01:00:00,197,0,0,203,657,666
2020-01-21 02:00:00,184,0,0,205,660,664
2020-01-21 03:00:00,180,0,0,207,660,666
2020-01-21 04:00:00,179,0,0,208,660,666
2020-01-21 05:00:00,254,0,0,293,662,665
2020-01-21 06:00:00,323,70,73,323,649,655
2020-01-21 07:00:00,323,212,204,320,654,665
2020-01-21 08:00:00,323,213,205,320,664,657
2020-01-21 09:00:00,317,213,206,320,664,660
2020-01-21 10:00:00,317,213,204,318,673,664
2020-01-21 11:00:00,324,211,202,322,673,667
2020-01-21 12:00:00,324,210,201,324,671,669
2020-01-21 13:00:00,324,208,199,320,668,672
2020-01-21 14:00:00,322,207,199,320,672,671
2020-01-21 15:00:00,322,208,199,319,669,669
2020-01-21 16:00:00,322,209,200,323,672,661
2020-01-21 17:00:00,321,209,200,320,667,664
2020-01-21 18:00:00,324,210,200,325,662,661
2020-01-21 19:00:00,321,210,201,319,663,663
2020-01-21 20:00:00,322,210,201,318,663,663
2020-01-21 21:00:00,322,210,201,320,664,661
2020-01-21 22:00:00,321,179,173,322,659,655
2020-01-21 23:00:00,322,0,0,319,611,626
2020-01-22 00:00:00,235,0,0,230,636,648
2020-01-22 01:00:00,193,0,0,203,652,659
2020-01-22 02:00:00,195,0,0,203,659,659
2020-01-22 03:00:00,196,0,0,205,661,661
2020-01-22 04:00:00,257,0,0,272,661,662
2020-01-22 05:00:00,323,0,0,322,660,663
2020-01-22 06:00:00,322,120,125,318,664,653
2020-01-22 07:00:00,323,203,197,321,658,657
2020-01-22 08:00:00,322,212,205,320,660,662
2020-01-22 09:00:00,322,212,204,319,660,665
2020-01-22 10:00:00,322,211,201,321,659,661
2020-01-22 11:00:00,322,211,202,323,663,665
2020-01-22 12:00:00,321,211,202,321,662,662
2020-01-22 13:00:00,321,210,202,320,660,663
2020-01-22 14:00:00,321,210,201,322,663,664
2020-01-22 15:00:00,321,209,200,320,666,663
2020-01-22 16:00:00,317,209,201,321,664,665
2020-01-22 17:00:00,319,209,201,320,667,664
2020-01-22 18:00:00,322,209,201,320,654,666
2020-01-22 19:00:00,321,209,201,321,657,663
2020-01-22 20:00:00,320,209,201,320,661,664
2020-01-22 21:00:00,319,209,200,321,663,664
2020-01-22 22:00:00,319,209,200,322,668,666
2020-01-22 23:00:00,319,209,201,319,661,667
2020-01-23 00:00:00,316,210,201,318,661,660
2020-01-23 01:00:00,318,210,201,319,665,665
2020-01-23 02:00:00,320,211,202,321,666,664
2020-01-23 03:00:00,321,211,202,322,665,663
2020-01-23 04:00:00,318,210,201,321,664,665
2020-01-23 05:00:00,319,209,200,320,663,665
2020-01-23 06:00:00,318,208,199,320,666,663
2020-01-23 07:00:00,319,208,199,322,663,668
2020-01-23 08:00:00,320,208,199,320,663,667
2020-01-23 09:00:00,320,209,200,319,664,668
2020-01-23 10:00:00,320,209,200,322,663,671
2020-01-23 11:00:00,318,209,200,321,662,670
2020-01-23 12:00:00,318,209,200,319,665,670
2020-01-23 13:00:00,316,209,200,322,665,670
2020-01-23 14:00:00,317,204,199,319,665,669
2020-01-23 15:00:00,317,208,199,322,667,668
