Datum;Anfang;Ende;Generation_DE Kraftwerk Jänschwalde Block A [MW] Originalauflösungen;Generation_DE Kraftwerk Jänschwalde Block B [MW] Originalauflösungen;Generation_DE Kraftwerk Jänschwalde Block C [MW] Originalauflösungen;Generation_DE Kraftwerk Jänschwalde Block D [MW] Originalauflösungen;Generation_DE Kraftwerk Jänschwalde Block E [MW] Originalauflösungen;Generation_DE Kraftwerk Jänschwalde Block F [MW] Originalauflösungen
15.01.2020;05:00;06:00;0;335;132;324;-;-
15.01.2020;06:00;07:00;75;364;261;324;-;-
15.01.2020;07:00;08:00;148;367;396;361;-;-
15.01.2020;08:00;09:00;155;394;343;321;-;-
15.01.2020;09:00;10:00;155;387;349;306;-;-
15.01.2020;10:00;11:00;148;365;321;299;-;-
15.01.2020;11:00;12:00;155;384;328;309;-;-
15.01.2020;12:00;13:00;159;378;327;300;-;-
15.01.2020;13:00;14:00;158;371;327;297;-;-
15.01.2020;14:00;15:00;163;358;382;315;-;-
15.01.2020;15:00;16:00;358;388;424;376;-;-
15.01.2020;16:00;17:00;308;379;309;350;-;-
15.01.2020;17:00;18:00;309;390;301;351;-;-
15.01.2020;18:00;19:00;309;373;301;345;-;-
15.01.2020;19:00;20:00;298;355;299;330;-;-
15.01.2020;20:00;21:00;298;340;308;320;-;-
15.01.2020;21:00;22:00;300;338;306;312;-;-
15.01.2020;22:00;23:00;322;353;349;329;-;-
15.01.2020;23:00;00:00;308;367;337;339;-;-
16.01.2020;00:00;01:00;361;360;379;345;-;-
16.01.2020;01:00;02:00;399;399;472;409;-;-
16.01.2020;02:00;03:00;432;395;467;407;-;-
16.01.2020;03:00;04:00;446;423;481;437;-;-
16.01.2020;04:00;05:00;483;433;490;485;-;-
16.01.2020;05:00;06:00;474;431;485;473;-;-
16.01.2020;06:00;07:00;478;420;482;472;-;-
16.01.2020;07:00;08:00;490;452;497;464;-;-
16.01.2020;08:00;09:00;494;444;500;489;-;-
16.01.2020;09:00;10:00;494;442;498;486;-;-
16.01.2020;10:00;11:00;486;433;492;482;-;-
16.01.2020;11:00;12:00;480;449;484;470;-;-
16.01.2020;12:00;13:00;474;439;476;464;-;-
16.01.2020;13:00;14:00;493;456;498;474;-;-
16.01.2020;14:00;15:00;499;447;500;489;-;-
16.01.2020;15:00;16:00;499;448;498;488;-;-
16.01.2020;16:00;17:00;498;452;498;487;-;-
16.01.2020;17:00;18:00;494;440;496;485;-;-
16.01.2020;18:00;19:00;490;438;492;479;-;-
16.01.2020;19:00;20:00;496;445;489;488;-;-
16.01.2020;20:00;21:00;494;438;481;491;-;-
16.01.2020;21:00;22:00;489;434;476;484;-;-
16.01.2020;22:00;23:00;495;440;470;469;-;-
16.01.2020;23:00;00:00;402;370;418;386;-;-
17.01.2020;00:00;01:00;385;362;406;367;-;-
17.01.2020;01:00;02:00;303;353;317;302;-;-
17.01.2020;02:00;03:00;299;354;324;300;-;-
17.01.2020;03:00;04:00;300;351;321;300;-;-
17.01.2020;04:00;05:00;309;362;338;302;-;-
17.01.2020;05:00;06:00;424;388;454;392;-;-
17.01.2020;06:00;07:00;494;438;485;489;-;-
17.01.2020;07:00;08:00;495;438;486;493;-;-
17.01.2020;08:00;09:00;494;438;483;490;-;-
17.01.2020;09:00;10:00;498;443;486;493;-;-
17.01.2020;10:00;11:00;491;437;485;489;-;-
17.01.2020;11:00;12:00;501;437;497;496;-;-
17.01.2020;12:00;13:00;498;426;491;489;-;-
17.01.2020;13:00;14:00;502;440;497;494;-;-
17.01.2020;14:00;15:00;502;442;497;496;-;-
