Datum;Anfang;Ende;Generation_DE Heizkraftwerk Wedel Block 2 [MW] Originalauflösungen;Generation_DE Heizkraftwerk Wedel Block 1 [MW] Originalauflösungen;Generation_DE GTKW Wedel [MW] Originalauflösungen
18.01.2023;11:00;12:00;0;81;-
18.01.2023;12:00;13:00;33;81;-
18.01.2023;13:00;14:00;59;85;-
18.01.2023;14:00;15:00;86;87;-
18.01.2023;15:00;16:00;90;89;-
18.01.2023;16:00;17:00;93;89;-
18.01.2023;17:00;18:00;92;88;-
18.01.2023;18:00;19:00;91;90;-
18.01.2023;19:00;20:00;92;90;-
18.01.2023;20:00;21:00;80;81;-
18.01.2023;21:00;22:00;59;70;-
18.01.2023;22:00;23:00;55;74;-
18.01.2023;23:00;00:00;55;72;-
19.01.2023;00:00;01:00;56;70;-
19.01.2023;01:00;02:00;56;71;-
19.01.2023;02:00;03:00;56;70;-
19.01.2023;03:00;04:00;56;67;-
19.01.2023;04:00;05:00;56;68;-
19.01.2023;05:00;06:00;56;66;-
19.01.2023;06:00;07:00;63;76;-
19.01.2023;07:00;08:00;89;94;-
19.01.2023;08:00;09:00;76;92;-
19.01.2023;09:00;10:00;69;92;-
19.01.2023;10:00;11:00;90;94;-
19.01.2023;11:00;12:00;93;92;-
19.01.2023;12:00;13:00;93;93;-
19.01.2023;13:00;14:00;93;93;-
19.01.2023;14:00;15:00;93;94;-
19.01.2023;15:00;16:00;92;94;-
19.01.2023;16:00;17:00;92;92;-
19.01.2023;17:00;18:00;92;92;-
19.01.2023;18:00;19:00;92;91;-
19.01.2023;19:00;20:00;94;93;-
19.01.2023;20:00;21:00;93;93;-
19.01.2023;21:00;22:00;93;95;-
19.01.2023;22:00;23:00;94;94;-
19.01.2023;23:00;00:00;93;95;-
20.01.2023;00:00;01:00;92;94;-
20.01.2023;01:00;02:00;91;92;-
20.01.2023;02:00;03:00;92;93;-
20.01.2023;03:00;04:00;91;91;-
20.01.2023;04:00;05:00;91;92;-
20.01.2023;05:00;06:00;91;92;-
20.01.2023;06:00;07:00;93;92;-
20.01.2023;07:00;08:00;94;93;-
20.01.2023;08:00;09:00;94;94;-
20.01.2023;09:00;10:00;94;93;-
20.01.2023;10:00;11:00;94;93;-
20.01.2023;11:00;12:00;92;92;-
20.01.2023;12:00;13:00;92;92;-
20.01.2023;13:00;14:00;90;90;-
20.01.2023;14:00;15:00;91;91;-
20.01.2023;15:00;16:00;91;92;-
20.01.2023;16:00;17:00;92;89;-
20.01.2023;17:00;18:00;92;91;-
20.01.2023;18:00;19:00;91;89;-
20.01.2023;19:00;20:00;91;92;-
20.01.2023;20:00;21:00;92;94;-
20.01.2023;21:00;22:00;92;93;-
20.01.2023;22:00;23:00;93;96;-
20.01.2023;23:00;00:00;94;97;-
21.01.2023;00:00;01:00;95;97;-
21.01.2023;01:00;02:00;94;96;-
21.01.2023;02:00;03:00;74;81;-
21.01.2023;03:00;04:00;54;68;-
21.01.2023;04:00;05:00;54;67;-
21.01.2023;05:00;06:00;54;66;-
21.01.2023;06:00;07:00;54;70;-
21.01.2023;07:00;08:00;62;89;-
21.01.2023;08:00;09:00;72;94;-
21.01.2023;09:00;10:00;71;93;-
21.01.2023;10:00;11:00;87;95;-
21.01.2023;11:00;12:00;89;95;-
21.01.2023;12:00;13:00;87;95;-
21.01.2023;13:00;14:00;88;96;-
21.01.2023;14:00;15:00;90;96;-
21.01.2023;15:00;16:00;91;96;-
21.01.2023;16:00;17:00;90;96;-
21.01.2023;17:00;18:00;72;95;-
21.01.2023;18:00;19:00;64;88;-
21.01.2023;19:00;20:00;56;68;-
21.01.2023;20:00;21:00;55;67;-
21.01.2023;21:00;22:00;54;67;-
21.01.2023;22:00;23:00;53;67;-
21.01.2023;23:00;00:00;53;67;-
22.01.2023;00:00;01:00;52;67;-
22.01.2023;01:00;02:00;52;67;-
22.01.2023;02:00;03:00;53;66;-
22.01.2023;03:00;04:00;54;66;-
22.01.2023;04:00;05:00;53;65;-
22.01.2023;05:00;06:00;53;65;-
22.01.2023;06:00;07:00;53;65;-
22.01.2023;07:00;08:00;53;65;-
22.01.2023;08:00;09:00;53;65;-
22.01.2023;09:00;10:00;54;71;-
22.01.2023;10:00;11:00;79;90;-
22.01.2023;11:00;12:00;92;93;-
22.01.2023;12:00;13:00;92;93;-
22.01.2023;13:00;14:00;92;93;-
22.01.2023;14:00;15:00;95;93;-
22.01.2023;15:00;16:00;95;92;-
22.01.2023;16:00;17:00;96;93;-
22.01.2023;17:00;18:00;96;93;-
22.01.2023;18:00;19:00;96;94;-
22.01.2023;19:00;20:00;93;95;-
22.01.2023;20:00;21:00;74;94;-
22.01.2023;21:00;22:00;70;95;-
22.01.2023;22:00;23:00;77;95;-
22.01.2023;23:00;00:00;85;96;-
23.01.2023;00:00;01:00;95;98;-
23.01.2023;01:00;02:00;96;96;-
23.01.2023;02:00;03:00;97;96;-
23.01.2023;03:00;04:00;97;96;-
23.01.2023;04:00;05:00;97;93;-
23.01.2023;05:00;06:00;96;96;-
23.01.2023;06:00;07:00;96;96;-
23.01.2023;07:00;08:00;95;96;-
23.01.2023;08:00;09:00;95;96;-
23.01.2023;09:00;10:00;95;95;-
23.01.2023;10:00;11:00;95;94;-
23.01.2023;11:00;12:00;93;94;-
23.01.2023;12:00;13:00;81;93;-
23.01.2023;13:00;14:00;90;84;-
23.01.2023;14:00;15:00;94;75;-
23.01.2023;15:00;16:00;95;80;-
23.01.2023;16:00;17:00;93;93;-
23.01.2023;17:00;18:00;95;93;-
23.01.2023;18:00;19:00;94;94;-
23.01.2023;19:00;20:00;94;95;-
23.01.2023;20:00;21:00;95;95;-
23.01.2023;21:00;22:00;95;93;-
23.01.2023;22:00;23:00;96;95;-
23.01.2023;23:00;00:00;96;96;-
24.01.2023;00:00;01:00;93;95;-
24.01.2023;01:00;02:00;93;95;-
24.01.2023;02:00;03:00;92;94;-
24.01.2023;03:00;04:00;93;95;-
24.01.2023;04:00;05:00;91;94;-
24.01.2023;05:00;06:00;92;93;-
24.01.2023;06:00;07:00;93;93;-
24.01.2023;07:00;08:00;93;95;-
24.01.2023;08:00;09:00;93;94;-
24.01.2023;09:00;10:00;93;94;-
24.01.2023;10:00;11:00;93;91;-
24.01.2023;11:00;12:00;91;91;-
24.01.2023;12:00;13:00;92;94;-
24.01.2023;13:00;14:00;93;95;-
24.01.2023;14:00;15:00;92;94;-
24.01.2023;15:00;16:00;93;96;-
24.01.2023;16:00;17:00;92;96;-
24.01.2023;17:00;18:00;92;95;-
24.01.2023;18:00;19:00;90;93;-
24.01.2023;19:00;20:00;93;95;-
24.01.2023;20:00;21:00;93;96;-
24.01.2023;21:00;22:00;93;94;-
24.01.2023;22:00;23:00;90;96;-
24.01.2023;23:00;00:00;91;96;-
25.01.2023;00:00;01:00;91;95;-
25.01.2023;01:00;02:00;90;95;-
25.01.2023;02:00;03:00;90;95;-
25.01.2023;03:00;04:00;90;95;-
25.01.2023;04:00;05:00;90;95;-
25.01.2023;05:00;06:00;90;94;-
25.01.2023;06:00;07:00;92;95;-
25.01.2023;07:00;08:00;93;96;-
25.01.2023;08:00;09:00;93;95;-
