Datum;Anfang;Ende;Generation_DE HKW Reuter West Dampfturbine D [MW] Originalauflösungen;Generation_DE HKW Reuter West Dampfturbine E [MW] Originalauflösungen
13.04.2023;14:00;15:00;19;0
13.04.2023;15:00;16:00;18;0
13.04.2023;16:00;17:00;29;0
13.04.2023;17:00;18:00;115;0
13.04.2023;18:00;19:00;116;0
13.04.2023;19:00;20:00;117;0
13.04.2023;20:00;21:00;115;0
13.04.2023;21:00;22:00;116;0
13.04.2023;22:00;23:00;117;0
13.04.2023;23:00;00:00;118;0
14.04.2023;00:00;01:00;115;0
14.04.2023;01:00;02:00;116;0
14.04.2023;02:00;03:00;116;0
14.04.2023;03:00;04:00;116;0
14.04.2023;04:00;05:00;116;0
14.04.2023;05:00;06:00;117;17
14.04.2023;06:00;07:00;116;37
14.04.2023;07:00;08:00;116;40
14.04.2023;08:00;09:00;118;53
14.04.2023;09:00;10:00;118;91
14.04.2023;10:00;11:00;116;119
14.04.2023;11:00;12:00;116;120
14.04.2023;12:00;13:00;115;117
14.04.2023;13:00;14:00;116;117
14.04.2023;14:00;15:00;118;117
14.04.2023;15:00;16:00;118;120
14.04.2023;16:00;17:00;113;134
14.04.2023;17:00;18:00;118;130
14.04.2023;18:00;19:00;115;130
14.04.2023;19:00;20:00;110;130
14.04.2023;20:00;21:00;30;130
14.04.2023;21:00;22:00;0;130
14.04.2023;22:00;23:00;0;130
14.04.2023;23:00;00:00;0;130
15.04.2023;00:00;01:00;0;130
15.04.2023;01:00;02:00;0;130
15.04.2023;02:00;03:00;0;130
15.04.2023;03:00;04:00;0;130
15.04.2023;04:00;05:00;0;130
15.04.2023;05:00;06:00;0;130
15.04.2023;06:00;07:00;0;130
15.04.2023;07:00;08:00;0;130
15.04.2023;08:00;09:00;0;130
15.04.2023;09:00;10:00;0;130
15.04.2023;10:00;11:00;0;130
15.04.2023;11:00;12:00;0;129
15.04.2023;12:00;13:00;0;130
15.04.2023;13:00;14:00;0;129
15.04.2023;14:00;15:00;0;129
15.04.2023;15:00;16:00;0;130
15.04.2023;16:00;17:00;0;132
15.04.2023;17:00;18:00;0;130
