Datum;Anfang;Ende;Generation_DE Heizkraftwerk West Block 1 [MW] Originalauflösungen;Generation_DE Heizkraftwerk West Block 2 [MW] Originalauflösungen
25.01.2023;19:00;20:00;88;71
25.01.2023;20:00;21:00;91;54
25.01.2023;21:00;22:00;78;57
25.01.2023;22:00;23:00;86;62
25.01.2023;23:00;00:00;80;56
26.01.2023;00:00;01:00;79;56
26.01.2023;01:00;02:00;78;56
26.01.2023;02:00;03:00;79;56
26.01.2023;03:00;04:00;82;60
26.01.2023;04:00;05:00;83;61
26.01.2023;05:00;06:00;85;63
26.01.2023;06:00;07:00;98;79
26.01.2023;07:00;08:00;97;82
26.01.2023;08:00;09:00;99;83
26.01.2023;09:00;10:00;102;83
26.01.2023;10:00;11:00;103;83
26.01.2023;11:00;12:00;104;83
26.01.2023;12:00;13:00;104;83
26.01.2023;13:00;14:00;102;91
26.01.2023;14:00;15:00;98;87
26.01.2023;15:00;16:00;104;69
26.01.2023;16:00;17:00;112;91
26.01.2023;17:00;18:00;114;94
26.01.2023;18:00;19:00;113;87
26.01.2023;19:00;20:00;112;65
26.01.2023;20:00;21:00;96;60
26.01.2023;21:00;22:00;83;57
26.01.2023;22:00;23:00;84;60
26.01.2023;23:00;00:00;83;60
27.01.2023;00:00;01:00;83;60
27.01.2023;01:00;02:00;80;56
27.01.2023;02:00;03:00;81;55
27.01.2023;03:00;04:00;89;55
27.01.2023;04:00;05:00;88;56
27.01.2023;05:00;06:00;88;56
27.01.2023;06:00;07:00;98;72
27.01.2023;07:00;08:00;103;110
27.01.2023;08:00;09:00;106;110
27.01.2023;09:00;10:00;100;109
27.01.2023;10:00;11:00;79;103
27.01.2023;11:00;12:00;78;115
27.01.2023;12:00;13:00;61;115
27.01.2023;13:00;14:00;60;108
27.01.2023;14:00;15:00;62;88
27.01.2023;15:00;16:00;85;103
27.01.2023;16:00;17:00;109;86
27.01.2023;17:00;18:00;123;77
27.01.2023;18:00;19:00;123;74
27.01.2023;19:00;20:00;121;73
27.01.2023;20:00;21:00;138;70
27.01.2023;21:00;22:00;141;64
27.01.2023;22:00;23:00;94;60
27.01.2023;23:00;00:00;70;67
28.01.2023;00:00;01:00;73;71
28.01.2023;01:00;02:00;72;75
28.01.2023;02:00;03:00;68;70
28.01.2023;03:00;04:00;67;70
28.01.2023;04:00;05:00;69;71
28.01.2023;05:00;06:00;76;70
28.01.2023;06:00;07:00;77;79
28.01.2023;07:00;08:00;80;78
28.01.2023;08:00;09:00;72;73
28.01.2023;09:00;10:00;74;74
28.01.2023;10:00;11:00;79;76
28.01.2023;11:00;12:00;78;78
28.01.2023;12:00;13:00;59;59
28.01.2023;13:00;14:00;61;61
28.01.2023;14:00;15:00;66;66
28.01.2023;15:00;16:00;65;65
28.01.2023;16:00;17:00;67;67
28.01.2023;17:00;18:00;79;79
28.01.2023;18:00;19:00;78;79
28.01.2023;19:00;20:00;79;79
28.01.2023;20:00;21:00;61;60
28.01.2023;21:00;22:00;60;61
28.01.2023;22:00;23:00;61;61
28.01.2023;23:00;00:00;61;61
29.01.2023;00:00;01:00;61;60
29.01.2023;01:00;02:00;64;60
29.01.2023;02:00;03:00;65;61
29.01.2023;03:00;04:00;65;61
29.01.2023;04:00;05:00;65;61
29.01.2023;05:00;06:00;64;61
29.01.2023;06:00;07:00;65;61
29.01.2023;07:00;08:00;65;65
29.01.2023;08:00;09:00;65;70
29.01.2023;09:00;10:00;72;74
29.01.2023;10:00;11:00;70;66
29.01.2023;11:00;12:00;61;60
