Datum;Anfang;Ende;Generation_DE D [MW] Originalauflösungen;Generation_DE C [MW] Originalauflösungen;Generation_DE E [MW] Originalauflösungen;Generation_DE Weisweiler G VGT [MW] Originalauflösungen;Generation_DE Weisweiler H VGT [MW] Originalauflösungen;Generation_DE Weisweiler F [MW] Originalauflösungen;Generation_DE Weisweiler G [MW] Originalauflösungen;Generation_DE Weisweiler H [MW] Originalauflösungen
13.01.2017;06:00;07:00;-;-;319;0;0;317;657;654
13.01.2017;07:00;08:00;-;-;318;0;0;321;657;657
13.01.2017;08:00;09:00;-;-;320;0;0;322;658;658
13.01.2017;09:00;10:00;-;-;320;0;0;321;660;658
13.01.2017;10:00;11:00;-;-;320;0;0;320;664;657
13.01.2017;11:00;12:00;-;-;318;0;0;322;663;657
13.01.2017;12:00;13:00;-;-;320;0;0;318;668;654
13.01.2017;13:00;14:00;-;-;316;0;0;319;660;653
13.01.2017;14:00;15:00;-;-;317;0;0;323;660;657
13.01.2017;15:00;16:00;-;-;321;0;0;321;658;656
13.01.2017;16:00;17:00;-;-;322;0;0;321;654;656
13.01.2017;17:00;18:00;-;-;320;0;0;320;653;655
13.01.2017;18:00;19:00;-;-;317;0;0;323;657;655
13.01.2017;19:00;20:00;-;-;321;0;0;318;641;642
13.01.2017;20:00;21:00;-;-;321;0;0;317;646;647
13.01.2017;21:00;22:00;-;-;318;0;0;322;652;652
13.01.2017;22:00;23:00;-;-;320;0;0;320;654;650
13.01.2017;23:00;00:00;-;-;324;0;0;322;653;648
14.01.2017;00:00;01:00;-;-;321;0;0;321;643;648
14.01.2017;01:00;02:00;-;-;323;0;0;277;657;649
14.01.2017;02:00;03:00;-;-;320;0;0;272;642;650
14.01.2017;03:00;04:00;-;-;322;0;0;322;651;650
14.01.2017;04:00;05:00;-;-;319;0;0;319;651;649
14.01.2017;05:00;06:00;-;-;320;0;0;323;652;649
14.01.2017;06:00;07:00;-;-;323;0;0;320;650;649
14.01.2017;07:00;08:00;-;-;321;0;0;324;648;649
14.01.2017;08:00;09:00;-;-;321;0;0;319;651;648
14.01.2017;09:00;10:00;-;-;320;0;0;321;653;649
14.01.2017;10:00;11:00;-;-;322;0;0;323;648;650
14.01.2017;11:00;12:00;-;-;320;0;0;320;650;650
14.01.2017;12:00;13:00;-;-;321;0;0;320;652;650
14.01.2017;13:00;14:00;-;-;322;0;0;322;648;648
14.01.2017;14:00;15:00;-;-;321;0;0;320;650;649
14.01.2017;15:00;16:00;-;-;320;0;0;324;652;653
14.01.2017;16:00;17:00;-;-;322;0;0;321;649;652
14.01.2017;17:00;18:00;-;-;322;0;0;320;652;652
14.01.2017;18:00;19:00;-;-;318;0;0;322;652;653
14.01.2017;19:00;20:00;-;-;321;0;0;321;650;654
14.01.2017;20:00;21:00;-;-;323;0;0;322;650;652
14.01.2017;21:00;22:00;-;-;322;0;0;321;650;648
14.01.2017;22:00;23:00;-;-;321;0;0;322;650;648
14.01.2017;23:00;00:00;-;-;324;0;0;323;650;647
15.01.2017;00:00;01:00;-;-;324;0;0;321;652;648
15.01.2017;01:00;02:00;-;-;321;0;0;321;650;648
15.01.2017;02:00;03:00;-;-;320;0;0;320;653;647
15.01.2017;03:00;04:00;-;-;322;0;0;323;649;648
15.01.2017;04:00;05:00;-;-;322;0;0;321;650;649
15.01.2017;05:00;06:00;-;-;322;0;0;322;652;648
15.01.2017;06:00;07:00;-;-;320;0;0;322;655;648
15.01.2017;07:00;08:00;-;-;324;0;0;322;654;650
15.01.2017;08:00;09:00;-;-;321;0;0;322;653;649
15.01.2017;09:00;10:00;-;-;320;0;0;321;653;650
15.01.2017;10:00;11:00;-;-;320;0;0;322;654;649
15.01.2017;11:00;12:00;-;-;321;0;0;320;653;650
15.01.2017;12:00;13:00;-;-;322;0;0;324;653;649
15.01.2017;13:00;14:00;-;-;320;0;0;320;654;650
15.01.2017;14:00;15:00;-;-;322;0;0;323;654;650
15.01.2017;15:00;16:00;-;-;320;0;0;319;654;649
15.01.2017;16:00;17:00;-;-;321;0;0;325;657;654
15.01.2017;17:00;18:00;-;-;323;0;0;320;656;655
15.01.2017;18:00;19:00;-;-;320;0;0;321;655;655
15.01.2017;19:00;20:00;-;-;326;0;0;322;656;655
15.01.2017;20:00;21:00;-;-;322;0;0;323;658;656
15.01.2017;21:00;22:00;-;-;321;0;0;320;657;646
15.01.2017;22:00;23:00;-;-;322;0;0;321;656;655
15.01.2017;23:00;00:00;-;-;322;0;0;324;657;656
16.01.2017;00:00;01:00;-;-;323;0;0;322;656;654
16.01.2017;01:00;02:00;-;-;321;0;0;320;658;656
16.01.2017;02:00;03:00;-;-;323;0;0;323;659;657
16.01.2017;03:00;04:00;-;-;322;0;0;322;660;658
16.01.2017;04:00;05:00;-;-;322;0;0;321;661;657
16.01.2017;05:00;06:00;-;-;319;0;0;306;661;658
16.01.2017;06:00;07:00;-;-;322;0;0;232;643;657
16.01.2017;07:00;08:00;-;-;321;0;0;225;568;655
16.01.2017;08:00;09:00;-;-;323;0;0;219;567;657
16.01.2017;09:00;10:00;-;-;320;0;0;219;568;657
16.01.2017;10:00;11:00;-;-;322;0;0;220;568;658
16.01.2017;11:00;12:00;-;-;322;0;0;260;516;658
16.01.2017;12:00;13:00;-;-;320;0;0;320;471;657
16.01.2017;13:00;14:00;-;-;319;0;0;322;471;656
16.01.2017;14:00;15:00;-;-;318;0;0;318;471;658
16.01.2017;15:00;16:00;-;-;320;0;0;325;472;655
16.01.2017;16:00;17:00;-;-;323;0;0;317;472;658
16.01.2017;17:00;18:00;-;-;322;0;0;312;472;660
16.01.2017;18:00;19:00;-;-;321;0;0;318;474;658
16.01.2017;19:00;20:00;-;-;319;0;0;328;471;659
