Date;Start;End;Generation_DE D [MW] Original resolutions;Generation_DE C [MW] Original resolutions;Generation_DE E [MW] Original resolutions;Generation_DE Weisweiler G VGT [MW] Original resolutions;Generation_DE Weisweiler H VGT [MW] Original resolutions;Generation_DE Weisweiler F [MW] Original resolutions;Generation_DE Weisweiler G [MW] Original resolutions;Generation_DE Weisweiler H [MW] Original resolutions
16.01.2016;21:00;22:00;-;-;325;0;0;319;668;657
16.01.2016;22:00;23:00;-;-;323;0;0;319;669;658
16.01.2016;23:00;00:00;-;-;323;0;0;319;669;657
17.01.2016;00:00;01:00;-;-;325;0;0;317;669;658
17.01.2016;01:00;02:00;-;-;327;0;0;317;670;658
17.01.2016;02:00;03:00;-;-;324;0;0;318;669;658
17.01.2016;03:00;04:00;-;-;322;0;0;318;669;657
17.01.2016;04:00;05:00;-;-;326;0;0;318;668;654
17.01.2016;05:00;06:00;-;-;324;0;0;319;667;655
17.01.2016;06:00;07:00;-;-;323;0;0;319;663;656
17.01.2016;07:00;08:00;-;-;324;0;0;319;659;657
17.01.2016;08:00;09:00;-;-;328;0;0;318;667;656
17.01.2016;09:00;10:00;-;-;326;0;0;319;668;658
17.01.2016;10:00;11:00;-;-;322;0;0;319;668;656
17.01.2016;11:00;12:00;-;-;324;0;0;319;668;653
17.01.2016;12:00;13:00;-;-;326;0;0;318;667;654
17.01.2016;13:00;14:00;-;-;326;0;0;319;670;658
17.01.2016;14:00;15:00;-;-;324;0;0;319;668;658
17.01.2016;15:00;16:00;-;-;325;0;0;319;667;656
17.01.2016;16:00;17:00;-;-;323;0;0;319;669;657
17.01.2016;17:00;18:00;-;-;323;0;0;319;671;657
17.01.2016;18:00;19:00;-;-;327;0;0;319;666;654
17.01.2016;19:00;20:00;-;-;325;0;0;319;668;654
17.01.2016;20:00;21:00;-;-;323;0;0;319;668;656
17.01.2016;21:00;22:00;-;-;324;0;0;319;671;659
17.01.2016;22:00;23:00;-;-;327;0;0;319;668;657
17.01.2016;23:00;00:00;-;-;325;0;0;319;668;659
18.01.2016;00:00;01:00;-;-;324;0;0;320;669;657
18.01.2016;01:00;02:00;-;-;324;0;0;320;669;654
18.01.2016;02:00;03:00;-;-;325;0;0;319;667;656
18.01.2016;03:00;04:00;-;-;326;0;0;320;665;656
18.01.2016;04:00;05:00;-;-;328;0;0;320;669;655
18.01.2016;05:00;06:00;-;-;324;0;0;320;667;657
18.01.2016;06:00;07:00;-;-;325;0;0;320;666;658
18.01.2016;07:00;08:00;-;-;328;0;0;320;665;654
18.01.2016;08:00;09:00;-;-;325;0;0;319;665;655
18.01.2016;09:00;10:00;-;-;325;0;0;319;666;656
18.01.2016;10:00;11:00;-;-;322;0;0;320;666;657
18.01.2016;11:00;12:00;-;-;322;0;0;320;668;656
18.01.2016;12:00;13:00;-;-;323;0;0;320;665;658
18.01.2016;13:00;14:00;-;-;323;0;0;320;663;657
18.01.2016;14:00;15:00;-;-;326;0;0;320;665;652
18.01.2016;15:00;16:00;-;-;325;0;0;320;665;653
18.01.2016;16:00;17:00;-;-;322;0;0;319;663;656
18.01.2016;17:00;18:00;-;-;324;0;0;319;666;656
