Datum;Anfang;Ende;Generation_DE A [MW] Originalauflösungen;Generation_DE B [MW] Originalauflösungen;Generation_DE Neurath C [MW] Originalauflösungen;Generation_DE Neurath D [MW] Originalauflösungen;Generation_DE Neurath E [MW] Originalauflösungen;Generation_DE Neurath F [MW] Originalauflösungen;Generation_DE Neurath G [MW] Originalauflösungen
10.01.2023;01:00;02:00;-;-;289;556;537;1.038;1.046
10.01.2023;02:00;03:00;-;-;288;556;537;1.039;1.049
10.01.2023;03:00;04:00;-;-;288;557;536;1.036;1.047
10.01.2023;04:00;05:00;-;-;288;556;537;1.040;1.048
10.01.2023;05:00;06:00;-;-;288;558;538;1.037;1.049
10.01.2023;06:00;07:00;-;-;288;555;537;1.039;1.047
10.01.2023;07:00;08:00;-;-;288;555;536;1.037;1.044
10.01.2023;08:00;09:00;-;-;288;555;537;1.038;1.046
10.01.2023;09:00;10:00;-;-;288;555;537;1.042;1.049
10.01.2023;10:00;11:00;-;-;288;555;536;1.044;1.047
10.01.2023;11:00;12:00;-;-;288;555;535;1.045;1.046
10.01.2023;12:00;13:00;-;-;288;556;536;1.043;1.043
10.01.2023;13:00;14:00;-;-;289;555;534;1.040;1.046
10.01.2023;14:00;15:00;-;-;289;556;538;1.043;1.047
10.01.2023;15:00;16:00;-;-;289;555;536;1.040;1.047
10.01.2023;16:00;17:00;-;-;288;556;535;1.039;1.048
10.01.2023;17:00;18:00;-;-;289;555;536;1.039;1.046
10.01.2023;18:00;19:00;-;-;289;555;536;1.039;1.050
10.01.2023;19:00;20:00;-;-;289;556;536;1.040;1.049
10.01.2023;20:00;21:00;-;-;278;548;534;1.039;1.046
10.01.2023;21:00;22:00;-;-;175;361;474;1.041;1.046
10.01.2023;22:00;23:00;-;-;153;277;299;828;916
10.01.2023;23:00;00:00;-;-;153;281;276;510;522
11.01.2023;00:00;01:00;-;-;153;280;275;484;483
11.01.2023;01:00;02:00;-;-;153;281;275;484;485
11.01.2023;02:00;03:00;-;-;153;280;274;481;485
11.01.2023;03:00;04:00;-;-;153;280;275;483;488
11.01.2023;04:00;05:00;-;-;153;280;274;485;490
11.01.2023;05:00;06:00;-;-;153;280;276;482;485
11.01.2023;06:00;07:00;-;-;177;284;318;601;608
11.01.2023;07:00;08:00;-;-;271;480;513;1.001;1.001
11.01.2023;08:00;09:00;-;-;289;555;534;1.030;1.045
