Date;Start;End;Generation_DE Kraftwerk Jänschwalde Block A [MW] Original resolutions;Generation_DE Kraftwerk Jänschwalde Block B [MW] Original resolutions;Generation_DE Kraftwerk Jänschwalde Block C [MW] Original resolutions;Generation_DE Kraftwerk Jänschwalde Block D [MW] Original resolutions;Generation_DE Kraftwerk Jänschwalde Block E [MW] Original resolutions;Generation_DE Kraftwerk Jänschwalde Block F [MW] Original resolutions
13.01.2021;01:00;02:00;300;337;307;305;-;-
13.01.2021;02:00;03:00;301;336;302;302;-;-
13.01.2021;03:00;04:00;298;334;297;301;-;-
13.01.2021;04:00;05:00;299;332;306;306;-;-
13.01.2021;05:00;06:00;310;342;316;320;-;-
13.01.2021;06:00;07:00;449;374;457;453;-;-
13.01.2021;07:00;08:00;493;390;464;465;-;-
13.01.2021;08:00;09:00;475;358;466;436;-;-
13.01.2021;09:00;10:00;468;366;461;458;-;-
13.01.2021;10:00;11:00;447;371;448;419;-;-
13.01.2021;11:00;12:00;457;362;437;393;-;-
13.01.2021;12:00;13:00;416;364;401;339;-;-
13.01.2021;13:00;14:00;396;362;325;323;-;-
13.01.2021;14:00;15:00;343;337;334;334;-;-
13.01.2021;15:00;16:00;330;340;328;326;-;-
13.01.2021;16:00;17:00;324;325;322;320;-;-
13.01.2021;17:00;18:00;334;329;332;329;-;-
13.01.2021;18:00;19:00;344;341;360;342;-;-
13.01.2021;19:00;20:00;331;347;345;334;-;-
13.01.2021;20:00;21:00;341;357;335;335;-;-
13.01.2021;21:00;22:00;328;339;322;322;-;-
13.01.2021;22:00;23:00;324;335;321;317;-;-
13.01.2021;23:00;00:00;327;392;328;321;-;-
14.01.2021;00:00;01:00;309;337;301;310;-;-
14.01.2021;01:00;02:00;328;348;303;325;-;-
14.01.2021;02:00;03:00;343;366;323;343;-;-
14.01.2021;03:00;04:00;398;383;390;402;-;-
14.01.2021;04:00;05:00;430;389;393;438;-;-
14.01.2021;05:00;06:00;453;408;429;476;-;-
14.01.2021;06:00;07:00;447;415;460;469;-;-
14.01.2021;07:00;08:00;465;410;482;484;-;-
14.01.2021;08:00;09:00;472;414;482;487;-;-
14.01.2021;09:00;10:00;479;412;484;484;-;-
14.01.2021;10:00;11:00;476;406;482;461;-;-
14.01.2021;11:00;12:00;433;401;450;452;-;-
14.01.2021;12:00;13:00;424;405;443;442;-;-
14.01.2021;13:00;14:00;417;413;436;437;-;-
14.01.2021;14:00;15:00;487;405;490;497;-;-
14.01.2021;15:00;16:00;491;410;491;497;-;-
14.01.2021;16:00;17:00;490;402;485;489;-;-
14.01.2021;17:00;18:00;492;405;485;490;-;-
14.01.2021;18:00;19:00;497;404;494;498;-;-
14.01.2021;19:00;20:00;455;381;476;474;-;-
14.01.2021;20:00;21:00;445;377;473;469;-;-
14.01.2021;21:00;22:00;450;393;475;468;-;-
14.01.2021;22:00;23:00;453;395;480;475;-;-
14.01.2021;23:00;00:00;446;396;473;468;-;-
15.01.2021;00:00;01:00;488;401;490;494;-;-
15.01.2021;01:00;02:00;497;403;493;498;-;-
15.01.2021;02:00;03:00;493;409;491;496;-;-
15.01.2021;03:00;04:00;496;404;487;495;-;-
15.01.2021;04:00;05:00;497;403;488;499;-;-
15.01.2021;05:00;06:00;480;404;473;482;-;-
15.01.2021;06:00;07:00;483;410;479;483;-;-
15.01.2021;07:00;08:00;493;398;492;493;-;-
15.01.2021;08:00;09:00;496;406;497;496;-;-
15.01.2021;09:00;10:00;501;409;499;498;-;-
15.01.2021;10:00;11:00;497;408;499;501;-;-
15.01.2021;11:00;12:00;493;405;498;497;-;-
15.01.2021;12:00;13:00;495;401;495;494;-;-
15.01.2021;13:00;14:00;491;398;494;496;-;-
15.01.2021;14:00;15:00;497;398;495;498;-;-
15.01.2021;15:00;16:00;497;392;499;494;-;-
15.01.2021;16:00;17:00;496;387;498;497;-;-
15.01.2021;17:00;18:00;497;386;499;498;-;-
15.01.2021;18:00;19:00;495;388;496;494;-;-
15.01.2021;19:00;20:00;491;401;488;492;-;-
15.01.2021;20:00;21:00;490;400;435;491;-;-
15.01.2021;21:00;22:00;494;399;424;488;-;-
15.01.2021;22:00;23:00;494;402;424;491;-;-
15.01.2021;23:00;00:00;495;398;426;490;-;-
16.01.2021;00:00;01:00;496;397;426;490;-;-
16.01.2021;01:00;02:00;488;399;421;487;-;-
16.01.2021;02:00;03:00;497;397;431;497;-;-
16.01.2021;03:00;04:00;495;399;430;497;-;-
16.01.2021;04:00;05:00;492;426;441;496;-;-
16.01.2021;05:00;06:00;489;427;483;494;-;-
16.01.2021;06:00;07:00;503;422;492;497;-;-
16.01.2021;07:00;08:00;501;423;493;496;-;-
16.01.2021;08:00;09:00;501;424;491;495;-;-
16.01.2021;09:00;10:00;499;425;495;498;-;-
16.01.2021;10:00;11:00;496;425;492;497;-;-
16.01.2021;11:00;12:00;494;424;494;497;-;-
16.01.2021;12:00;13:00;493;425;493;497;-;-
16.01.2021;13:00;14:00;492;427;492;496;-;-
16.01.2021;14:00;15:00;491;424;491;497;-;-
16.01.2021;15:00;16:00;487;424;447;495;-;-
16.01.2021;16:00;17:00;488;422;440;498;-;-
16.01.2021;17:00;18:00;487;426;439;497;-;-
16.01.2021;18:00;19:00;481;426;440;497;-;-
16.01.2021;19:00;20:00;483;428;438;495;-;-
16.01.2021;20:00;21:00;472;430;462;486;-;-
16.01.2021;21:00;22:00;485;430;498;495;-;-
16.01.2021;22:00;23:00;485;430;488;495;-;-
16.01.2021;23:00;00:00;486;440;496;494;-;-
17.01.2021;00:00;01:00;488;424;496;496;-;-
17.01.2021;01:00;02:00;485;430;494;496;-;-
17.01.2021;02:00;03:00;474;436;486;488;-;-
17.01.2021;03:00;04:00;481;423;490;491;-;-
17.01.2021;04:00;05:00;481;422;489;490;-;-
17.01.2021;05:00;06:00;487;435;494;496;-;-
17.01.2021;06:00;07:00;487;432;497;496;-;-
17.01.2021;07:00;08:00;480;430;491;491;-;-
17.01.2021;08:00;09:00;486;429;496;496;-;-
17.01.2021;09:00;10:00;486;430;497;496;-;-
17.01.2021;10:00;11:00;484;429;488;496;-;-
17.01.2021;11:00;12:00;489;435;497;498;-;-
17.01.2021;12:00;13:00;487;437;496;495;-;-
17.01.2021;13:00;14:00;488;437;495;499;-;-
17.01.2021;14:00;15:00;489;437;497;499;-;-
17.01.2021;15:00;16:00;487;436;497;501;-;-
17.01.2021;16:00;17:00;490;436;498;502;-;-
17.01.2021;17:00;18:00;490;443;500;499;-;-
17.01.2021;18:00;19:00;487;443;495;447;-;-
17.01.2021;19:00;20:00;477;444;486;438;-;-
17.01.2021;20:00;21:00;455;443;479;445;-;-
17.01.2021;21:00;22:00;488;442;495;494;-;-
17.01.2021;22:00;23:00;470;444;470;479;-;-
17.01.2021;23:00;00:00;482;441;490;492;-;-
18.01.2021;00:00;01:00;480;440;488;487;-;-
18.01.2021;01:00;02:00;483;441;490;490;-;-
18.01.2021;02:00;03:00;486;443;492;493;-;-
18.01.2021;03:00;04:00;483;442;488;487;-;-
18.01.2021;04:00;05:00;485;442;490;487;-;-
18.01.2021;05:00;06:00;477;444;484;484;-;-
18.01.2021;06:00;07:00;473;436;483;482;-;-
18.01.2021;07:00;08:00;476;429;488;486;-;-
18.01.2021;08:00;09:00;487;424;498;492;-;-
18.01.2021;09:00;10:00;473;418;496;494;-;-
18.01.2021;10:00;11:00;476;419;494;494;-;-
18.01.2021;11:00;12:00;484;418;495;496;-;-
18.01.2021;12:00;13:00;422;406;476;479;-;-
18.01.2021;13:00;14:00;417;409;463;427;-;-
18.01.2021;14:00;15:00;359;394;361;383;-;-
18.01.2021;15:00;16:00;417;415;456;452;-;-
18.01.2021;16:00;17:00;471;417;491;485;-;-
18.01.2021;17:00;18:00;484;407;488;495;-;-
18.01.2021;18:00;19:00;480;398;483;489;-;-
18.01.2021;19:00;20:00;472;406;426;487;-;-
18.01.2021;20:00;21:00;456;411;399;475;-;-
18.01.2021;21:00;22:00;461;395;417;482;-;-
18.01.2021;22:00;23:00;467;390;415;482;-;-
18.01.2021;23:00;00:00;457;387;414;478;-;-
19.01.2021;00:00;01:00;440;408;444;461;-;-
19.01.2021;01:00;02:00;403;393;434;431;-;-
19.01.2021;02:00;03:00;336;390;389;357;-;-
19.01.2021;03:00;04:00;419;393;452;439;-;-
19.01.2021;04:00;05:00;358;388;388;388;-;-
19.01.2021;05:00;06:00;347;380;373;371;-;-
19.01.2021;06:00;07:00;328;358;373;373;-;-
19.01.2021;07:00;08:00;383;398;419;414;-;-
19.01.2021;08:00;09:00;340;355;381;382;-;-
19.01.2021;09:00;10:00;334;371;374;374;-;-
19.01.2021;10:00;11:00;333;360;344;366;-;-
19.01.2021;11:00;12:00;336;357;345;353;-;-
19.01.2021;12:00;13:00;345;395;350;398;-;-
19.01.2021;13:00;14:00;363;391;342;404;-;-
19.01.2021;14:00;15:00;391;390;356;412;-;-
