Date;Start;End;Generation_DE PSW Markersbach PSS B [MW] Original resolutions;Generation_DE PSW Markersbach PSS A [MW] Original resolutions;Generation_DE PSW Markersbach PSS C [MW] Original resolutions;Generation_DE PSW Markersbach PSS D [MW] Original resolutions;Generation_DE PSW Markersbach PSS E [MW] Original resolutions;Generation_DE PSW Markersbach PSS F [MW] Original resolutions
09.01.2016;08:00;09:00;0;0;0;0;0;0
09.01.2016;09:00;10:00;75;0;0;0;0;0
09.01.2016;10:00;11:00;100;0;0;0;0;0
09.01.2016;11:00;12:00;2;0;0;0;0;0
09.01.2016;12:00;13:00;0;0;0;0;0;0
09.01.2016;13:00;14:00;0;0;0;0;0;0
09.01.2016;14:00;15:00;0;0;0;0;0;0
09.01.2016;15:00;16:00;0;0;0;0;0;0
09.01.2016;16:00;17:00;1;0;0;1;0;0
09.01.2016;17:00;18:00;113;0;0;114;0;0
09.01.2016;18:00;19:00;144;0;0;145;0;0
09.01.2016;19:00;20:00;0;0;0;0;0;0
09.01.2016;20:00;21:00;41;0;0;0;0;0
09.01.2016;21:00;22:00;0;0;0;0;0;0
09.01.2016;22:00;23:00;0;0;0;0;0;0
09.01.2016;23:00;00:00;2;0;0;0;0;0
10.01.2016;00:00;01:00;62;0;0;0;0;0
10.01.2016;01:00;02:00;0;0;0;0;0;0
10.01.2016;02:00;03:00;0;0;0;0;0;0
10.01.2016;03:00;04:00;0;0;0;0;0;0
10.01.2016;04:00;05:00;0;0;0;0;0;0
10.01.2016;05:00;06:00;0;0;0;0;0;0
10.01.2016;06:00;07:00;0;0;0;0;0;0
10.01.2016;07:00;08:00;0;0;0;0;0;0
10.01.2016;08:00;09:00;0;0;0;0;0;0
10.01.2016;09:00;10:00;1;0;0;0;0;0
10.01.2016;10:00;11:00;52;0;0;0;0;0
10.01.2016;11:00;12:00;0;0;0;0;0;0
10.01.2016;12:00;13:00;0;0;0;0;0;0
10.01.2016;13:00;14:00;0;0;0;0;0;0
10.01.2016;14:00;15:00;0;0;0;0;0;0
10.01.2016;15:00;16:00;0;0;0;0;0;0
10.01.2016;16:00;17:00;0;0;2;2;0;0
10.01.2016;17:00;18:00;135;0;135;136;0;0
10.01.2016;18:00;19:00;128;0;129;129;0;0
10.01.2016;19:00;20:00;0;0;99;3;0;0
10.01.2016;20:00;21:00;0;0;0;0;0;0
10.01.2016;21:00;22:00;0;0;0;0;0;0
10.01.2016;22:00;23:00;0;0;0;0;0;0
10.01.2016;23:00;00:00;47;0;0;0;0;0
11.01.2016;00:00;01:00;152;0;0;0;0;0
11.01.2016;01:00;02:00;0;0;0;0;0;0
11.01.2016;02:00;03:00;0;0;0;0;0;0
11.01.2016;03:00;04:00;0;0;0;0;0;0
11.01.2016;04:00;05:00;0;0;0;1;0;0
11.01.2016;05:00;06:00;0;0;0;81;0;0
11.01.2016;06:00;07:00;31;0;0;157;0;0
11.01.2016;07:00;08:00;14;0;108;65;107;0
11.01.2016;08:00;09:00;126;0;126;20;125;0
11.01.2016;09:00;10:00;3;0;147;9;148;0
11.01.2016;10:00;11:00;131;0;161;0;160;0
11.01.2016;11:00;12:00;154;0;155;0;153;0
11.01.2016;12:00;13:00;5;0;154;0;153;0
11.01.2016;13:00;14:00;0;0;1;0;146;0
11.01.2016;14:00;15:00;27;0;0;0;0;0
11.01.2016;15:00;16:00;0;0;0;0;0;0
11.01.2016;16:00;17:00;1;0;0;1;0;0
11.01.2016;17:00;18:00;145;0;70;146;0;0
