Datum;Anfang;Ende;Generation_DE Vianden M6 [MW] Originalauflösungen;Generation_DE Vianden M7 [MW] Originalauflösungen;Generation_DE Vianden M8 [MW] Originalauflösungen;Generation_DE Vianden M9 [MW] Originalauflösungen;Generation_DE Vianden M1 [MW] Originalauflösungen;Generation_DE Vianden M2 [MW] Originalauflösungen;Generation_DE Vianden M3 [MW] Originalauflösungen;Generation_DE Vianden M4 [MW] Originalauflösungen;Generation_DE Vianden M10 [MW] Originalauflösungen;Generation_DE Vianden M5 [MW] Originalauflösungen;Generation_DE Vianden M11 [MW] Originalauflösungen
10.01.2023;11:00;12:00;0;0;0;0;0;0;0;0;0;23;1
10.01.2023;12:00;13:00;0;0;0;0;0;0;0;0;0;1;1
10.01.2023;13:00;14:00;0;0;0;0;0;0;0;0;0;0;1
10.01.2023;14:00;15:00;0;0;0;0;0;0;0;0;0;0;1
10.01.2023;15:00;16:00;0;0;0;0;0;0;0;28;0;0;1
10.01.2023;16:00;17:00;0;0;0;0;0;0;0;2;0;0;1
10.01.2023;17:00;18:00;0;0;0;0;0;14;20;39;0;0;1
10.01.2023;18:00;19:00;0;0;0;0;0;14;1;11;0;0;1
10.01.2023;19:00;20:00;0;0;0;0;25;28;0;19;0;0;1
10.01.2023;20:00;21:00;0;0;0;0;20;7;0;20;0;0;1
10.01.2023;21:00;22:00;0;0;0;0;0;0;0;0;0;0;1
10.01.2023;22:00;23:00;0;0;0;0;0;0;0;0;0;0;1
10.01.2023;23:00;00:00;0;0;0;0;0;0;0;0;0;0;1
11.01.2023;00:00;01:00;0;0;0;0;0;0;0;0;0;0;0
11.01.2023;01:00;02:00;0;0;0;0;37;37;0;0;0;0;0
11.01.2023;02:00;03:00;0;0;0;0;40;41;0;0;0;0;1
11.01.2023;03:00;04:00;0;0;0;0;65;66;0;0;0;0;0
11.01.2023;04:00;05:00;0;0;0;0;30;11;0;0;0;0;0
11.01.2023;05:00;06:00;0;0;0;0;78;10;0;0;0;0;0
11.01.2023;06:00;07:00;0;0;0;0;37;16;31;30;0;0;1
11.01.2023;07:00;08:00;32;0;0;0;24;24;85;82;0;32;1
11.01.2023;08:00;09:00;55;16;0;0;39;39;82;90;34;69;37
11.01.2023;09:00;10:00;99;98;95;92;61;61;90;101;195;99;197
11.01.2023;10:00;11:00;44;45;45;34;31;47;55;43;42;33;35
11.01.2023;11:00;12:00;22;3;1;2;31;101;103;91;0;22;1
11.01.2023;12:00;13:00;0;0;0;0;30;20;17;3;0;0;1
11.01.2023;13:00;14:00;0;0;0;0;30;0;0;0;0;0;1
11.01.2023;14:00;15:00;0;0;0;0;17;0;0;0;0;0;1
11.01.2023;15:00;16:00;0;0;0;0;16;0;0;0;0;0;1
