Datum;Anfang;Ende;Generation_DE Boxberg Block N [MW] Originalauflösungen;Generation_DE Boxberg Block R [MW] Originalauflösungen;Generation_DE Boxberg Block P [MW] Originalauflösungen;Generation_DE Boxberg Block Q [MW] Originalauflösungen
24.01.2023;12:00;13:00;493;543;148;835
24.01.2023;13:00;14:00;508;558;189;834
24.01.2023;14:00;15:00;510;528;193;838
24.01.2023;15:00;16:00;508;531;196;834
24.01.2023;16:00;17:00;508;528;191;834
24.01.2023;17:00;18:00;501;532;177;836
24.01.2023;18:00;19:00;505;539;308;832
24.01.2023;19:00;20:00;507;564;427;834
24.01.2023;20:00;21:00;509;562;485;837
24.01.2023;21:00;22:00;510;563;494;834
24.01.2023;22:00;23:00;507;550;487;835
24.01.2023;23:00;00:00;507;537;492;834
25.01.2023;00:00;01:00;460;518;433;731
25.01.2023;01:00;02:00;444;514;433;570
25.01.2023;02:00;03:00;443;527;430;560
25.01.2023;03:00;04:00;444;529;429;566
25.01.2023;04:00;05:00;439;512;427;646
25.01.2023;05:00;06:00;439;494;430;694
25.01.2023;06:00;07:00;501;559;489;830
25.01.2023;07:00;08:00;508;575;495;837
25.01.2023;08:00;09:00;506;578;495;843
25.01.2023;09:00;10:00;505;577;488;839
25.01.2023;10:00;11:00;507;570;489;837
